"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ACLBSL","2022-05-05","911","911","875","875","-3.19","1177"
"ACLBSL","2022-05-04","900","903.8","892","903.8","-0.19","495"
"ACLBSL","2022-05-02","932","932","900","905.5","-2.84","857"
"ACLBSL","2022-04-28","940","952","921.2","932","-0.85","624"
"ACLBSL","2022-04-27","928","946","910","940","1.29","849"
"ACLBSL","2022-04-26","949","949","927","928","-2.21","1199"
"ACLBSL","2022-04-25","980","980","930","949","-2.47","1789"
"ACLBSL","2022-04-24","950","989","950","973","2.42","885"
"ACLBSL","2022-04-21","960","960","932","950","-1.04","1012"
"ACLBSL","2022-04-20","954","975","935","960","-1.34","249"
"ACLBSL","2022-04-19","979","979","941","973","1.35","635"
"ACLBSL","2022-04-18","961.5","962","955","960","-0.16","635"
"ACLBSL","2022-04-17","970","991","955","961.5","-2.19","495"
"ACLBSL","2022-04-13","970","988","952","983","1.34","1165"
"ACLBSL","2022-04-12","980.1","1003","970","970","-2.51","645"
"ACLBSL","2022-04-11","1010","1022","990","995","-1.49","1254"
"ACLBSL","2022-04-07","995","1027","980","1010","0.80","1758"
"ACLBSL","2022-04-06","1015.9","1018","998","1002","-1.57","750"
"ACLBSL","2022-04-05","1048.7","1048.7","1018","1018","-3.82","2996"
"ACLBSL","2022-04-04","1085","1085","1058.4","1058.4","-2.90","1208"
"ACLBSL","2022-04-03","1120","1120","1087","1090","-1.01","1744"
"ACLBSL","2022-03-31","1139.1","1139.1","1100","1101.1","-1.41","2477"
"ACLBSL","2022-03-30","1311.1","1340","1311.1","1336","1.98","9292"
"ACLBSL","2022-03-29","1322","1322","1305","1310","-1.13","1896"
"ACLBSL","2022-03-28","1369.9","1371.9","1321","1325","-1.49","1865"
"ACLBSL","2022-03-27","1393.3","1393.3","1336","1345","-1.54","3239"
"ACLBSL","2022-03-24","1376","1390","1366","1366","-0.73","1257"
"ACLBSL","2022-03-23","1407","1407","1371.3","1376","-0.29","3178"
"ACLBSL","2022-03-22","1388","1392","1380","1380","0.94","2140"
"ACLBSL","2022-03-21","1370.1","1375","1350","1367.1","0.15","1791"
"ACLBSL","2022-03-20","1357","1378","1356.1","1365","1.04","2694"
"ACLBSL","2022-03-16","1380","1380","1350","1351","-1.38","1299"
"ACLBSL","2022-03-15","1375","1375","1355","1369.9","-0.01","1234"
"ACLBSL","2022-03-14","1399","1399","1361","1370","-0.29","359"
"ACLBSL","2022-03-13","1332","1388","1332","1374","2.83","1173"
"ACLBSL","2022-03-10","1334","1336.2","1307.4","1336.2","1.98","1266"
"ACLBSL","2022-03-09","1300","1317","1300","1310.3","-0.36","1493"
"ACLBSL","2022-03-07","1310","1336.2","1300","1315","0.38","1146"
"ACLBSL","2022-03-06","1360","1360","1310","1310","-1.87","2305"
"ACLBSL","2022-03-02","1330","1340","1321","1335","-1.40","863"
"ACLBSL","2022-02-28","1385","1387.9","1350","1354","-0.95","1576"
"ACLBSL","2022-02-27","1360","1370","1347","1367","-0.22","1380"
"ACLBSL","2022-02-24","1371","1394","1344","1370","-2.00","2096"
"ACLBSL","2022-02-23","1390","1407","1390","1398","-0.09","1308"
"ACLBSL","2022-02-22","1400","1426","1396.2","1399.2","0.01","1546"
"ACLBSL","2022-02-21","1413","1413","1390","1399","-0.99","2242"
