"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ADBLD83","2022-04-25","990","990","990","990","0.00","100"
"ADBLD83","2022-04-21","975","990","975","990","0.00","1800"
"ADBLD83","2022-04-20","990","990","990","990","0.69","35"
"ADBLD83","2022-04-17","983.2","983.2","983.2","983.2","0.00","130"
"ADBLD83","2022-04-11","983.6","1003.2","983.2","983.2","1.95","125"
"ADBLD83","2022-03-27","964.4","964.4","964.4","964.4","-1.99","50"
"ADBLD83","2022-03-22","975","984","975","984","1.97","200"
"ADBLD83","2022-03-21","965","965","965","965","0.99","52"
"ADBLD83","2022-03-15","955.6","955.6","955.5","955.5","-2.00","250"
"ADBLD83","2022-03-09","980","980","975","975","-1.46","1800"
"ADBLD83","2022-03-07","989.4","989.4","989.4","989.4","0.00","2000"
"ADBLD83","2022-03-06","989.4","989.4","989.4","989.4","0.00","25"
"ADBLD83","2022-02-28","970","989.4","970","989.4","0.45","24"
"ADBLD83","2022-02-24","985","985","985","985","-1.50","75"
"ADBLD83","2022-02-22","997","1000","997","1000","-0.40","625"
"ADBLD83","2022-02-16","1004","1004","1004","1004","0.00","2000"
"ADBLD83","2022-02-09","1004","1004","1004","1004","0.00","25"
"ADBLD83","2022-02-08","1004","1004","1004","1004","0.00","740"
"ADBLD83","2022-02-07","1004","1004","1004","1004","0.90","600"
"ADBLD83","2022-02-06","995","995","995","995","0.71","125"
"ADBLD83","2022-02-03","990","990","985","988","-1.69","325"
"ADBLD83","2022-02-01","1002","1005","995","1005","0.40","1800"
"ADBLD83","2022-01-31","1001","1001","1001","1001","0.00","200"
"ADBLD83","2022-01-30","1000","1001","1000","1001","-0.40","350"
"ADBLD83","2022-01-27","1005","1005","1005","1005","0.00","30"
"ADBLD83","2022-01-26","1000","1005","1000","1005","0.50","625"
"ADBLD83","2022-01-25","1069.2","1069.2","994.7","1000","-8.34","1375"
"ADBLD83","2022-01-11","1074","1091","1074","1091","1.87","700"
"ADBLD83","2022-01-09","1029","1071","1020","1071","2.00","410"
"ADBLD83","2022-01-06","1060","1060","1050","1050","0.00","225"
"ADBLD83","2022-01-05","1050","1050","1050","1050","0.00","25"
"ADBLD83","2022-01-04","1050","1050","1050","1050","-1.96","500"
"ADBLD83","2022-01-02","1050","1071","1050","1071","2.00","1990"
"ADBLD83","2021-12-28","1045","1050","1045","1050","1.94","100"
"ADBLD83","2021-12-27","1015","1030","1015","1030","1.48","575"
"ADBLD83","2021-12-23","1015","1015","1015","1015","0.00","25"
"ADBLD83","2021-12-22","1015","1015","1015","1015","0.00","210"
"ADBLD83","2021-12-21","1015","1015","1015","1015","0.00","50"
"ADBLD83","2021-12-20","1015","1015","1015","1015","0.00","225"
"ADBLD83","2021-12-16","1015","1015","1015","1015","0.00","100"
"ADBLD83","2021-12-15","1015","1015","1015","1015","0.00","25"
"ADBLD83","2021-12-09","1015","1015","1015","1015","0.00","30"
"ADBLD83","2021-12-08","1015","1015","1014.9","1015","0.00","850"
"ADBLD83","2021-12-07","1013","1015","1013","1015","1.50","250"
