"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AHPC","2022-05-05","386","397","380","382","-1.82","107184"
"AHPC","2022-05-04","396","402.9","384","389.1","-1.67","117403"
"AHPC","2022-05-02","417","417","395","395.7","-5.15","118072"
"AHPC","2022-04-28","429","431.9","416.9","417.2","-1.14","111687"
"AHPC","2022-04-27","420","424.8","407","422","1.69","124757"
"AHPC","2022-04-26","423","428","411","415","-1.43","69782"
"AHPC","2022-04-25","428","440","413","421","0.19","190646"
"AHPC","2022-04-24","388.9","420.2","382","420.2","10.00","224591"
"AHPC","2022-04-21","379","397","365","382","2.72","74534"
"AHPC","2022-04-20","388.1","395","371","371.9","-4.64","108762"
"AHPC","2022-04-19","394.9","403","379","390","0.65","91503"
"AHPC","2022-04-18","408.9","408.9","387","387.5","-3.41","83672"
"AHPC","2022-04-17","415","421","401.2","401.2","-2.86","118936"
"AHPC","2022-04-13","414.9","421","407","413","0.00","126288"
"AHPC","2022-04-12","434.5","434.5","410","413","-3.05","82960"
"AHPC","2022-04-11","440","457.7","425","426","-3.18","130526"
"AHPC","2022-04-07","439.9","445","430","440","1.62","110681"
"AHPC","2022-04-06","437","447","428.2","433","-1.37","100503"
"AHPC","2022-04-05","446","452","429.3","439","-2.66","154842"
"AHPC","2022-04-04","451","459.5","448","451","-1.12","86541"
"AHPC","2022-04-03","470","471","455.7","456.1","-2.75","63957"
"AHPC","2022-03-31","486.1","490","465.1","469","-2.72","78193"
"AHPC","2022-03-30","465.5","484","462","482.1","3.68","101502"
"AHPC","2022-03-29","471","477.6","461.2","465","-0.85","69503"
"AHPC","2022-03-28","466","480","466","469","-1.26","103690"
"AHPC","2022-03-27","495","495","472.9","475","-3.55","183024"
"AHPC","2022-03-24","500","504","491","492.5","-1.16","88615"
"AHPC","2022-03-23","508","508","495","498.3","-2.29","163144"
"AHPC","2022-03-22","522","525","508.7","510","-1.92","130596"
"AHPC","2022-03-21","500","523","491","520","4.84","181425"
"AHPC","2022-03-20","500","503","494","496","0.40","58859"
