"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AIL","2022-05-05","618","623","598.4","598.4","-3.79","2998"
"AIL","2022-05-04","605","622","592.9","622","1.14","5383"
"AIL","2022-05-02","632.09","640","615","615","-3.61","5830"
"AIL","2022-04-28","637","649.7","637","638","-1.85","1295"
"AIL","2022-04-27","637","652","631","650","1.56","1865"
"AIL","2022-04-26","645","650","640","640","-2.14","1398"
"AIL","2022-04-25","653","665","640","654","0.15","3885"
"AIL","2022-04-24","627","653","627","653","4.31","3246"
"AIL","2022-04-21","625","653","612","626","0.00","5131"
"AIL","2022-04-20","625","653.9","625","626","-1.12","1765"
"AIL","2022-04-19","640","652","628","633.1","-1.08","1457"
"AIL","2022-04-18","645","648","638","640","-1.99","1005"
"AIL","2022-04-17","654","667","650","653","-2.10","2085"
"AIL","2022-04-13","643","681","643","667","1.68","2367"
"AIL","2022-04-12","654.6","662","649","656","-1.78","2791"
"AIL","2022-04-11","670","686.4","660.2","667.9","-0.31","1742"
"AIL","2022-04-07","676.9","678","665","670","0.90","3517"
"AIL","2022-04-06","663.3","684","660","664","-1.34","4439"
"AIL","2022-04-05","688","690","672","673","-4.13","5234"
"AIL","2022-04-04","700","718","700","702","0.29","4270"
"AIL","2022-04-03","718","718","698","700","-3.31","4551"
"AIL","2022-03-31","726","730","708","724","-0.28","6047"
"AIL","2022-03-30","703","726","702","726","2.25","5266"
"AIL","2022-03-29","702","715","698.1","710","-0.28","4653"
"AIL","2022-03-28","720","744","712","712","-1.93","8629"
"AIL","2022-03-27","712.9","768.9","712.9","726","3.86","38917"
"AIL","2022-03-24","700","715","690","699","0.00","10229"
"AIL","2022-03-23","700","710","691","699","-0.71","3192"
"AIL","2022-03-22","699.1","710","699.1","704","0.73","3920"
"AIL","2022-03-21","672","698.9","672","698.9","2.78","10517"
"AIL","2022-03-20","699","699","675","680","-0.87","1998"
"AIL","2022-03-16","661","693.5","661","686","2.39","5462"
"AIL","2022-03-15","666","677","655","670","0.75","6264"
"AIL","2022-03-14","660","670","650","665","0.00","660"
"AIL","2022-03-13","650.7","671","636.1","665","4.23","5975"
"AIL","2022-03-10","626","640","620","638","1.92","2790"
"AIL","2022-03-09","635","639","624","626","-1.57","4103"
