"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKBSL","2019-12-19","465","465","465","465","-1.90","30"
"AKBSL","2019-12-18","486","486","467","474","-1.04","1610"
"AKBSL","2019-12-17","440","480","440","479","6.92","4071"
"AKBSL","2019-12-16","465","465","440","448","-4.07","3850"
"AKBSL","2019-12-15","466","466","451","457","-3.38","770"
"AKBSL","2019-12-12","496","497","472","473","-3.07","3090"
"AKBSL","2019-12-11","461","497","461","488","3.83","7560"
"AKBSL","2019-12-10","478","496","460","470","-3.49","3988"
"AKBSL","2019-12-09","450","487","450","487","8.71","6245"
"AKBSL","2019-12-08","440","448","434","448","0.00","1420"
"AKBSL","2019-12-05","453","453","435","448","-0.22","1682"
"AKBSL","2019-12-04","429","459","429","449","4.66","3590"
"AKBSL","2019-12-03","430","437","425","429","-0.46","1140"
"AKBSL","2019-12-02","430","434","425","431","0.23","1030"
"AKBSL","2019-12-01","425","430","421","430","1.18","660"
"AKBSL","2019-11-28","424","429","423","425","-1.16","730"
"AKBSL","2019-11-27","424","430","423","430","-0.46","360"
"AKBSL","2019-11-26","418","432","418","432","1.89","642"
"AKBSL","2019-11-25","433","433","416","424","-0.24","350"
"AKBSL","2019-11-24","429","429","421","425","-0.93","930"
"AKBSL","2019-11-21","428","430","422","429","-1.38","1220"
"AKBSL","2019-11-20","435","439","431","435","0.46","890"
"AKBSL","2019-11-19","427","434","425","433","-0.46","860"
"AKBSL","2019-11-18","425","448","425","435","0.69","360"
"AKBSL","2019-11-17","448","448","424","432","-1.82","910"
"AKBSL","2019-11-14","444","445","436","440","-0.90","1899"
"AKBSL","2019-11-13","418","450","418","444","5.71","3337"
"AKBSL","2019-11-12","425","438","407","420","-3.00","742"
"AKBSL","2019-11-11","419","438","407","433","4.84","1160"
"AKBSL","2019-11-10","410","413","403","413","-1.20","2010"
"AKBSL","2019-11-07","410","418","406","418","0.00","310"
"AKBSL","2019-11-06","413","418","407","418","-0.24","2197"
"AKBSL","2019-11-05","411","419","407","419","2.70","558"
"AKBSL","2019-11-04","415","415","408","408","-0.73","360"
"AKBSL","2019-11-03","414","420","408","411","0.98","590"
"AKBSL","2019-10-31","408","413","405","407","-0.25","350"
"AKBSL","2019-10-24","412","414","406","408","-0.73","920"
"AKBSL","2019-10-23","408","411","397","411","0.74","450"
"AKBSL","2019-10-22","408","412","408","408","-1.69","440"
"AKBSL","2019-10-21","414","419","408","415","0.24","440"
"AKBSL","2019-10-20","408","414","405","414","-0.48","250"
"AKBSL","2019-10-17","414","416","406","416","0.48","370"
"AKBSL","2019-10-16","408","416","405","414","1.47","860"
"AKBSL","2019-10-15","402","410","402","408","0.25","160"
"AKBSL","2019-10-14","408","410","405","407","-0.73","420"
"AKBSL","2019-10-10","412","415","410","410","-1.20","50"
"AKBSL","2019-10-03","408","416","408","415","0.48","430"
"AKBSL","2019-10-02","409","416","409","413","-0.48","190"
"AKBSL","2019-10-01","409","423","409","415","0.97","490"
"AKBSL","2019-09-30","401","425","401","411","0.74","570"
"AKBSL","2019-09-29","401","414","401","408","0.25","490"
"AKBSL","2019-09-26","412","414","407","407","-1.21","1040"
"AKBSL","2019-09-24","411","415","410","412","0.49","830"
"AKBSL","2019-09-23","414","422","410","410","-0.97","1080"
"AKBSL","2019-09-22","428","428","410","414","-3.27","1730"
"AKBSL","2019-09-19","430","438","421","428","-0.47","2192"
"AKBSL","2019-09-18","427","442","423","430","0.70","1270"
"AKBSL","2019-09-17","411","435","411","427","1.91","2675"
"AKBSL","2019-09-16","426","427","409","419","0.00","2020"
"AKBSL","2019-09-15","437","437","419","419","-5.20","2430"
"AKBSL","2019-09-12","452","461","435","442","-2.21","4610"
"AKBSL","2019-09-11","470","475","451","452","-3.00","3300"
"AKBSL","2019-09-10","467","472","458","466","-0.21","8765"
"AKBSL","2019-09-09","466","488","455","467","5.18","22021"
"AKBSL","2019-09-08","412","444","412","444","9.90","460"
"AKBSL","2019-09-03","348","368","348","368","7.60","140"
"AKBSL","2019-09-02","336","342","336","342","3.64","20"
"AKBSL","2019-09-01","324","330","324","330","3.77","20"
"AKBSL","2019-08-29","318","318","318","318","1.92","10"
"AKBSL","2019-08-28","306","312","306","312","4.00","20"
"AKBSL","2019-08-27","278","300","278","300","9.89","70"
"AKBSL","2019-08-26","263","273","263","273","3.80","30"
