"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKJCL","2022-05-05","226","227.9","212.8","217","-2.69","47647"
"AKJCL","2022-05-04","232","236","222","223","-3.88","29708"
"AKJCL","2022-05-02","239","241","227.9","232","-2.93","56829"
"AKJCL","2022-04-28","246.8","248","238","239","-1.24","36966"
"AKJCL","2022-04-27","240.1","245","236","242","-0.82","48243"
"AKJCL","2022-04-26","249","253","239.5","244","-0.45","17272"
"AKJCL","2022-04-25","250","260","240.1","245.1","-0.45","50641"
"AKJCL","2022-04-24","228.3","246.2","226","246.2","9.96","58768"
"AKJCL","2022-04-21","227.1","227.3","214.4","223.9","0.40","40304"
"AKJCL","2022-04-20","235","237","223","223","-5.11","38859"
"AKJCL","2022-04-19","236","245","225","235","-0.42","39951"
"AKJCL","2022-04-18","240","245.3","233","236","-2.88","32927"
"AKJCL","2022-04-17","254","254","243","243","-3.19","24456"
"AKJCL","2022-04-13","252.9","257","240","251","1.17","37228"
"AKJCL","2022-04-12","261","261","247","248.1","-4.94","35588"
"AKJCL","2022-04-11","271","276.4","259","261","-1.88","38057"
"AKJCL","2022-04-07","265","270","259.7","266","1.33","53768"
"AKJCL","2022-04-06","268","273","259","262.5","-2.05","32959"
"AKJCL","2022-04-05","279","279","260","268","-2.19","64019"
"AKJCL","2022-04-04","276","280","273","274","-0.47","28207"
"AKJCL","2022-04-03","285","285","275.3","275.3","-2.03","29137"
"AKJCL","2022-03-31","292.9","293","280","281","-3.10","40331"
"AKJCL","2022-03-30","282","290","277","290","3.98","51479"
"AKJCL","2022-03-29","280","287","275","278.9","-0.04","26200"
"AKJCL","2022-03-28","280.3","289.6","279","279","-2.24","44344"
"AKJCL","2022-03-27","294","299","283","285.4","-2.93","65804"
"AKJCL","2022-03-24","300","300","291","294","-1.34","50566"
"AKJCL","2022-03-23","300","303","296","298","0.00","31571"
"AKJCL","2022-03-22","305.9","310","297","298","-0.67","40978"
"AKJCL","2022-03-21","294","306","292","300","2.04","55854"
"AKJCL","2022-03-20","302","302","293","294","-1.01","30649"
"AKJCL","2022-03-16","300","305","296","297","-0.83","44702"
"AKJCL","2022-03-15","305","308","297.1","299.5","-1.80","66017"
