"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ALBSL","2022-05-05","1241","1280","1231","1231","-2.69","1023"
"ALBSL","2022-05-04","1251","1270","1226","1265","-0.78","1213"
"ALBSL","2022-05-02","1321","1321","1270","1275","-4.99","1794"
"ALBSL","2022-04-28","1402","1402","1335","1342","-2.40","1375"
"ALBSL","2022-04-27","1428","1428","1321","1375","-1.79","465"
"ALBSL","2022-04-26","1400","1400","1324","1400","0.00","1932"
"ALBSL","2022-04-25","1425","1450","1386","1400","0.07","531"
"ALBSL","2022-04-24","1351","1399","1326.3","1399","5.58","814"
"ALBSL","2022-04-21","1276","1325.7","1276","1325","1.94","802"
"ALBSL","2022-04-20","1290","1299.8","1290","1299.8","-0.40","375"
"ALBSL","2022-04-19","1310","1321","1300","1305","-0.38","493"
"ALBSL","2022-04-18","1303.4","1326.1","1286.3","1310","-1.50","218"
"ALBSL","2022-04-17","1356.3","1356.3","1303.1","1330","0.02","572"
"ALBSL","2022-04-13","1320","1329.8","1315","1329.8","0.44","770"
"ALBSL","2022-04-12","1309","1325","1300","1324","-0.45","429"
"ALBSL","2022-04-11","1340","1373","1320","1330","-0.74","1226"
"ALBSL","2022-04-07","1325","1355","1325","1339.9","0.74","601"
"ALBSL","2022-04-06","1324","1358","1319.5","1330","0.45","1374"
"ALBSL","2022-04-05","1314","1324","1300","1324","-1.12","1472"
"ALBSL","2022-04-04","1335","1339","1320","1339","0.30","439"
"ALBSL","2022-04-03","1360","1382","1334","1335","-1.91","353"
"ALBSL","2022-03-31","1412.7","1412.7","1361","1361","-1.73","1386"
"ALBSL","2022-03-30","1331","1385","1331","1385","2.06","379"
"ALBSL","2022-03-29","1382","1390","1357.1","1357.1","-3.55","1565"
"ALBSL","2022-03-28","1415","1431.5","1380","1407","0.21","1988"
"ALBSL","2022-03-27","1415","1415","1393","1404","0.21","470"
"ALBSL","2022-03-24","1420","1430","1401","1401","-1.34","1744"
"ALBSL","2022-03-23","1467","1467","1411","1420","-1.39","937"
"ALBSL","2022-03-22","1450","1460","1392","1440","0.35","1677"
"ALBSL","2022-03-21","1417","1435","1395","1435","1.27","1354"
"ALBSL","2022-03-20","1432","1442","1406","1417","-1.05","739"
"ALBSL","2022-03-16","1450","1455","1412","1432","-0.21","492"
"ALBSL","2022-03-15","1435","1459","1425","1435","0.28","1437"
"ALBSL","2022-03-14","1450","1450","1421","1431","-1.31","593"
"ALBSL","2022-03-13","1420","1450","1420","1450","2.84","2983"
"ALBSL","2022-03-10","1400","1410","1372","1410","1.37","2711"
"ALBSL","2022-03-09","1439.5","1468.2","1380","1391","-3.37","1582"
"ALBSL","2022-03-07","1420","1439.5","1420","1439.5","0.66","741"
"ALBSL","2022-03-06","1420","1468","1412","1430","-0.69","700"
"ALBSL","2022-03-02","1460","1460","1421","1440","-0.62","1107"
"ALBSL","2022-02-28","1442","1470","1426","1449","-1.43","1300"
"ALBSL","2022-02-27","1470","1470","1451.4","1470","-0.74","939"
"ALBSL","2022-02-24","1487","1500","1480","1481","-1.86","1116"
"ALBSL","2022-02-23","1505","1517.9","1491","1509","0.40","769"
"ALBSL","2022-02-22","1492","1525","1491","1503","-1.12","885"
"ALBSL","2022-02-21","1490","1521","1490","1520","1.00","1284"
"ALBSL","2022-02-20","1510","1520","1470","1505","-2.27","1804"
"ALBSL","2022-02-17","1545","1545","1486","1540","1.65","1166"
"ALBSL","2022-02-16","1569.9","1569.9","1510","1515","-1.62","453"
"ALBSL","2022-02-15","1510","1540","1480.1","1540","1.99","910"
"ALBSL","2022-02-14","1480","1510","1478","1510","2.02","1604"
"ALBSL","2022-02-13","1520","1525","1480","1480.1","-4.57","2589"
"ALBSL","2022-02-10","1590","1590","1551","1551","-1.77","1245"
"ALBSL","2022-02-09","1587","1600","1564","1578.9","-0.51","842"
"ALBSL","2022-02-08","1600.3","1600.3","1569","1587","0.00","2390"
"ALBSL","2022-02-07","1545","1580","1520.1","1569","-0.44","8007"
"ALBSL","2022-02-06","1590","1594","1570","1576","-2.72","2197"
"ALBSL","2022-02-03","1652.4","1652.4","1591","1620","0.00","4138"
"ALBSL","2022-02-01","1600","1625","1576","1620","1.25","10208"
"ALBSL","2022-01-31","1620","1629","1582","1600","-0.81","2435"
"ALBSL","2022-01-30","1616","1650","1600","1613","1.77","5022"
"ALBSL","2022-01-27","1607","1607","1581","1585","0.57","3972"
"ALBSL","2022-01-26","1610","1610","1570","1576","-2.11","3449"
"ALBSL","2022-01-25","1572","1656","1572","1610","2.48","5783"
"ALBSL","2022-01-24","1660","1660","1571","1571","-7.10","8831"
"ALBSL","2022-01-23","1730","1750","1660","1691","-2.25","6565"
"ALBSL","2022-01-20","1700","1730","1660","1730","1.76","2082"
"ALBSL","2022-01-19","1700","1725","1678","1700","-0.70","2461"
"ALBSL","2022-01-18","1710","1730","1680","1712","-0.47","5001"
"ALBSL","2022-01-17","1730","1740","1665","1720","0.35","5963"
"ALBSL","2022-01-16","1650","1744","1618","1714","3.88","8506"
"ALBSL","2022-01-13","1571","1650","1551","1650","4.96","4355"
"ALBSL","2022-01-12","1600","1635","1572.1","1572.1","-1.99","9721"
"ALBSL","2022-01-11","1520","1611.6","1520","1604","5.18","10010"
"ALBSL","2022-01-10","1519","1548","1504.5","1525","0.39","1700"
"ALBSL","2022-01-09","1510","1525","1490","1519","2.15","2544"
"ALBSL","2022-01-06","1431","1488","1431","1487","1.85","1842"
"ALBSL","2022-01-05","1493","1504","1455","1460","-3.18","3593"
"ALBSL","2022-01-04","1501","1520","1486","1508","-0.70","947"
"ALBSL","2022-01-03","1417","1522","1417","1518.7","5.61","6071"
"ALBSL","2022-01-02","1415","1440","1400","1438","1.63","4502"
"ALBSL","2021-12-29","1392","1430","1392","1415","-0.20","967"
"ALBSL","2021-12-28","1390","1417.8","1389","1417.8","2.00","2178"
"ALBSL","2021-12-27","1433","1450","1387","1390","-3.00","2980"
"ALBSL","2021-12-26","1400","1441","1400","1433","2.36","2662"
"ALBSL","2021-12-23","1407","1420","1375","1400","-0.36","1610"
"ALBSL","2021-12-22","1310","1415","1301.1","1405","6.04","2790"
"ALBSL","2021-12-21","1320","1350","1300","1325","0.76","833"
"ALBSL","2021-12-20","1306","1315","1291","1315","0.69","770"
"ALBSL","2021-12-16","1289","1306.6","1281","1306","-0.68","823"
"ALBSL","2021-12-15","1319","1350","1291","1315","1.65","2892"
"ALBSL","2021-12-14","1181","1293.6","1181","1293.6","10.00","297"
"ALBSL","2021-12-13","1204","1204","1176","1176","-4.23","1445"
"ALBSL","2021-12-12","1260","1280","1228","1228","-2.62","560"
"ALBSL","2021-12-09","1290","1290","1252.6","1261","-0.32","900"
"ALBSL","2021-12-08","1279","1299","1265","1265","-1.09","741"
"ALBSL","2021-12-07","1326","1350","1279","1279","-1.62","1398"
"ALBSL","2021-12-06","1256","1300","1235.1","1300","1.56","1251"
"ALBSL","2021-12-05","1300","1300","1274","1280","-3.40","3500"
"ALBSL","2021-12-02","1337","1351","1313","1325","-0.97","1307"
"ALBSL","2021-12-01","1350","1356","1332","1338","-0.89","1392"
"ALBSL","2021-11-30","1360","1360","1330","1350","-0.74","1683"
"ALBSL","2021-11-29","1380","1380","1336","1360","0.29","881"
"ALBSL","2021-11-28","1400","1400","1356","1356","-3.97","3010"
"ALBSL","2021-11-25","1408","1425","1400.2","1412","0.36","650"
"ALBSL","2021-11-24","1440","1440","1400","1407","-1.60","1302"
"ALBSL","2021-11-23","1407.5","1466","1407.5","1429.9","-0.43","1156"
"ALBSL","2021-11-22","1470","1478","1431","1436.1","-0.96","714"
"ALBSL","2021-11-21","1489","1489","1432.8","1450","-0.68","329"
"ALBSL","2021-11-18","1460","1495","1452","1460","-1.35","593"
"ALBSL","2021-11-17","1547","1547","1475.1","1480","-2.57","1023"
"ALBSL","2021-11-16","1435","1522","1435","1519","4.04","2390"
"ALBSL","2021-11-15","1440","1460","1417","1460","3.18","1048"
"ALBSL","2021-11-14","1414","1440","1411","1415","-0.70","674"
"ALBSL","2021-11-11","1421","1449.4","1400","1425","-1.72","1487"
"ALBSL","2021-11-09","1471","1489","1450","1450","-2.66","1911"
"ALBSL","2021-11-08","1510","1520","1489.6","1489.6","-0.36","811"
"ALBSL","2021-11-03","1525","1525","1492","1495","-1.31","1216"
"ALBSL","2021-11-02","1492","1528","1490","1514.9","0.79","5174"
"ALBSL","2021-11-01","1548.3","1598","1501","1503","-0.99","9307"
"ALBSL","2021-10-31","1520","1580","1518","1518","-0.13","7125"
"ALBSL","2021-10-28","1845","1901","1840","1899.9","3.26","20144"
"ALBSL","2021-10-27","1815","1842.9","1770","1840","1.83","6472"
"ALBSL","2021-10-26","1815","1848","1775","1806.9","1.51","5543"
"ALBSL","2021-10-25","1778","1800","1747.1","1780","1.95","3796"
"ALBSL","2021-10-24","1715","1746","1700","1746","1.81","3492"
"ALBSL","2021-10-21","1690","1715","1640","1715","3.19","6647"
"ALBSL","2021-10-20","1657","1700","1657","1662","2.26","2748"
"ALBSL","2021-10-19","1660","1680","1613","1625.2","-1.14","3053"
"ALBSL","2021-10-18","1714.6","1760","1644","1644","-2.20","6121"
"ALBSL","2021-10-17","1721","1790.1","1681","1681","-2.21","2977"
"ALBSL","2021-10-11","1754.4","1755","1717","1719","-0.06","3689"
"ALBSL","2021-10-10","1861.5","1900","1720","1720","-5.75","5562"
