"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ALICLP","2022-01-19","679","679","679","679","0.00","140800"
"ALICLP","2021-11-30","679","679","679","679","0.00","3648"
"ALICLP","2021-09-20","657","657","657","657","-1.94","10000"
"ALICLP","2021-09-14","683.1","683.1","670","670","-3.87","20000"
"ALICLP","2021-07-28","697","697","697","697","0.00","50000"
"ALICLP","2021-07-27","697","697","697","697","0.00","216000"
"ALICLP","2021-01-18","380","380","380","380","0.00","2285"
"ALICLP","2020-12-28","380","380","380","380","0.00","5988"
"ALICLP","2020-12-03","380","380","380","380","-0.01","200000"
"ALICLP","2020-11-18","110","384","384","384","0.00","178410"
"ALICLP","2020-10-11","384","384","384","384","-1.79","16755"
"ALICLP","2020-09-06","391","391","391","391","0.00","55576"
"ALICLP","2020-08-31","391","391","391","391","50.38","150000"
"ALICLP","2020-06-29","260","260","260","260","0.00","25000"
"ALICLP","2020-02-05","260","260","260","260","0.00","50000"
"ALICLP","2020-01-16","260","260","260","260","0.00","37440"
"ALICLP","2019-12-19","260","260","260","260","-0.76","27500"
"ALICLP","2019-05-22","262","262","262","262","0.00","35138"
"ALICLP","2019-05-16","262","262","262","262","0.00","140800"
"ALICLP","2019-02-03","350","350","350","350","0.00","6751"
"ALICLP","2018-12-10","350","350","350","350","0.00","55673"
"ALICLP","2018-09-20","350","350","350","350","0.00","32760"
"ALICLP","2018-09-06","350","350","350","350","0.00","159297"
"ALICLP","2018-01-21","706","706","700","700","-2.78","13182"
"ALICLP","2018-01-09","720","720","719","720","0.00","14000"
"ALICLP","2018-01-04","785","785","720","720","-10.00","166017"
"ALICLP","2017-10-30","800","800","800","800","0.00","3855"
"ALICLP","2017-10-16","800","800","800","800","0.00","22268"
"ALICLP","2017-09-13","800","800","800","800","0.00","24000"
"ALICLP","2017-06-05","800","800","800","800","0.00","60000"
"ALICLP","2017-06-01","801","801","800","800","-2.08","77933"
"ALICLP","2017-05-15","817","817","817","817","-1.92","75000"
"ALICLP","2017-01-24","833","833","833","833","-2.00","28239"
"ALICLP","2016-11-27","850","850","850","850","-1.16","8836"
"ALICLP","2016-09-26","860","860","860","860","0.00","52125"
"ALICLP","2016-04-21","710","724","724","724","1.97","2108"
"ALICLP","2016-03-30","710","710","710","710","0.00","41096"
"ALICLP","2015-10-11","564","575","551","575","0.00","42805"
"ALICLP","2015-07-08","490","490","490","490","-2.00","18000"
"ALICLP","2015-03-19","561","570","561","570","1.60","22900"
"ALICLP","2015-03-18","524","561","534","561","7.06","75300"
"ALICLP","2015-03-17","486","524","495","524","7.82","400"
"ALICLP","2015-03-16","450","486","459","486","8.00","400"
"ALICLP","2015-03-12","434","450","442","450","3.69","200"
"ALICLP","2015-03-11","402","434","410","434","7.96","400"
"ALICLP","2015-03-10","374","402","381","402","7.49","400"
"ALICLP","2015-03-09","347","374","353","374","7.78","23544"
"ALICLP","2015-03-04","329","347","335","347","5.47","15000"
"ALICLP","2015-01-25","323","329","329","329","1.86","11105"
"ALICLP","2015-01-22","323","323","323","323","0.00","25000"
"ALICLP","2015-01-06","317","323","323","323","1.89","27508"
"ALICLP","2014-11-13","551","317","317","317","-42.47","7221"
"ALICLP","2014-11-12","310","0","0","551","0.00","108312"
"ALICLP","2014-06-02","315","310","310","310","-1.59","20630"
"ALICLP","2014-06-01","326","320","315","315","-3.37","26577"
"ALICLP","2014-05-27","338","332","326","326","-3.55","51578"
"ALICLP","2014-05-22","350","344","338","338","-3.43","62508"
"ALICLP","2014-04-27","378","371","350","350","-7.41","178800"
"ALICLP","2014-04-23","385","378","378","378","-1.82","9385"
"ALICLP","2014-03-09","344","385","385","385","11.92","15130"
