"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AMFI","2019-10-22","529","529","529","529","0.00","10"
"AMFI","2019-06-04","530","530","524","529","-0.94","135"
"AMFI","2019-06-03","526","534","507","534","-0.37","920"
"AMFI","2019-06-02","530","536","530","536","-0.74","110"
"AMFI","2019-05-30","561","561","536","540","-1.82","1040"
"AMFI","2019-05-29","551","561","539","550","0.00","425"
"AMFI","2019-05-28","530","550","528","550","2.04","250"
"AMFI","2019-05-27","535","550","530","539","-1.10","440"
"AMFI","2019-05-26","572","572","545","545","-3.02","110"
"AMFI","2019-05-23","557","562","546","562","1.08","710"
"AMFI","2019-05-22","555","556","555","556","-1.24","70"
"AMFI","2019-05-21","560","563","552","563","0.54","150"
"AMFI","2019-05-20","550","564","548","560","0.18","385"
"AMFI","2019-05-19","571","580","555","559","-0.18","385"
"AMFI","2019-05-16","559","560","555","560","-1.75","230"
"AMFI","2019-05-15","555","575","555","570","0.71","310"
"AMFI","2019-05-14","585","585","566","566","-1.57","80"
"AMFI","2019-05-13","565","576","560","575","0.00","220"
"AMFI","2019-05-12","567","578","567","575","1.41","450"
"AMFI","2019-05-09","580","591","567","567","-1.22","895"
"AMFI","2019-05-08","576","590","573","574","1.59","1395"
"AMFI","2019-05-07","572","575","561","565","-0.88","610"
"AMFI","2019-05-06","573","573","551","570","-2.40","140"
"AMFI","2019-05-05","583","585","583","584","-1.02","210"
"AMFI","2019-05-02","580","591","580","590","0.00","173"
"AMFI","2019-04-30","595","596","588","590","-1.17","865"
"AMFI","2019-04-29","589","597","585","597","0.84","465"
"AMFI","2019-04-28","555","592","555","592","5.71","520"
"AMFI","2019-04-25","560","562","550","560","-1.75","470"
"AMFI","2019-04-24","590","590","561","570","-4.68","1030"
"AMFI","2019-04-23","598","609","598","598","-1.97","1355"
"AMFI","2019-04-22","620","628","602","610","-2.40","1660"
"AMFI","2019-04-21","619","625","612","625","-0.79","660"
"AMFI","2019-04-18","623","630","623","630","-0.47","170"
"AMFI","2019-04-17","638","650","630","633","-0.78","320"
"AMFI","2019-04-16","642","642","637","638","-1.69","190"
"AMFI","2019-04-15","631","649","630","649","2.04","335"
"AMFI","2019-04-11","630","636","628","636","0.95","210"
"AMFI","2019-04-10","627","647","627","630","-0.79","873"
"AMFI","2019-04-09","630","642","627","635","0.32","100"
"AMFI","2019-04-08","635","652","623","633","-0.31","210"
"AMFI","2019-04-07","629","636","629","635","-0.78","120"
"AMFI","2019-04-04","650","650","640","640","-1.54","130"
"AMFI","2019-04-03","665","665","650","650","-1.52","200"
"AMFI","2019-04-02","665","678","660","660","0.00","398"
"AMFI","2019-04-01","643","660","643","660","0.76","110"
"AMFI","2019-03-31","656","658","655","655","0.92","580"
"AMFI","2019-03-28","624","660","624","649","2.04","630"
"AMFI","2019-03-27","627","650","625","636","1.44","1045"
"AMFI","2019-03-26","640","640","618","627","-2.18","130"
"AMFI","2019-03-25","621","641","621","641","3.22","730"
"AMFI","2019-03-24","639","640","621","621","-4.75","90"
"AMFI","2019-03-21","657","660","640","652","-1.21","170"
"AMFI","2019-03-19","660","662","660","660","0.00","130"
"AMFI","2019-03-18","642","660","642","660","3.12","200"
"AMFI","2019-03-17","635","640","635","640","1.11","70"
"AMFI","2019-03-14","622","640","621","633","0.32","170"
"AMFI","2019-03-13","647","660","631","631","-4.39","475"
"AMFI","2019-03-12","641","673","639","660","1.54","200"
"AMFI","2019-03-11","655","659","643","650","-1.37","225"
"AMFI","2019-03-07","660","660","648","659","0.61","175"
"AMFI","2019-03-06","661","673","655","655","-0.91","140"
"AMFI","2019-03-05","650","670","650","661","0.61","670"
"AMFI","2019-03-03","659","672","647","657","-2.23","130"
"AMFI","2019-02-27","680","685","670","672","-1.18","130"
"AMFI","2019-02-26","675","689","668","680","0.59","120"
"AMFI","2019-02-25","674","686","674","676","-1.31","80"
"AMFI","2019-02-24","706","706","681","685","-1.15","300"
"AMFI","2019-02-21","678","693","678","693","0.43","200"
"AMFI","2019-02-20","691","703","690","690","-1.85","70"
"AMFI","2019-02-19","692","703","676","703","1.59","360"
"AMFI","2019-02-18","686","695","683","692","-0.43","130"
"AMFI","2019-02-17","700","700","682","695","0.43","130"
"AMFI","2019-02-14","686","700","686","692","-1.14","210"
"AMFI","2019-02-13","708","710","696","700","-1.41","855"
"AMFI","2019-02-12","710","724","703","710","0.00","130"
"AMFI","2019-02-11","691","710","691","710","1.00","100"
"AMFI","2019-02-10","696","716","696","703","-0.99","170"
"AMFI","2019-02-07","710","723","709","710","-1.80","210"
"AMFI","2019-02-06","734","737","720","723","0.42","690"
"AMFI","2019-02-05","710","720","710","720","0.28","170"
"AMFI","2019-02-04","715","728","715","718","-1.37","130"
"AMFI","2019-02-03","737","751","725","728","-3.06","400"
"AMFI","2019-01-31","721","751","709","751","4.16","720"
"AMFI","2019-01-30","728","728","715","721","-0.96","110"
"AMFI","2019-01-29","739","740","725","728","-1.49","440"
"AMFI","2019-01-28","711","742","711","739","3.94","330"
"AMFI","2019-01-27","715","720","703","711","-0.56","250"
"AMFI","2019-01-24","712","726","706","715","0.42","80"
"AMFI","2019-01-23","715","726","707","712","-0.42","715"
"AMFI","2019-01-22","726","742","712","715","-1.52","510"
