"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BARUN","2022-05-05","391.3","418.2","383.5","393","-1.50","34892"
"BARUN","2022-05-04","382","405.8","376.1","399","4.45","28183"
"BARUN","2022-05-02","393","395","378.3","382","-4.02","13303"
"BARUN","2022-04-28","410","418.1","398","398","-2.93","9083"
"BARUN","2022-04-27","401.1","412","397","410","0.74","7084"
"BARUN","2022-04-26","420","420","397","407","-1.45","7421"
"BARUN","2022-04-25","426","428","404","413","-1.15","15696"
"BARUN","2022-04-24","387","418","386","417.8","9.95","14649"
"BARUN","2022-04-21","385","388","369.1","380","-1.30","5571"
"BARUN","2022-04-20","404.9","404.9","381.3","385","-3.53","7674"
"BARUN","2022-04-19","397.1","408","385","399.1","-1.21","7596"
"BARUN","2022-04-18","416","416","391","404","-4.78","13387"
"BARUN","2022-04-17","428","429","410.2","424.3","0.31","7128"
"BARUN","2022-04-13","410","423.3","409","423","1.93","6171"
"BARUN","2022-04-12","422","422","410","415","-0.48","10616"
"BARUN","2022-04-11","435.5","444.2","417","417","-2.34","12699"
"BARUN","2022-04-07","432","441","427","427","0.23","20171"
"BARUN","2022-04-06","439","439","422","426","-2.96","13024"
"BARUN","2022-04-05","445.1","445.1","430","439","-2.64","16168"
"BARUN","2022-04-04","460","460","450","450.9","-1.98","14635"
"BARUN","2022-04-03","461","465","455","460","-0.86","7033"
"BARUN","2022-03-31","481","483","463","464","-3.53","14619"
"BARUN","2022-03-30","468","481","457","481","1.26","30595"
"BARUN","2022-03-29","478.5","484","470.1","475","-0.02","10545"
"BARUN","2022-03-28","485","494","475.1","475.1","-2.04","8703"
"BARUN","2022-03-27","500","503","481.1","485","-3.77","22513"
"BARUN","2022-03-24","508","512","495","504","-0.92","17933"
"BARUN","2022-03-23","512.1","515","508","508.7","-1.97","4998"
"BARUN","2022-03-22","526","530","515","518.9","0.37","12317"
"BARUN","2022-03-21","490","517","489","517","3.82","23144"
"BARUN","2022-03-20","500","503","490.1","498","-0.20","9445"
"BARUN","2022-03-16","507","517","496.1","499","-1.77","18874"
"BARUN","2022-03-15","526","526","505","508","-1.74","12310"
"BARUN","2022-03-14","528","528","512.1","517","-0.77","8336"
"BARUN","2022-03-13","516","527","512","521","2.36","25313"
"BARUN","2022-03-10","496","515","478","509","4.47","35102"
"BARUN","2022-03-09","499","499","469","487.2","-0.98","23699"
"BARUN","2022-03-07","520","525","486.2","492","-3.91","39371"
"BARUN","2022-03-06","520","524","505","512","-0.37","22895"
"BARUN","2022-03-02","528.3","532","513","513.9","-4.66","38958"
"BARUN","2022-02-28","570","574","529.2","539","-4.26","50673"
"BARUN","2022-02-27","555","568","544","563","2.55","43563"
"BARUN","2022-02-24","576","576","541","549","-2.83","52310"
"BARUN","2022-02-23","569","579.9","539","565","0.73","146578"
"BARUN","2022-02-22","542","568","539","560.9","5.43","93944"
"BARUN","2022-02-21","517","550","513","532","3.58","39279"
"BARUN","2022-02-20","506","528","505","513.6","-0.47","26362"
"BARUN","2022-02-17","530","530","512","516","-1.00","7869"
"BARUN","2022-02-16","540","540","521","521.2","-3.48","15561"
"BARUN","2022-02-15","516","540","510.1","540","4.65","9949"
"BARUN","2022-02-14","505","520","504.7","516","2.18","15692"
"BARUN","2022-02-13","530","530","502","505","-4.54","30708"
"BARUN","2022-02-10","545","546","527","529","-1.40","10106"
"BARUN","2022-02-09","532.3","540","530","536.5","-1.20","12511"
"BARUN","2022-02-08","558.2","578","536","543","0.00","24398"
"BARUN","2022-02-07","538","555","534.1","547.3","1.73","23690"
"BARUN","2022-02-06","545","552","538","538","-3.06","27907"
"BARUN","2022-02-03","575","577","555","555","-1.77","42189"
"BARUN","2022-02-01","545.5","565","540","565","3.67","47894"
"BARUN","2022-01-31","547","565","543","545","-2.33","19003"
"BARUN","2022-01-30","535.5","558","535.5","558","6.29","36038"
"BARUN","2022-01-27","525","535","515","525","0.85","16225"
"BARUN","2022-01-26","530.1","541","516","520.6","-3.23","32583"
"BARUN","2022-01-25","535","560","525.1","538","-0.19","29487"
"BARUN","2022-01-24","573","573","530","539","-5.93","70677"
"BARUN","2022-01-23","588.5","595","560.2","573","-0.69","75996"
"BARUN","2022-01-20","565","580","560","577","0.35","45008"
"BARUN","2022-01-19","573","586","557","575","2.31","81266"
"BARUN","2022-01-18","547.7","580","540","562","4.66","162615"
"BARUN","2022-01-17","535","539","516.2","537","0.96","36234"
"BARUN","2022-01-16","515.4","545","517","531.9","3.20","49183"
"BARUN","2022-01-13","499.8","516","490","515.4","5.18","44601"
"BARUN","2022-01-12","509.8","515","488.3","490","-2.00","37114"
"BARUN","2022-01-11","484","510","484","500","1.63","27009"
"BARUN","2022-01-10","501.8","510","486","492","0.00","30242"
"BARUN","2022-01-09","478","493","474","492","4.90","35433"
"BARUN","2022-01-06","474.9","474.9","463","469","-0.42","9536"
"BARUN","2022-01-05","470","487","462.1","471","0.21","17100"
"BARUN","2022-01-04","462","470","460","470","1.73","14119"
"BARUN","2022-01-03","451","467","451","462","0.87","12098"
"BARUN","2022-01-02","461","469","456","458","-0.87","15252"
"BARUN","2021-12-29","468","470","455","462","0.22","9349"
"BARUN","2021-12-28","459","468","448","461","0.44","23474"
"BARUN","2021-12-27","487","488","458","459","-5.36","33431"
"BARUN","2021-12-26","502.8","518","479","485","-1.62","38974"
"BARUN","2021-12-23","460","496","460","493","9.31","101191"
"BARUN","2021-12-22","418","451","411","451","10.00","34994"
"BARUN","2021-12-21","402","410","395","410","1.99","8444"
"BARUN","2021-12-20","395","402","388.1","402","1.77","9601"
"BARUN","2021-12-16","411","417","394.8","395","-3.92","13378"
"BARUN","2021-12-15","412","445","396","411.1","1.56","21203"
"BARUN","2021-12-14","375","404.8","375","404.8","10.00","15851"
"BARUN","2021-12-13","388.1","398","358.1","368","-7.07","23403"
"BARUN","2021-12-12","420","421","396","396","-5.94","14008"
"BARUN","2021-12-09","412.7","433","412.7","421","0.00","14114"
"BARUN","2021-12-08","436.1","448","408.9","421","-5.18","15435"
"BARUN","2021-12-07","468.6","483","442","444","-4.31","24170"
"BARUN","2021-12-06","445","470","419","464","3.11","28303"
"BARUN","2021-12-05","464","470","440.1","450","-4.86","20999"
"BARUN","2021-12-02","485","493","470.4","473","-2.27","8632"
"BARUN","2021-12-01","489","492.9","475","484","0.83","20389"
"BARUN","2021-11-30","485","485","460","480","0.84","14229"
"BARUN","2021-11-29","479","494.7","475","476","-0.63","18909"
"BARUN","2021-11-28","493","497","474","479","-4.77","23331"
"BARUN","2021-11-25","510","511","496","503","0.60","13121"
"BARUN","2021-11-24","488.1","509.7","480","500","0.40","29815"
"BARUN","2021-11-23","504","512.5","492","498","-3.11","35120"
"BARUN","2021-11-22","520","529","510","514","0.02","16179"
"BARUN","2021-11-21","512","535","505","513.9","1.16","20607"
"BARUN","2021-11-18","520","550.2","505.6","508","-2.03","37607"
