"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BFCPO","2022-04-19","270","270","270","270","-1.82","14709"
"BFCPO","2022-02-13","275","275","275","275","0.00","25000"
"BFCPO","2021-10-28","267","267","267","267","0.00","7500"
"BFCPO","2021-08-19","254","254","254","254","-1.93","25000"
"BFCPO","2021-08-05","259","259","259","259","-1.89","132301"
"BFCPO","2021-08-04","264","264","264","264","-1.86","150000"
"BFCPO","2021-08-03","269","269","269","269","0.00","4100"
"BFCPO","2021-02-25","101","101","100","100","0.00","35079"
"BFCPO","2021-01-26","101","101","101","101","0.01","500"
"BFCPO","2021-01-20","100","100","100","100","0.00","10802"
"BFCPO","2020-10-21","100","100","100","100","0.00","200"
"BFCPO","2020-07-20","100","100","100","100","0.00","16875"
"BFCPO","2020-07-19","100","100","100","100","0.00","36896"
"BFCPO","2019-12-16","100","100","100","100","0.00","136048"
"BFCPO","2019-11-11","100","100","100","100","0.00","7329"
"BFCPO","2018-06-12","103","103","103","103","-1.90","150631"
"BFCPO","2017-11-23","103","102","102","102","-0.97","11952"
