"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BNL","2021-08-01","1866.6","1903.9","1866.6","1903.9","4.04","360"
"BNL","2019-10-10","1795","1830","1795","1830","3.98","134"
"BNL","2019-05-06","1726","1760","1726","1760","3.96","20"
"BNL","2018-02-27","1693","1693","1693","1693","1.99","100"
"BNL","2016-11-15","1660","1660","1660","1660","0.00","100"
"BNL","2014-09-10","1660","1660","1660","1660","0.00","82"
"BNL","2014-08-26","1660","1660","1660","1660","0.00","840"
"BNL","2013-07-15","1680","1680","1680","1680","0.00","60"
"BNL","2013-05-26","1680","1680","1680","1680","0.00","20"
"BNL","2012-09-11","1690","1680","1680","1680","-0.59","20"
"BNL","2012-04-12","1690","1690","1690","1690","0.00","960"
