"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BNT","2022-05-05","13600","13800","13600","13660","-0.65","260"
"BNT","2022-05-04","13999.9","14279.8","13725","13750","-0.73","215"
"BNT","2022-05-02","13945.3","13945.3","13850","13851","-2.63","140"
"BNT","2022-04-28","14151","14434","14151","14225","-1.08","140"
"BNT","2022-04-27","14300","14379.9","14300","14379.9","1.80","155"
"BNT","2022-04-26","14129.1","14470","13916","14125","1.97","601"
"BNT","2022-04-25","14214","14496.9","13751.1","13852.1","-0.60","510"
"BNT","2022-04-24","13668","14220.1","13668","13936","4.00","252"
"BNT","2022-04-21","13500","13500","13400","13400","-2.16","190"
"BNT","2022-04-20","13700","13700","13428","13696.5","-0.03","131"
"BNT","2022-04-19","13681","14070","13601","13700","0.14","130"
"BNT","2022-04-18","13677","13700","13677","13681","-1.93","30"
"BNT","2022-04-17","14000","14000","13950","13950","-0.36","20"
"BNT","2022-04-13","14019.9","14020","14000","14000","1.82","105"
"BNT","2022-04-12","13650","13749.5","13480","13749.5","0.36","150"
"BNT","2022-04-11","14100","14100","13624","13700.1","-3.33","135"
"BNT","2022-04-07","13800","14172.2","13800","14172.2","4.04","40"
"BNT","2022-04-06","13700","13700","13622","13622","-2.00","108"
"BNT","2022-04-05","13970","13970","13710","13900","-2.49","340"
"BNT","2022-04-04","14500","14500","14255.1","14255.1","-1.69","113"
"BNT","2022-04-03","14500","14555","14350","14500","0.00","302"
"BNT","2022-03-31","14081.1","14780","14000","14500","5.03","630"
"BNT","2022-03-30","13999.9","14000","13805","13805","-0.32","60"
"BNT","2022-03-29","13872","13872","13670","13850","1.84","161"
"BNT","2022-03-28","13748","13750","13600","13600","-3.04","170"
"BNT","2022-03-27","14300","14300","14026","14026","-3.73","130"
"BNT","2022-03-24","14199","14570","14199","14570","2.61","476"
"BNT","2022-03-23","14000","14199","13851.5","14199","-0.56","244"
"BNT","2022-03-22","13720","14278.9","13610","14278.9","2.00","160"
"BNT","2022-03-21","13111.2","13999","13111.2","13999","5.10","130"
"BNT","2022-03-16","13329","13338","13320","13320","-1.98","116"
"BNT","2022-03-15","13358","13590","13101","13588.7","-0.08","250"
"BNT","2022-03-14","13601","13601","13600","13600","-1.09","34"
"BNT","2022-03-13","13497","14278","12900","13750","1.20","996"
"BNT","2022-03-10","13590","13590","13587","13587","-1.83","40"
"BNT","2022-03-09","13800","13840","13574","13840","-0.07","116"
"BNT","2022-03-07","13200","13900","13200","13850","5.48","576"
"BNT","2022-03-06","12600","13131","12600","13131","2.18","145"
"BNT","2022-03-02","13300","13300","12840","12851","-3.88","502"
"BNT","2022-02-28","13461.1","13589.8","13350","13370","-1.69","283"
"BNT","2022-02-27","13872","13872","13510","13600","0.00","156"
"BNT","2022-02-24","13750","13750","13475","13600","-1.45","466"
"BNT","2022-02-23","13800","13850","13800","13800","-0.59","100"
"BNT","2022-02-22","13900","14126","13850","13882.1","-0.84","178"
"BNT","2022-02-21","13622","14002","13622","14000","1.34","771"
"BNT","2022-02-20","13847.4","14050","13770","13815","-2.23","377"
"BNT","2022-02-17","13905","14160","13905","14130","-0.28","110"
"BNT","2022-02-16","14101.1","14170","14020","14170","0.50","100"
"BNT","2022-02-15","14144","14300","14000","14100","1.68","120"
"BNT","2022-02-14","13845","14119.9","13845","13867","0.48","230"
"BNT","2022-02-13","14060","14060","13800","13801","-3.29","702"
"BNT","2022-02-10","14586","14586","14000","14270","-0.21","823"
"BNT","2022-02-09","14105","14484","14092","14300","-0.41","583"
"BNT","2022-02-08","15000","15149","14359","14359","0.00","564"
"BNT","2022-02-07","14101","14998","14006.1","14950","4.61","533"
"BNT","2022-02-06","14210","14494.2","14210","14291","-1.44","184"
"BNT","2022-02-03","14700","14785","14500","14500","-1.33","360"
"BNT","2022-02-01","14800","14997.7","14650","14696","-1.32","300"
"BNT","2022-01-31","14505.1","14892","14350","14892","0.63","790"
"BNT","2022-01-30","14586","14877.7","14585","14798.9","3.49","570"
"BNT","2022-01-27","14280","14400","14125","14300","2.14","323"
"BNT","2022-01-26","13950","14200","13900","14000","-1.41","580"
"BNT","2022-01-25","14500","14660","14200","14200","-1.39","710"
"BNT","2022-01-24","14950","14950","14300","14400","-2.70","419"
"BNT","2022-01-23","14260","15385","14260","14800","2.78","1638"
"BNT","2022-01-20","14501","14790","14161","14400","-1.84","2157"
"BNT","2022-01-19","15244.9","15244.9","14670","14670","-2.20","554"
"BNT","2022-01-18","14995","15060","14995","15000","-1.95","180"
"BNT","2022-01-17","15164","15340","15064","15299","0.84","255"
"BNT","2022-01-16","15636.9","15500","14926","15172","-2.97","845"
"BNT","2022-01-13","15961.9","15961.9","15100","15636.9","-0.08","240"
"BNT","2022-01-12","15658","16100","15044","15649","1.94","2066"
"BNT","2022-01-11","15175.1","15786","15050","15351","-0.86","1370"
"BNT","2022-01-10","15884","16525","14943.9","15483.8","-0.57","950"
"BNT","2022-01-09","16000","16645","15573","15573","-0.81","500"
"BNT","2022-01-06","16250","16250","15700","15700","-1.57","331"
"BNT","2022-01-05","16400","16400","15533","15950","-1.32","1474"
"BNT","2022-01-04","16700","17670","16163.7","16163.7","-1.43","550"
"BNT","2022-01-03","15891.6","17100","15239","16399","5.26","1191"
"BNT","2022-01-02","15400","16116","14895.1","15580","2.51","1050"
"BNT","2021-12-29","14798","16000","14550","15199","0.66","1014"
"BNT","2021-12-28","15147","15270","14845","15100","1.68","431"
"BNT","2021-12-27","14889","16000","14850","14850","1.73","1285"
"BNT","2021-12-26","13566","14630","13566","14598","9.76","1484"
"BNT","2021-12-23","13015","13300","12800","13300","0.15","718"
"BNT","2021-12-22","12650","13424","12650","13280","5.40","265"
"BNT","2021-12-21","11775","12820","11775","12600","5.00","1101"
"BNT","2021-12-20","11780","12000","11088.7","12000","-0.17","1121"
"BNT","2021-12-16","12251","12252","12006","12020","-3.84","50"
"BNT","2021-12-15","12750","12750","12496","12500","0.00","105"
"BNT","2021-12-14","12484","12500","12484","12500","2.12","105"
"BNT","2021-12-13","11845.2","12324","11845.2","12240","5.40","310"
"BNT","2021-12-12","12226","12226","11613","11613","-6.20","460"
"BNT","2021-12-09","11760","12380","11560.2","12380","3.17","190"
"BNT","2021-12-08","12330","12820","12000","12000","-4.59","675"
"BNT","2021-12-07","12840","13095","12577.4","12577.4","-0.18","570"
"BNT","2021-12-06","11899","12600","11282","12600","7.37","691"
"BNT","2021-12-05","11900","12193","11505","11735.1","0.13","130"
"BNT","2021-12-02","12442","12442","11715","11720","-3.93","438"
"BNT","2021-12-01","11999","12200","11999","12200","2.91","93"
"BNT","2021-11-30","11650","11859","11630","11855","-0.10","266"
"BNT","2021-11-29","12347.1","12347.1","11863","11867","-1.97","570"
"BNT","2021-11-28","12799","12856","12105","12105","-3.96","519"
"BNT","2021-11-25","12750","12800","12604","12604","-1.15","260"
"BNT","2021-11-24","12995.1","12999","12507","12750","-1.92","210"
"BNT","2021-11-23","12851","13108","12851","13000","-0.84","180"
"BNT","2021-11-22","12905.7","13160","12905.7","13110","-0.45","368"
"BNT","2021-11-21","13400","13413","12887","13169","0.14","222"
