"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BOKLPO","2022-04-11","141","141","141","141","0.00","26352"
"BOKLPO","2021-06-27","198","198","198","198","-1.98","9565"
"BOKLPO","2021-03-04","147","147","147","147","0.00","1642"
"BOKLPO","2021-01-25","147","147","147","147","0.00","16950"
"BOKLPO","2020-12-07","147","147","147","147","0.00","12631"
"BOKLPO","2020-10-20","147","147","147","147","0.00","70545"
"BOKLPO","2020-10-18","140.11","147","147","147","0.00","176256"
"BOKLPO","2020-10-15","191","147","147","147","0.00","139900"
"BOKLPO","2020-03-05","147","147","147","147","0.00","28762"
"BOKLPO","2019-09-29","147","147","147","147","-2.00","140000"
"BOKLPO","2019-09-26","150","150","150","150","0.00","6520"
"BOKLPO","2019-08-19","150","150","150","150","0.00","20000"
"BOKLPO","2019-04-01","150","150","150","150","0.00","1400"
"BOKLPO","2019-02-13","150","150","150","150","0.00","10000"
"BOKLPO","2018-06-27","212","212","212","212","0.00","5285"
"BOKLPO","2018-04-09","212","212","212","212","0.00","579914"
"BOKLPO","2018-03-29","212","212","212","212","0.47","27441"
"BOKLPO","2018-02-20","211","211","211","211","0.48","40449"
"BOKLPO","2017-09-06","270","270","270","270","-1.82","5000"
"BOKLPO","2017-03-16","405","405","405","405","1.00","175868"
"BOKLPO","2016-10-19","387","401","387","401","5.53","37800"
