"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CEFL","2020-01-08","101","101","101","101","-1.94","800"
"CEFL","2020-01-01","103","103","103","103","1.98","130"
"CEFL","2019-12-31","102","102","101","101","-2.88","547"
"CEFL","2019-12-30","104","104","104","104","-0.95","10"
"CEFL","2019-12-29","106","106","105","105","0.00","303"
"CEFL","2019-12-26","103","105","103","105","1.94","550"
"CEFL","2019-12-24","102","103","102","103","-0.96","540"
"CEFL","2019-12-23","102","104","102","104","1.96","287"
"CEFL","2019-12-19","102","102","102","102","0.99","800"
"CEFL","2019-12-18","101","101","101","101","-1.94","30"
"CEFL","2019-12-17","101","103","99","103","0.00","6220"
"CEFL","2019-12-16","100","103","100","103","4.04","1230"
"CEFL","2019-12-15","99","100","99","100","2.04","110"
"CEFL","2019-12-11","98","98","98","98","0.00","4460"
"CEFL","2019-12-04","97","98","97","98","0.00","70"
"CEFL","2019-12-03","98","98","98","98","-2.00","20"
"CEFL","2019-11-14","100","100","100","100","0.00","890"
"CEFL","2019-11-11","100","100","100","100","-1.96","100"
"CEFL","2019-11-10","101","102","99","102","0.00","2217"
"CEFL","2019-11-07","102","102","102","102","-0.97","667"
"CEFL","2019-11-06","102","103","102","103","-0.96","2000"
"CEFL","2019-11-05","104","104","104","104","-1.89","200"
"CEFL","2019-11-04","106","106","106","106","0.95","500"
"CEFL","2019-10-31","105","105","105","105","-1.87","100"
"CEFL","2019-10-24","109","109","107","107","-2.73","600"
"CEFL","2019-10-23","110","110","110","110","-0.90","300"
"CEFL","2019-10-22","109","111","109","111","0.00","1477"
"CEFL","2019-10-21","113","113","111","111","0.00","256"
"CEFL","2019-10-20","114","114","111","111","-4.31","2750"
"CEFL","2019-10-17","116","116","116","116","1.75","500"
"CEFL","2019-10-16","114","114","114","114","1.79","2500"
"CEFL","2019-10-15","117","117","112","112","-5.88","4010"
"CEFL","2019-10-14","116","119","114","119","4.39","14300"
"CEFL","2019-10-10","110","114","110","114","1.79","60"
"CEFL","2019-10-03","108","112","108","112","3.70","1220"
"CEFL","2019-10-02","108","108","108","108","1.89","500"
"CEFL","2019-10-01","106","106","104","106","1.92","680"
"CEFL","2019-09-24","103","103","103","103","1.98","100"
"CEFL","2019-09-23","101","101","101","101","-0.98","120"
"CEFL","2019-09-22","100","102","100","102","3.03","2340"
"CEFL","2019-09-18","98","99","98","99","2.06","1200"
"CEFL","2019-09-17","98","98","97","97","-2.02","1000"
"CEFL","2019-09-16","99","99","98","99","-1.98","600"
"CEFL","2019-09-15","101","101","101","101","-0.98","300"
"CEFL","2019-09-12","100","102","100","102","0.99","137"
"CEFL","2019-09-11","100","101","100","101","-0.98","210"
"CEFL","2019-09-10","102","102","102","102","2.00","100"
"CEFL","2019-09-09","100","100","100","100","1.01","500"
"CEFL","2019-09-04","99","99","99","99","1.02","2500"
"CEFL","2019-09-03","101","101","98","98","-4.85","4380"
"CEFL","2019-09-02","103","103","103","103","-0.96","1000"
"CEFL","2019-08-28","106","106","104","106","-1.85","100"
"CEFL","2019-08-27","114","114","108","108","-6.90","3391"
"CEFL","2019-08-26","116","116","116","116","-1.69","200"
"CEFL","2019-08-25","118","118","118","118","1.72","270"
"CEFL","2019-08-22","114","116","114","116","2.65","50"
"CEFL","2019-08-21","113","113","108","113","-1.74","5867"
"CEFL","2019-08-20","116","116","111","115","-2.54","4820"
"CEFL","2019-08-19","119","119","118","118","0.85","60"
"CEFL","2019-08-18","117","119","117","117","1.74","170"
"CEFL","2019-08-15","113","115","113","115","0.88","2070"
"CEFL","2019-08-14","116","116","114","114","-0.87","146"
"CEFL","2019-08-13","114","118","114","115","0.88","4154"
"CEFL","2019-08-12","111","114","107","114","4.59","10644"
"CEFL","2019-08-11","107","109","107","109","1.87","250"
"CEFL","2019-08-08","107","107","107","107","-1.83","10"
"CEFL","2019-08-07","107","109","107","109","1.87","1890"
"CEFL","2019-08-06","107","107","107","107","0.94","1500"
"CEFL","2019-08-05","109","111","105","106","-0.93","9720"
"CEFL","2019-08-04","107","108","105","107","1.90","10660"
"CEFL","2019-08-01","105","107","105","105","1.94","1874"
"CEFL","2019-07-31","103","103","103","103","1.98","182"
"CEFL","2019-07-30","101","101","101","101","-1.94","450"
"CEFL","2019-07-29","103","103","103","103","1.98","398"
"CEFL","2019-07-25","103","103","101","101","-1.94","457"
"CEFL","2019-07-24","105","107","103","103","-3.74","1760"
"CEFL","2019-07-23","105","107","105","107","1.90","1927"
"CEFL","2019-07-22","105","105","103","105","0.00","5310"
"CEFL","2019-07-21","104","107","101","105","2.94","6161"
"CEFL","2019-07-18","101","102","101","102","0.99","700"
"CEFL","2019-07-16","101","101","101","101","1.00","300"
"CEFL","2019-07-15","100","100","100","100","0.00","120"
"CEFL","2019-07-14","100","100","100","100","0.00","30"
"CEFL","2019-07-11","100","100","100","100","-1.96","140"
"CEFL","2019-07-10","101","103","101","102","2.00","1800"
"CEFL","2019-07-09","102","102","100","100","-3.85","1070"
"CEFL","2019-07-07","102","104","102","104","1.96","250"
"CEFL","2019-07-04","99","104","99","102","4.08","150"
"CEFL","2019-06-27","98","98","98","98","-1.01","114"
"CEFL","2019-06-25","99","99","99","99","1.02","510"
"CEFL","2019-06-24","100","100","98","98","-3.92","3900"
"CEFL","2019-06-23","102","102","102","102","0.00","100"
"CEFL","2019-06-20","102","102","102","102","2.00","1000"
"CEFL","2019-06-18","100","100","100","100","-1.96","200"
"CEFL","2019-06-17","102","102","102","102","2.00","50"
"CEFL","2019-06-16","100","100","100","100","-1.96","1000"
"CEFL","2019-06-13","105","105","102","102","-0.97","1690"
"CEFL","2019-06-12","104","104","103","103","0.98","150"
"CEFL","2019-06-11","102","102","102","102","-0.97","20"
"CEFL","2019-06-10","107","107","103","103","-4.63","8895"
"CEFL","2019-06-06","100","109","100","108","8.00","2460"
"CEFL","2019-06-04","102","105","100","100","0.00","2060"
"CEFL","2019-06-03","100","100","100","100","0.00","604"
"CEFL","2019-06-02","100","101","100","100","-1.96","1840"
"CEFL","2019-05-30","103","104","101","102","-2.86","3870"
"CEFL","2019-05-29","102","106","100","105","5.00","1464"
"CEFL","2019-05-28","99","100","99","100","1.01","270"
"CEFL","2019-05-27","101","101","99","99","-1.98","520"
"CEFL","2019-05-26","101","103","101","101","-1.94","129"
"CEFL","2019-05-23","107","107","103","103","-1.90","919"
"CEFL","2019-05-22","96","105","96","105","9.37","14638"
"CEFL","2019-05-21","96","96","92","96","-1.03","10060"
"CEFL","2019-05-20","102","102","97","97","-3.00","4210"
"CEFL","2019-05-19","102","102","100","100","-1.96","460"
"CEFL","2019-05-16","102","102","102","102","2.00","360"
"CEFL","2019-05-13","99","100","99","100","2.04","390"
"CEFL","2019-05-12","97","98","97","98","1.03","520"
"CEFL","2019-05-07","96","97","96","97","2.11","20"
"CEFL","2019-05-02","96","96","95","95","-2.06","1450"
"CEFL","2019-04-30","97","97","97","97","-1.02","50"
"CEFL","2019-04-24","98","98","98","98","-2.00","80"
"CEFL","2019-04-23","100","100","100","100","-1.96","10"
