"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CHDC","2022-05-05","735","748.2","720.5","729","-2.15","3635"
"CHDC","2022-05-04","745","800.9","730","745","-1.97","7606"
"CHDC","2022-05-02","760","765","727","760","-1.94","9305"
"CHDC","2022-04-28","788","810","771.1","775","-3.13","12624"
"CHDC","2022-04-27","771","800","761.1","800","2.04","6342"
"CHDC","2022-04-26","786","815","771","784","-0.25","7671"
"CHDC","2022-04-25","815","815","770","786","-2.84","22537"
"CHDC","2022-04-24","742.2","815","742.2","809","9.18","14371"
"CHDC","2022-04-21","720","745","708.7","741","1.65","6348"
"CHDC","2022-04-20","730.1","755","710.1","729","-2.15","5669"
"CHDC","2022-04-19","730","750","727.5","745","2.76","17967"
"CHDC","2022-04-18","736","746","720.1","725","-3.33","7001"
"CHDC","2022-04-17","770","775","750","750","-2.85","4913"
"CHDC","2022-04-13","759","774","742.9","772","1.85","15325"
"CHDC","2022-04-12","772","772","745.2","758","-1.81","8740"
"CHDC","2022-04-11","814.9","815","772","772","-3.38","9195"
"CHDC","2022-04-07","775","810","775","799","2.04","8530"
"CHDC","2022-04-06","785","800","772","783","-2.13","5195"
"CHDC","2022-04-05","824.6","824.6","777","800","-2.91","12197"
"CHDC","2022-04-04","834","835","815","824","-1.20","6968"
"CHDC","2022-04-03","840","840","820.1","834","-0.12","2622"
"CHDC","2022-03-31","864","865","833.2","835","-1.65","7361"
"CHDC","2022-03-30","815","855","815","849","2.91","8372"
"CHDC","2022-03-29","838","853","815.1","825","-1.55","6648"
"CHDC","2022-03-28","850.1","870","833","838","-1.87","11019"
"CHDC","2022-03-27","865","892","854","854","-2.40","7543"
"CHDC","2022-03-24","886","905","875","875","-2.78","8135"
"CHDC","2022-03-23","882.5","925","882.2","900","0.11","12189"
"CHDC","2022-03-22","892","915","892","899","-0.11","6011"
"CHDC","2022-03-21","889","913","881.1","900","1.24","14021"
"CHDC","2022-03-20","900","910","886","889","-1.22","2995"
"CHDC","2022-03-16","902","920","890","900","-1.63","10981"
"CHDC","2022-03-15","930","938","904","914.9","-1.62","14882"
"CHDC","2022-03-14","932","946","901.6","930","-0.21","4602"
"CHDC","2022-03-13","895","938.4","895","932","3.79","19730"
"CHDC","2022-03-10","850","906.5","849","898","5.15","15045"
"CHDC","2022-03-09","880","896","853","854","-2.23","9139"
"CHDC","2022-03-07","900","920","873.5","873.5","-2.94","7248"
"CHDC","2022-03-06","925","960","892","900","-2.49","11128"
"CHDC","2022-03-02","949.6","964","905","923","-4.74","16019"
"CHDC","2022-02-28","1015","1024","961.1","968.9","-3.59","20060"
"CHDC","2022-02-27","981","1020","966.7","1005","2.35","20120"
"CHDC","2022-02-24","987.3","991","971","981.9","-2.30","13661"
"CHDC","2022-02-23","985","1015","983","1005","2.55","33617"
"CHDC","2022-02-22","1005","1005","975.1","980","-0.61","13441"
"CHDC","2022-02-21","967.1","1000","967.1","986","1.96","15750"
"CHDC","2022-02-20","995","995","956","967","-2.81","21235"
"CHDC","2022-02-17","975","1008","966","995","2.04","21456"
"CHDC","2022-02-16","1025","1025","975.1","975.1","-4.03","12408"
"CHDC","2022-02-15","998.9","1016","961.4","1016","3.04","12759"
"CHDC","2022-02-14","968","986","966","986","1.75","10632"
"CHDC","2022-02-13","1019.2","1019.2","962.1","969","-6.83","65395"
"CHDC","2022-02-10","1050","1064","1033","1040","-0.95","16578"
"CHDC","2022-02-09","1052.6","1080","1033","1050","1.74","56606"
"CHDC","2022-02-08","1074","1081","1029","1032","0.00","33563"
"CHDC","2022-02-07","1075","1090","1053","1053","-2.05","40666"
"CHDC","2022-02-06","1100","1110","1071.1","1075","-4.19","34077"
"CHDC","2022-02-03","1093","1130","1070.1","1122","2.94","66295"
"CHDC","2022-02-01","1090","1122","1065","1090","0.00","52992"
"CHDC","2022-01-31","996.7","1100","996.7","1090","7.18","87541"
"CHDC","2022-01-30","1030.2","1049","998","1017","0.69","78472"
"CHDC","2022-01-27","920","1017","920","1010","8.72","85266"
"CHDC","2022-01-26","876","935","875","929","4.97","47456"
"CHDC","2022-01-25","875","907","875","885","-0.67","20439"
"CHDC","2022-01-24","912","920","880","891","-4.19","36645"
"CHDC","2022-01-23","950","966","918.1","930","-2.11","31204"
"CHDC","2022-01-20","921.2","973.7","910","950","1.06","24889"
"CHDC","2022-01-19","975","993","930","940","-3.59","31953"
"CHDC","2022-01-18","988","990","943","975","0.31","32723"
"CHDC","2022-01-17","905","975","890","972","8.01","75519"
"CHDC","2022-01-16","882","918","891","899.9","2.03","60258"
"CHDC","2022-01-13","870","890","861.1","882","1.15","13996"
"CHDC","2022-01-12","876","905","860.1","872","-2.24","26804"
"CHDC","2022-01-11","845","910","845","892","3.60","38386"
"CHDC","2022-01-10","882","885","853","861","-0.81","25815"
"CHDC","2022-01-09","850","885.5","850","868","2.12","34160"
"CHDC","2022-01-06","850","861.9","839","850","0.35","29177"
"CHDC","2022-01-05","850","880","835","847","-2.31","18875"
"CHDC","2022-01-04","840","872","826","867","2.12","19380"
"CHDC","2022-01-03","844.5","850","826","849","2.54","26109"
"CHDC","2022-01-02","802","832.8","796","828","3.24","17980"
"CHDC","2021-12-29","772.4","809","764","802","1.78","6859"
"CHDC","2021-12-28","761","790","742","788","1.53","13658"
