"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CHL","2022-05-05","319","319","298","302","-5.33","16854"
"CHL","2022-05-04","330.4","342","319","319","-5.34","11393"
"CHL","2022-05-02","350","350","328.3","337","-4.26","11130"
"CHL","2022-04-28","365","365","346","352","-1.95","14636"
"CHL","2022-04-27","363.9","363.9","346","359","0.42","11600"
"CHL","2022-04-26","355","366","344.5","357.5","-1.02","19533"
"CHL","2022-04-25","377","384.5","358","361.2","-2.38","14457"
"CHL","2022-04-24","338","377","336.2","370","7.87","22841"
"CHL","2022-04-21","351","351","333","343","-2.83","9222"
"CHL","2022-04-20","363","365","342","353","-2.97","7102"
"CHL","2022-04-19","366","373.2","346","363.8","1.34","4380"
"CHL","2022-04-18","357.1","378","356.8","359","-1.37","5203"
"CHL","2022-04-17","372.2","380","363","364","-2.67","5115"
"CHL","2022-04-13","375","380","365","374","1.08","9143"
"CHL","2022-04-12","378.1","384","363","370","-3.90","11470"
"CHL","2022-04-11","399.8","410","384","385","-1.79","13003"
"CHL","2022-04-07","382.1","410","382.1","392","1.03","11840"
"CHL","2022-04-06","392","400","385.2","388","-1.77","5860"
"CHL","2022-04-05","402","404","387.2","395","-1.25","9831"
"CHL","2022-04-04","399.1","406","395","400","-0.62","8987"
"CHL","2022-04-03","406","439","402","402.5","-0.86","25412"
"CHL","2022-03-31","425","425","405.5","406","-2.87","7544"
"CHL","2022-03-30","415.9","423","414","418","0.75","11320"
"CHL","2022-03-29","408","424","401.8","414.9","-0.26","8106"
"CHL","2022-03-28","429","434.9","408","416","-2.58","15795"
"CHL","2022-03-27","440","445","427","427","-2.73","14022"
"CHL","2022-03-24","455","455","438","439","-2.70","6765"
"CHL","2022-03-23","460","466","450.4","451.2","-1.48","4030"
"CHL","2022-03-22","475","475","458","458","-1.72","10216"
"CHL","2022-03-21","460","472.5","456","466","1.53","5506"
"CHL","2022-03-20","465","474","447.9","459","-1.08","11119"
"CHL","2022-03-16","468","469","457","464","-0.43","6799"
"CHL","2022-03-15","484.5","484.5","461","466","-2.10","10319"
"CHL","2022-03-14","495","495","467.5","476","-2.06","5054"
"CHL","2022-03-13","458","486","458","486","5.88","25478"
"CHL","2022-03-10","430","470","430","459","5.52","17647"
"CHL","2022-03-09","455","455","433","435","-2.90","9908"
"CHL","2022-03-07","464.1","473","441","448","-1.54","8522"
"CHL","2022-03-06","457","466","450","455","-0.22","9584"
"CHL","2022-03-02","463.8","475","454","456","-3.59","12320"
"CHL","2022-02-28","495.7","506","460","473","-2.67","17333"
"CHL","2022-02-27","472","494","472","486","2.97","23333"
"CHL","2022-02-24","489","493","470.4","472","-3.48","20675"
"CHL","2022-02-23","505.9","505.9","489","489","-1.41","13238"
"CHL","2022-02-22","499.8","508","491","496","1.22","28452"
"CHL","2022-02-21","489","501","471","490","2.08","27320"
