"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CIT","2022-05-05","2735","2779","2690","2700","-2.39","8298"
"CIT","2022-05-04","2800","2814","2760","2766.1","-0.89","5376"
"CIT","2022-05-02","2830","2830","2791","2791","-2.21","5926"
"CIT","2022-04-28","2865","2900","2840","2854","-0.38","5611"
"CIT","2022-04-27","2855","2866.9","2819","2865","-0.35","4726"
"CIT","2022-04-26","2900","2913","2875","2875","-1.13","2934"
"CIT","2022-04-25","2995","2995","2895","2908","-1.39","5216"
"CIT","2022-04-24","2920","2950","2880","2948.9","2.89","7404"
"CIT","2022-04-21","2860","2875","2830","2866","0.24","4786"
"CIT","2022-04-20","2920","2920","2840","2859","-0.52","3223"
"CIT","2022-04-19","2856","2924","2850","2874","0.00","5607"
"CIT","2022-04-18","2860","2888","2831.1","2874","0.21","7009"
"CIT","2022-04-17","2949.7","2949.8","2850","2868","-0.83","6860"
"CIT","2022-04-13","2939","2940","2847.5","2892","0.24","6290"
"CIT","2022-04-12","2932","2932","2879","2885","-1.60","7062"
"CIT","2022-04-11","3068.9","3080","2926","2932","-2.56","15031"
"CIT","2022-04-07","3030","3050","2970","3009","0.80","5530"
"CIT","2022-04-06","2996","3040","2985","2985","-2.03","13651"
"CIT","2022-04-05","3135","3135","2975","3047","-0.88","14527"
"CIT","2022-04-04","3090","3096","3052","3074.1","-0.90","5137"
"CIT","2022-04-03","3122","3164","3088","3102","-1.99","5966"
"CIT","2022-03-31","3179.9","3201","3126","3165","0.80","22710"
"CIT","2022-03-30","3105","3140","3086.1","3140","1.16","5905"
"CIT","2022-03-29","3140","3147","3100","3104","-0.51","5041"
"CIT","2022-03-28","3150","3170","3100","3120","-0.83","9477"
"CIT","2022-03-27","3165","3190","3141","3146","-0.76","12486"
"CIT","2022-03-24","3200","3248.9","3170","3170","-2.01","7828"
"CIT","2022-03-23","3269","3297","3230","3235","-1.04","8526"
"CIT","2022-03-22","3220","3290","3220","3269","1.52","8342"
"CIT","2022-03-21","3195","3240","3180","3220","0.94","8568"
"CIT","2022-03-20","3220","3225","3172","3190","0.69","6053"
"CIT","2022-03-16","3157","3190","3111","3168","0.35","20903"
"CIT","2022-03-15","3196","3196","3125","3157","-0.09","10816"
"CIT","2022-03-14","3182","3190","3105","3160","0.00","4306"
"CIT","2022-03-13","3087","3180","3055","3160","4.36","15683"
"CIT","2022-03-10","2948","3030","2915","3028","2.68","8022"
"CIT","2022-03-09","2969","3000","2930","2948.9","-0.68","5443"
"CIT","2022-03-07","3000","3014","2950","2969","-0.47","5408"
"CIT","2022-03-06","2990","3040","2950","2983","-0.23","6277"
"CIT","2022-03-02","3050","3050","2980","2990","-1.58","8359"
"CIT","2022-02-28","3125","3130","3029","3038","-1.68","5943"
"CIT","2022-02-27","3150","3150","3075","3090","-0.42","6883"
"CIT","2022-02-24","3160","3190","3100","3103","-2.67","11164"
"CIT","2022-02-23","3222","3222","3171","3188.1","-0.06","3207"
"CIT","2022-02-22","3190","3225","3180","3190","0.00","4644"
"CIT","2022-02-21","3150","3190","3150","3190","1.27","4273"
"CIT","2022-02-20","3157","3213","3092.9","3150","-2.17","6688"
"CIT","2022-02-17","3220","3245","3207","3220","0.41","3007"
"CIT","2022-02-16","3235","3269","3205","3207","-0.87","5191"
"CIT","2022-02-15","3205","3249.9","3195.1","3235","0.78","5393"
"CIT","2022-02-14","3200","3245","3182","3210","0.31","14012"
"CIT","2022-02-13","3255","3255","3189","3200","-3.61","15370"
"CIT","2022-02-10","3280","3370","3280","3319.9","-0.39","5783"
"CIT","2022-02-09","3306.1","3375","3278","3333","-0.06","10655"
"CIT","2022-02-08","3417.2","3430","3323","3335","0.00","7109"
"CIT","2022-02-07","3298","3400","3298","3350.2","-0.44","5449"
"CIT","2022-02-06","3390","3415","3355","3365","-1.32","6812"
"CIT","2022-02-03","3484","3484","3400","3410","-0.18","13731"
"CIT","2022-02-01","3360","3435","3353","3416","0.53","5619"
"CIT","2022-01-31","3400.1","3465","3395","3398","-1.19","9698"
"CIT","2022-01-30","3377","3451","3377","3439","3.87","12223"
"CIT","2022-01-27","3355","3359","3309","3310.8","0.15","11365"
"CIT","2022-01-26","3320","3390","3300","3306","-2.19","10639"
"CIT","2022-01-25","3380","3415","3260","3380","0.00","18889"
"CIT","2022-01-24","3451","3455.1","3364","3380","-2.59","20821"
"CIT","2022-01-23","3555","3555","3458","3470","-0.72","12375"
"CIT","2022-01-20","3451","3520","3431","3495","0.71","12201"
"CIT","2022-01-19","3511","3524","3453.6","3470.2","-1.13","13923"
"CIT","2022-01-18","3512","3639.9","3485.1","3510","-1.82","16017"
"CIT","2022-01-17","3608.7","3646","3523","3575","0.17","18245"
"CIT","2022-01-16","3492.4","3599","3422.6","3569","4.23","31213"
"CIT","2022-01-13","3410","3438","3371","3424","1.30","13180"
"CIT","2022-01-12","3400","3468","3364","3380","-0.59","17349"
"CIT","2022-01-11","3380","3419","3350","3400","0.71","18773"
"CIT","2022-01-10","3440","3449.9","3360","3376","-0.97","17311"
"CIT","2022-01-09","3355","3419.9","3345","3409","1.91","25708"
"CIT","2022-01-06","3231","3375","3190","3345","3.18","25808"
"CIT","2022-01-05","3350","3350","3241","3241.9","-2.65","17466"
"CIT","2022-01-04","3350","3365","3261","3330","0.61","8107"
"CIT","2022-01-03","3264","3339","3201","3309.9","3.43","27395"
"CIT","2022-01-02","3132.4","3250","3071","3200","4.20","20266"
