"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CLBSL","2022-05-05","806","820","800","802","-2.08","1918"
"CLBSL","2022-05-04","830","830","819","819","-1.56","1566"
"CLBSL","2022-05-02","850","850","832","832","-2.86","1203"
"CLBSL","2022-04-28","888.9","900","855","856.5","-3.64","1975"
"CLBSL","2022-04-27","873","890.4","873","888.9","0.10","1161"
"CLBSL","2022-04-26","875","908","875","888","1.69","1670"
"CLBSL","2022-04-25","905","909","873.1","873.2","-1.78","1603"
"CLBSL","2022-04-24","840","896","840","889","7.63","3386"
"CLBSL","2022-04-21","846.6","846.6","825","826","-0.48","995"
"CLBSL","2022-04-20","875","875","828","830","-3.49","2174"
"CLBSL","2022-04-19","835","865","830","860","3.12","2033"
"CLBSL","2022-04-18","839","855.7","824","834","-2.46","3178"
"CLBSL","2022-04-17","865","880","855","855","0.00","1673"
"CLBSL","2022-04-13","835","868","835","855","0.59","1752"
"CLBSL","2022-04-12","855","860","830","850","-1.51","3227"
"CLBSL","2022-04-11","914.9","914.9","846","863","-3.79","3327"
"CLBSL","2022-04-07","865.2","897","865.1","897","3.22","1692"
"CLBSL","2022-04-06","870","896.9","864","869","-1.25","2553"
"CLBSL","2022-04-05","900","900","873","880","-3.83","5800"
"CLBSL","2022-04-04","913","931","901","915","0.22","1914"
"CLBSL","2022-04-03","915","915","902","913","-0.22","811"
"CLBSL","2022-03-31","938.9","939","907.1","915","-0.97","1335"
"CLBSL","2022-03-30","915","925.2","906","924","2.10","1252"
"CLBSL","2022-03-29","922","926","903.6","905","-1.84","2713"
"CLBSL","2022-03-28","925","930","921","922","-1.39","1238"
"CLBSL","2022-03-27","941","950","919","935","-2.21","3047"
"CLBSL","2022-03-24","960","975","947","956.1","-0.41","1775"
"CLBSL","2022-03-23","965","976","956","960","-0.52","575"
"CLBSL","2022-03-22","985","985","965","965","-0.41","2760"
"CLBSL","2022-03-21","956","972","940","969","0.73","2629"
"CLBSL","2022-03-20","946","964.9","946","962","0.21","737"
"CLBSL","2022-03-16","980","980","953","960","-2.04","2015"
"CLBSL","2022-03-15","980","989","970","980","-0.91","1824"
"CLBSL","2022-03-14","985","989","973","989","1.96","1568"
"CLBSL","2022-03-13","948","983","935","970","3.52","4887"
"CLBSL","2022-03-10","915","940","915","937","0.97","2956"
"CLBSL","2022-03-09","940","940","919","928","-1.17","1362"
"CLBSL","2022-03-07","938","947.8","930","939","0.11","690"
"CLBSL","2022-03-06","935","969","930","938","1.96","2027"
"CLBSL","2022-03-02","979","979","920","920","-4.17","3343"
"CLBSL","2022-02-28","995","1003","960","960","-2.44","3669"
"CLBSL","2022-02-27","975","990","966","984","0.41","2026"
"CLBSL","2022-02-24","980","994","978","980","-1.51","5351"
"CLBSL","2022-02-23","1010","1010","988.9","995","-0.50","2368"
"CLBSL","2022-02-22","1040.4","1040.4","997","1000","-1.96","7620"
"CLBSL","2022-02-21","1019","1025","983","1020","1.69","5101"
"CLBSL","2022-02-20","1019.2","1019.2","999","1003","-3.09","4884"
"CLBSL","2022-02-17","1060","1060","1035","1035","-2.27","2250"
"CLBSL","2022-02-16","1072","1072","1016","1059","-1.12","2786"
"CLBSL","2022-02-15","1070","1086","1047","1071","2.00","1041"
"CLBSL","2022-02-14","1056","1058","1030","1050","1.35","2354"
"CLBSL","2022-02-13","1069.1","1069.1","1036","1036","-4.95","2477"
"CLBSL","2022-02-10","1090","1099","1073","1090","-0.46","652"
"CLBSL","2022-02-09","1080","1100","1080","1095","-0.45","695"
"CLBSL","2022-02-08","1122","1124","1090","1100","0.00","2624"
"CLBSL","2022-02-07","1100","1108","1095","1100","0.00","1745"
"CLBSL","2022-02-06","1115","1116","1090","1100","-1.79","2053"
"CLBSL","2022-02-03","1113","1140","1106","1120","1.27","5054"
"CLBSL","2022-02-01","1117","1140","1085.9","1106","-2.12","7701"
"CLBSL","2022-01-31","1170","1170","1130","1130","-3.42","5256"
"CLBSL","2022-01-30","1135","1178","1130","1170","4.28","3478"
"CLBSL","2022-01-27","1110","1122","1090","1122","1.17","4830"
"CLBSL","2022-01-26","1101","1123","1080","1109","-1.16","9282"
"CLBSL","2022-01-25","1102.5","1140","1087","1122","-0.27","3586"
"CLBSL","2022-01-24","1135","1140","1093","1125","-2.85","6064"
"CLBSL","2022-01-23","1169","1179","1145","1158","0.25","2489"
"CLBSL","2022-01-20","1145","1165","1140","1155.1","0.44","2617"
"CLBSL","2022-01-19","1158","1180","1130","1150","-0.61","14397"
"CLBSL","2022-01-18","1195","1200","1135","1157","-3.18","4805"
"CLBSL","2022-01-17","1233","1233","1183","1195","-1.16","6067"
"CLBSL","2022-01-16","1173","1220","1180","1209","3.07","12142"
"CLBSL","2022-01-13","1140","1180","1125","1173","3.17","7129"
"CLBSL","2022-01-12","1209.7","1209.7","1137","1137","-4.13","7468"
"CLBSL","2022-01-11","1080","1186","1071","1186","9.92","11001"
"CLBSL","2022-01-10","1098","1098","1065","1079","-0.09","1588"
"CLBSL","2022-01-09","1070","1095","1060.2","1080","2.86","5079"
"CLBSL","2022-01-06","1020.1","1060","1010","1050","0.96","1668"
"CLBSL","2022-01-05","1100","1100","1035","1040","-4.15","3598"
"CLBSL","2022-01-04","1029","1088","1028.1","1085","3.43","5606"
"CLBSL","2022-01-03","1016","1077","990.8","1049","3.76","9752"
"CLBSL","2022-01-02","945","1011","945","1011","6.98","4501"
"CLBSL","2021-12-29","950","968.5","945","945","-1.06","870"
"CLBSL","2021-12-28","969","969","945","955.1","0.54","1224"
"CLBSL","2021-12-27","989","1020","950","950","-2.06","6898"
"CLBSL","2021-12-26","938","975","938","970","3.41","7505"
"CLBSL","2021-12-23","960","966","918","938","-1.05","2546"
"CLBSL","2021-12-22","900","948","900","948","5.57","4612"
"CLBSL","2021-12-21","907","907","885","898","0.90","1354"
"CLBSL","2021-12-20","885","902","880","890","0.56","610"
"CLBSL","2021-12-16","911","929.2","885","885","-4.74","1717"
"CLBSL","2021-12-15","955","988.5","906","929","-0.78","2908"
"CLBSL","2021-12-14","897","936.3","897","936.3","6.40","713"
"CLBSL","2021-12-13","884.1","887.6","867","880","-2.44","1980"
"CLBSL","2021-12-12","935","948","900","902","-3.53","3236"
"CLBSL","2021-12-09","950.9","950.9","918.1","935","0.00","1122"
"CLBSL","2021-12-08","950.6","951.1","930","935","-3.61","2414"
"CLBSL","2021-12-07","958.8","994","946","970","3.19","3201"
"CLBSL","2021-12-06","955","955","902","940","-1.57","5552"
"CLBSL","2021-12-05","980","990","921","955","-4.50","3933"
"CLBSL","2021-12-02","1050","1050","968.8","1000","-3.95","7137"
"CLBSL","2021-12-01","1070","1070","1041.1","1041.1","-1.78","1229"
"CLBSL","2021-11-30","1060","1060","1050","1060","-0.66","1321"
"CLBSL","2021-11-29","1055","1096","1055","1067","-0.74","1074"
"CLBSL","2021-11-28","1100","1100","1065","1075","-2.27","3196"
"CLBSL","2021-11-25","1111","1120","1100","1100","-0.90","640"
"CLBSL","2021-11-24","1100","1118","1100","1110","0.53","1693"
"CLBSL","2021-11-23","1130","1142","1104.1","1104.1","-1.94","1941"
"CLBSL","2021-11-22","1145","1145","1122","1126","0.24","926"
"CLBSL","2021-11-21","1120","1142","1120","1123.3","0.29","2575"
"CLBSL","2021-11-18","1147","1160","1120","1120","-2.35","1537"
"CLBSL","2021-11-17","1178","1179.5","1137","1147","-0.85","5661"
"CLBSL","2021-11-16","1120.2","1175","1120.2","1156.8","2.36","1922"
"CLBSL","2021-11-15","1143.4","1188.8","1130.1","1130.1","0.81","1855"
"CLBSL","2021-11-14","1120","1146","1120","1121","-1.49","1640"
"CLBSL","2021-11-11","1135","1155","1129","1138","-1.22","3490"
"CLBSL","2021-11-09","1190","1205","1145","1152","-3.27","4293"
"CLBSL","2021-11-08","1250.5","1250.5","1168","1191","-2.85","7197"
"CLBSL","2021-11-03","1273","1274","1221","1226","-1.82","7043"
"CLBSL","2021-11-02","1227.1","1249","1210","1248.7","0.13","3438"
"CLBSL","2021-11-01","1290","1290","1245","1247.1","-4.80","6104"
"CLBSL","2021-10-31","1215","1310","1215","1310","8.78","11123"
"CLBSL","2021-10-28","1415","1433.1","1386","1433.1","3.10","38152"
"CLBSL","2021-10-27","1405","1405","1372","1390","0.36","8709"
"CLBSL","2021-10-26","1375","1426","1340","1385","2.59","11856"
"CLBSL","2021-10-25","1355.5","1360","1320","1350","1.58","21317"
"CLBSL","2021-10-24","1310","1334","1310","1329","1.84","3901"
"CLBSL","2021-10-21","1339","1339","1286.1","1305","-0.76","919"
"CLBSL","2021-10-20","1320","1346.4","1297","1315","1.54","1642"
"CLBSL","2021-10-19","1284","1323","1260","1295","-1.15","3768"
"CLBSL","2021-10-18","1315","1400","1289","1310","-2.32","4094"
"CLBSL","2021-10-17","1336.2","1350","1311","1341.1","2.37","888"
"CLBSL","2021-10-11","1345","1345","1273.1","1310","-4.52","13533"
"CLBSL","2021-10-10","1440","1441.1","1350","1372","-4.73","8970"
"CLBSL","2021-10-06","1450","1450","1367","1440.1","0.53","10913"
"CLBSL","2021-10-05","1329","1432.5","1315","1432.5","9.94","7568"
"CLBSL","2021-10-04","1300","1313.9","1276","1303","0.70","3106"
"CLBSL","2021-10-03","1299","1344","1280","1294","0.00","34897"
"CLBSL","2021-09-30","1253.5","1351.9","1253.5","1294","5.29","24444"
"CLBSL","2021-09-29","1159.5","1229","1159.5","1229","3.88","1789"
"CLBSL","2021-09-28","1220.1","1245","1183","1183.1","-4.97","3818"
"CLBSL","2021-09-27","1290","1315","1200","1245","-1.59","5180"
"CLBSL","2021-09-26","1300","1310","1261","1265.1","-4.23","1414"
"CLBSL","2021-09-23","1335","1345","1300","1321","-0.30","2185"
"CLBSL","2021-09-22","1324","1337","1301","1325","1.92","2330"
"CLBSL","2021-09-21","1266","1320.9","1264","1300","0.92","5196"
"CLBSL","2021-09-20","1350","1350","1275","1288.1","-6.25","6159"
"CLBSL","2021-09-16","1401.4","1401.4","1347","1374","-3.92","7052"
"CLBSL","2021-09-15","1479","1479","1423","1430","-1.38","1921"
"CLBSL","2021-09-14","1460","1489","1432","1450","0.69","6698"
"CLBSL","2021-09-13","1480","1480","1431","1440","-1.77","3213"
"CLBSL","2021-09-12","1456","1470","1420","1466","2.65","38435"
"CLBSL","2021-09-09","1440","1460","1419","1428.1","0.93","1644"
"CLBSL","2021-09-08","1465","1488","1360","1415","-5.29","10940"
"CLBSL","2021-09-07","1467","1494","1432","1494","-0.07","4390"
"CLBSL","2021-09-06","1450","1530","1419","1495","5.10","7223"
"CLBSL","2021-09-05","1456","1514","1402.2","1422.4","-4.20","4511"
"CLBSL","2021-09-02","1533.7","1533.7","1484.7","1484.7","-3.28","4358"
"CLBSL","2021-09-01","1540.1","1570","1534","1535","-1.60","3240"
"CLBSL","2021-08-31","1670","1670","1534","1560","-6.59","25365"
"CLBSL","2021-08-29","1575","1670.7","1470.2","1670","6.30","14188"
"CLBSL","2021-08-26","1480","1571","1480","1571","4.73","5063"
"CLBSL","2021-08-25","1511","1515","1480","1500","-2.56","8629"
"CLBSL","2021-08-24","1593","1600","1509.2","1539.4","-3.36","9772"
"CLBSL","2021-08-19","1598","1615","1541","1593","-0.31","8193"
"CLBSL","2021-08-18","1588","1610","1565","1598","0.19","20535"
"CLBSL","2021-08-17","1619","1619","1591","1595","-1.48","4458"
"CLBSL","2021-08-16","1600","1647","1588","1619","2.08","34943"
"CLBSL","2021-08-15","1591.6","1600.1","1529","1586","-2.34","19281"
"CLBSL","2021-08-12","1621","1635","1580","1624","0.19","8725"
"CLBSL","2021-08-11","1641","1641","1621","1621","-1.70","1944"
"CLBSL","2021-08-10","1639","1658","1635","1649","0.61","4291"
"CLBSL","2021-08-09","1684","1688","1614","1639","-0.97","7025"
"CLBSL","2021-08-08","1707","1707","1635","1655","-2.65","12950"
"CLBSL","2021-08-05","1685.6","1718","1680","1700","-1.16","7837"
"CLBSL","2021-08-04","1742","1742","1692","1720","-1.26","5487"
"CLBSL","2021-08-03","1763.5","1782","1700","1742","0.75","19913"
"CLBSL","2021-08-02","1730","1730","1696","1729","0.01","8452"
"CLBSL","2021-08-01","1665","1739","1665","1728.9","3.84","10148"
"CLBSL","2021-07-29","1730","1730","1651","1665","-1.98","4628"
"CLBSL","2021-07-28","1680","1698.7","1652","1698.7","1.12","6157"
"CLBSL","2021-07-27","1691.5","1703","1630","1679.9","-2.67","7746"
"CLBSL","2021-07-26","1692","1754","1692","1726","0.47","21890"
"CLBSL","2021-07-25","1740","1740","1709","1718","-0.69","12598"
"CLBSL","2021-07-22","1811","1811","1700","1730","-2.64","9031"
"CLBSL","2021-07-20","1805","1805","1745","1777","-1.28","4426"
"CLBSL","2021-07-19","1741","1808","1719","1800","2.62","13178"
"CLBSL","2021-07-18","1727","1754","1705","1754","3.18","18066"
"CLBSL","2021-07-15","1720","1740","1681","1700","-2.86","11793"
"CLBSL","2021-07-14","1723","1754","1695","1750","1.39","11924"
"CLBSL","2021-07-13","1680","1740","1660","1726","2.74","26632"
"CLBSL","2021-07-12","1774","1774","1624","1680","-0.59","13147"
"CLBSL","2021-07-11","1725","1740","1646","1690","0.60","19799"
"CLBSL","2021-07-08","1600","1708","1600","1680","5.00","27462"
"CLBSL","2021-07-07","1557","1628","1526","1600","3.16","39570"
"CLBSL","2021-07-06","1504","1570","1500","1551","3.82","32230"
"CLBSL","2021-07-05","1500","1508","1476","1494","-2.03","5169"
"CLBSL","2021-07-04","1550","1550","1490","1525","0.66","24447"
"CLBSL","2021-07-01","1495","1535","1485","1515","0.87","31721"
"CLBSL","2021-06-30","1475","1513","1445","1502","0.47","19659"
"CLBSL","2021-06-29","1500","1550","1470","1495","2.47","28145"
"CLBSL","2021-06-28","1365","1485","1365","1459","8.07","63331"
"CLBSL","2021-06-27","1359","1370","1343","1350","-0.66","6274"
"CLBSL","2021-06-24","1340","1380","1326","1359","1.34","8405"
"CLBSL","2021-06-23","1365","1365","1338","1341","-1.76","8939"
"CLBSL","2021-06-22","1386","1386","1296","1365","3.41","4976"
"CLBSL","2021-06-21","1350","1383","1320","1320","-2.94","10162"
"CLBSL","2021-06-20","1340","1430","1340","1360","-2.51","10820"
"CLBSL","2021-06-17","1407","1436","1379","1395","-0.85","7266"
"CLBSL","2021-06-16","1362","1498","1362","1407","3.30","19506"
"CLBSL","2021-06-15","1380","1434","1357","1362","-1.23","6515"
"CLBSL","2021-06-14","1410","1410","1379","1379","-0.58","5564"
"CLBSL","2021-06-13","1389","1420","1370","1387","-0.57","8086"
"CLBSL","2021-06-10","1407","1430","1385","1395","-0.85","5825"
"CLBSL","2021-06-09","1395","1448","1393","1407","-0.01","10819"
"CLBSL","2021-06-08","1426","1429","1415","1421","-1.93","5408"
"CLBSL","2021-06-07","1440","1469","1433","1449","0.69","8779"
"CLBSL","2021-06-06","1500","1500","1436","1439","-0.96","8723"
"CLBSL","2021-06-03","1450","1480","1450","1453","1.18","11260"
"CLBSL","2021-06-02","1372","1439","1375","1436","4.66","31377"
"CLBSL","2021-06-01","1359","1408","1359","1372","-0.94","2076"
"CLBSL","2021-05-31","1411","1440","1375","1385","0.00","14860"
"CLBSL","2021-05-30","1448","1450","1377","1385","-4.35","16040"
"CLBSL","2021-05-27","1487","1487","1422","1448","-4.55","35711"
"CLBSL","2021-05-25","1510","1536","1500","1517","-0.85","14490"
"CLBSL","2021-05-24","1555","1555","1510","1530","-1.92","22389"
"CLBSL","2021-05-23","1540","1560","1503","1560","0.00","19080"
"CLBSL","2021-05-20","1510","1561","1467","1560","4.35","29884"
"CLBSL","2021-05-19","1580","1580","1458","1495","-0.66","9141"
"CLBSL","2021-05-18","1460","1510","1438","1505","3.08","23684"
"CLBSL","2021-05-17","1453","1470","1440","1460","-0.68","8373"
"CLBSL","2021-05-16","1462","1490","1453","1470","0.55","8487"
"CLBSL","2021-05-13","1470","1550","1462","1462","-1.95","17690"
"CLBSL","2021-05-12","1395","1550","1390","1491","4.63","25401"
"CLBSL","2021-05-11","1380","1435","1353","1425","5.32","31672"
"CLBSL","2021-05-10","1350","1355","1315","1353","1.35","5450"
"CLBSL","2021-05-09","1349","1359","1325","1335","-1.18","11415"
"CLBSL","2021-05-06","1399","1400","1345","1351","-2.67","16677"
"CLBSL","2021-05-05","1430","1433","1370","1388","-1.21","25316"
"CLBSL","2021-05-04","1293","1414","1293","1405","3.23","37631"
"CLBSL","2021-05-03","1226","1361","1226","1361","5.50","36125"
"CLBSL","2021-05-02","1212","1300","1212","1290","1.18","21686"
"CLBSL","2021-04-29","1275","1290","1255","1275","2.00","11628"
"CLBSL","2021-04-28","1283","1300","1217","1250","-0.64","4108"
"CLBSL","2021-04-27","1228","1263","1206","1258","4.40","7761"
"CLBSL","2021-04-26","1200","1259","1200","1205","-0.25","11897"
"CLBSL","2021-04-25","1299","1299","1208","1208","-5.62","11554"
"CLBSL","2021-04-22","1281","1294","1270","1280","-0.70","7627"
"CLBSL","2021-04-21","1300","1315","1274","1289","-0.85","11928"
"CLBSL","2021-04-20","1290","1318","1270","1300","0.39","7805"
"CLBSL","2021-04-19","1259","1315","1259","1295","1.01","28808"
"CLBSL","2021-04-18","1315","1315","1266","1282","-0.62","10487"
"CLBSL","2021-04-15","1286","1389","1267","1290","0.39","17793"
"CLBSL","2021-04-13","1300","1324","1281","1285","-1.08","23256"
"CLBSL","2021-04-12","1265","1315","1255","1299","3.42","26282"
"CLBSL","2021-04-08","1210","1262","1198","1256","3.37","30307"
"CLBSL","2021-04-07","1171","1245","1171","1215","2.27","30850"
"CLBSL","2021-04-06","1184","1192","1165","1188","0.76","11283"
"CLBSL","2021-04-05","1190","1200","1170","1179","-0.08","9735"
"CLBSL","2021-04-04","1200","1200","1170","1180","0.00","8273"
"CLBSL","2021-04-01","1270","1270","1170","1180","-2.48","12267"
"CLBSL","2021-03-31","1210","1240","1210","1210","0.00","34554"
"CLBSL","2021-03-30","1169","1214","1160","1210","3.51","28167"
"CLBSL","2021-03-29","1217","1217","1151","1169","-0.68","13510"
"CLBSL","2021-03-25","1216","1216","1169","1177","1.55","41931"
"CLBSL","2021-03-24","1024","1161","1024","1159","8.22","47734"
"CLBSL","2021-03-23","1128","1128","1040","1071","-0.37","3889"
"CLBSL","2021-03-22","1102","1102","1050","1075","-0.56","16703"
"CLBSL","2021-03-21","1035","1110","1015","1081","6.50","12649"
"CLBSL","2021-03-18","1000","1020","1000","1015","2.63","7381"
"CLBSL","2021-03-17","970","994","955","989","3.56","2382"
"CLBSL","2021-03-16","955","974","948","955","0.00","5402"
"CLBSL","2021-03-15","954","970","954","955","0.00","3105"
"CLBSL","2021-03-14","975","990","947","955","-3.54","4411"
"CLBSL","2021-03-10","979","998","976","990","-0.10","1304"
"CLBSL","2021-03-09","1000","1018","990","991","-1.69","2724"
"CLBSL","2021-03-08","1025","1026","1006","1008","-1.66","3173"
"CLBSL","2021-03-04","1014","1046","988","1025","6.11","5849"
"CLBSL","2021-03-03","1010","1012","985","1000","-0.60","14970"
"CLBSL","2021-03-02","1040","1040","1006","1006","-2.80","11039"
"CLBSL","2021-03-01","1071","1071","1012","1035","0.00","4147"
"CLBSL","2021-02-28","1064","1064","1021","1021","-4.04","5969"
"CLBSL","2021-02-25","1096","1100","1056","1064","0.00","6307"
"CLBSL","2021-02-24","1092","1110","1079","1095","2.24","6779"
"CLBSL","2021-02-23","1065","1077","1044","1071","-1.29","8657"
"CLBSL","2021-02-22","1100","1128","1072","1085","-1.90","7166"
"CLBSL","2021-02-21","1140","1149","1091","1106","-0.02","5349"
"CLBSL","2021-02-18","1118","1134","1118","1128","-0.01","4331"
"CLBSL","2021-02-17","1137","1140","1108","1140","0.00","8300"
"CLBSL","2021-02-16","1187","1220","1118","1137","-0.02","22062"
"CLBSL","2021-02-15","1071","1164","1070","1164","0.10","17500"
"CLBSL","2021-02-14","1100","1110","1050","1059","-0.03","9203"
"CLBSL","2021-02-11","1150","1164","1092","1092","-0.04","12530"
"CLBSL","2021-02-10","1150","1160","1127","1142","-0.01","10788"
