"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CMF2","2022-05-05","9.8","9.8","9.62","9.62","-3.70","5400"
"CMF2","2022-05-04","9.99","9.99","9.99","9.99","-0.10","1000"
"CMF2","2022-05-02","10","10","10","10","0.00","130"
"CMF2","2022-04-28","10","10","10","10","1.94","500"
"CMF2","2022-04-27","9.81","9.81","9.81","9.81","-1.90","1000"
"CMF2","2022-04-26","9.91","10","9.91","10","2.88","1700"
"CMF2","2022-04-25","9.89","10","9.72","9.72","0.21","3650"
"CMF2","2022-04-24","9.53","9.7","9.53","9.7","0.00","600"
"CMF2","2022-04-21","9.68","9.7","9.68","9.7","-1.62","4300"
"CMF2","2022-04-20","9.85","9.86","9.85","9.86","-1.79","1200"
"CMF2","2022-04-18","9.66","10.04","9.66","10.04","1.93","2000"
"CMF2","2022-04-17","9.69","9.85","9.69","9.85","-0.30","600"
"CMF2","2022-04-13","10.04","10.04","9.88","9.88","0.30","800"
"CMF2","2022-04-12","9.94","9.94","9.85","9.85","-1.50","500"
"CMF2","2022-04-11","9.77","10","9.77","10","0.50","1700"
"CMF2","2022-04-07","10","10.02","9.9","9.95","1.22","6300"
"CMF2","2022-04-05","10.02","10.02","9.8","9.83","-1.70","13825"
"CMF2","2022-04-04","10.68","10.68","10","10","-5.66","14850"
"CMF2","2022-04-03","10.55","10.76","10.55","10.6","2.42","6000"
"CMF2","2022-03-31","10.15","10.35","10.15","10.35","0.49","3850"
"CMF2","2022-03-30","10.3","10.3","10.3","10.3","-0.96","1500"
"CMF2","2022-03-29","10.18","10.4","10.18","10.4","2.26","3210"
"CMF2","2022-03-28","10.2","10.2","10.16","10.17","-1.74","15100"
"CMF2","2022-03-27","10.35","10.36","10.35","10.35","-1.90","2600"
"CMF2","2022-03-24","10.55","10.55","10.55","10.55","0.48","200"
"CMF2","2022-03-23","10.3","10.5","10.3","10.5","1.45","2750"
"CMF2","2022-03-22","10.29","10.55","10.29","10.35","0.39","13513"
"CMF2","2022-03-21","10.3","10.5","10.3","10.31","-1.81","24192"
"CMF2","2022-03-20","10.29","10.5","10.29","10.5","1.74","6900"
"CMF2","2022-03-16","10.48","10.49","10.32","10.32","0.29","7100"
"CMF2","2022-03-15","10.45","10.5","10.29","10.29","-2.09","19900"
"CMF2","2022-03-14","10.4","10.51","10.4","10.51","1.94","6000"
"CMF2","2022-03-13","10.48","10.48","10.28","10.31","0.19","4800"
"CMF2","2022-03-10","10.29","10.29","10.09","10.29","0.78","2100"
"CMF2","2022-03-09","10","10.21","9.82","10.21","2.10","6000"
"CMF2","2022-03-07","10","10","10","10","-0.99","500"
"CMF2","2022-03-06","10.1","10.23","10.1","10.1","1.92","6700"
"CMF2","2022-03-02","10.13","10.13","9.91","9.91","-2.17","28800"
"CMF2","2022-02-28","10.13","10.13","10.13","10.13","-0.20","1100"
"CMF2","2022-02-27","10.13","10.15","10.13","10.15","0.20","5700"
"CMF2","2022-02-24","10.11","10.3","10.11","10.13","0.00","22525"
"CMF2","2022-02-23","10.12","10.28","10.12","10.13","-0.78","3300"
"CMF2","2022-02-22","10.2","10.3","10.2","10.21","0.89","13400"
"CMF2","2022-02-21","10.3","10.3","10.1","10.12","0.20","33000"
"CMF2","2022-02-20","10.2","10.4","10.1","10.1","-2.88","41900"
"CMF2","2022-02-17","10.43","10.43","10.14","10.4","1.66","23830"
"CMF2","2022-02-16","10.3","10.3","10.19","10.23","-1.06","16100"
"CMF2","2022-02-15","10.14","10.34","10.14","10.34","1.87","14000"
"CMF2","2022-02-14","10.2","10.21","10.15","10.15","0.10","9750"
"CMF2","2022-02-13","10.3","10.39","10.14","10.14","-1.65","27910"
"CMF2","2022-02-10","10.3","10.51","10.3","10.31","0.10","6100"
"CMF2","2022-02-09","10.3","10.32","10.3","10.3","0.00","19450"
"CMF2","2022-02-08","10.36","10.6","10.3","10.3","0.00","176320"
"CMF2","2022-02-07","10.35","10.48","10.35","10.48","-0.66","2850"
"CMF2","2022-02-06","10.36","10.55","10.22","10.55","1.83","5600"
"CMF2","2022-02-03","10.3","10.49","10.3","10.36","-0.58","9700"
"CMF2","2022-02-01","10.22","10.42","10.22","10.42","0.00","9400"
"CMF2","2022-01-31","10.89","10.89","10.27","10.42","-2.43","36300"
"CMF2","2022-01-30","10.65","10.69","10.24","10.68","1.71","53415"
"CMF2","2022-01-27","10.3","10.5","10.06","10.5","3.96","56800"
"CMF2","2022-01-26","10.12","10.14","10.1","10.1","-1.27","4350"
"CMF2","2022-01-25","10.2","10.4","10.2","10.23","0.29","28850"
"CMF2","2022-01-24","10.16","10.21","10.16","10.2","-0.97","16030"
"CMF2","2022-01-23","10.55","10.55","10.3","10.3","-0.77","16300"
"CMF2","2022-01-20","10.4","10.5","10.34","10.38","-1.14","15000"
"CMF2","2022-01-19","10.8","10.8","10.39","10.5","-2.78","66200"
"CMF2","2022-01-18","10.45","10.8","10.29","10.8","3.25","36651"
"CMF2","2022-01-17","10.15","10.5","10.15","10.46","3.16","24300"
"CMF2","2022-01-16","10.06","10.35","10.1","10.14","0.80","35480"
"CMF2","2022-01-13","10","10.06","10","10.06","0.00","8180"
"CMF2","2022-01-12","10.19","10.2","10.01","10.06","-0.40","62120"
"CMF2","2022-01-11","10","10.2","9.92","10.1","1.00","27000"
"CMF2","2022-01-10","10.2","10.26","10","10","-0.99","18390"
"CMF2","2022-01-09","10.15","10.3","9.9","10.1","0.00","37600"
"CMF2","2022-01-06","9.75","10.1","9.75","10.1","3.59","5950"
"CMF2","2022-01-05","9.99","9.99","9.75","9.75","-0.61","7600"
"CMF2","2022-01-04","9.76","9.99","9.76","9.81","0.20","10220"
"CMF2","2022-01-03","9.79","9.98","9.79","9.79","1.98","8700"
"CMF2","2022-01-02","9.6","9.6","9.6","9.6","-1.03","100"
"CMF2","2021-12-29","9.51","9.7","9.51","9.7","0.10","800"
"CMF2","2021-12-28","9.9","9.99","9.69","9.69","-2.12","6300"
"CMF2","2021-12-27","9.88","9.9","9.7","9.9","1.96","43800"
"CMF2","2021-12-26","9.75","9.94","9.71","9.71","0.00","10400"
"CMF2","2021-12-23","9.4","9.72","9.4","9.71","1.89","14230"
"CMF2","2021-12-22","9.5","9.69","9.41","9.53","0.32","8500"
"CMF2","2021-12-21","9.31","9.5","9.31","9.5","0.00","2100"
"CMF2","2021-12-20","9.14","9.5","9.14","9.5","1.93","7100"
"CMF2","2021-12-16","9.31","9.32","9.14","9.32","-1.89","6000"
"CMF2","2021-12-15","9.49","9.5","9.49","9.5","1.06","1800"
"CMF2","2021-12-14","9.4","9.4","9.4","9.4","1.73","900"
"CMF2","2021-12-13","9.26","9.54","9.24","9.24","-1.81","17228"
"CMF2","2021-12-12","9.41","9.57","9.4","9.41","0.11","4600"
"CMF2","2021-12-09","9.57","9.75","9.4","9.4","-3.69","15200"
"CMF2","2021-12-08","9.93","9.93","9.74","9.76","-3.65","9220"
"CMF2","2021-12-07","9.72","10.13","9.72","10.13","4.65","31800"
"CMF2","2021-12-06","9.7","9.7","9.65","9.68","-1.63","11100"
"CMF2","2021-12-05","9.65","9.84","9.63","9.84","0.31","27680"
"CMF2","2021-12-02","9.83","9.89","9.7","9.81","-1.90","14871"
"CMF2","2021-12-01","9.9","10","9.85","10","1.94","5578"
"CMF2","2021-11-30","9.99","9.99","9.81","9.81","-1.90","52000"
"CMF2","2021-11-29","9.99","10","9.99","10","2.04","1700"
"CMF2","2021-11-28","9.9","9.9","9.66","9.8","-2.00","32350"
"CMF2","2021-11-25","9.91","10","9.9","10","1.63","5000"
"CMF2","2021-11-24","9.97","10.13","9.84","9.84","-1.40","3000"
"CMF2","2021-11-23","9.99","10.09","9.98","9.98","-1.19","57200"
"CMF2","2021-11-22","10","10.11","10","10.1","-0.79","2722"
"CMF2","2021-11-21","9.99","10.18","9.99","10.18","0.30","4800"
"CMF2","2021-11-18","10.01","10.15","10.01","10.15","0.50","12250"
"CMF2","2021-11-17","9.91","10.1","9.91","10.1","0.00","4350"
"CMF2","2021-11-16","10","10.1","10","10.1","1.20","5200"
