"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CZBILP","2022-04-07","145.8","145.8","145.8","145.8","1.96","30000"
"CZBILP","2022-02-17","143","143","143","143","0.00","15673"
"CZBILP","2021-12-16","143","143","143","143","0.00","7000"
"CZBILP","2021-10-06","203.9","204","203.9","204","0.05","30758"
"CZBILP","2021-10-03","203.9","203.9","203.9","203.9","-1.97","35000"
"CZBILP","2021-09-16","208","208","208","208","1.96","62500"
"CZBILP","2021-08-15","204","204","204","204","0.00","8851"
"CZBILP","2021-07-18","204","204","204","204","0.00","11753"
"CZBILP","2021-07-08","168","168","168","168","-1.75","67500"
"CZBILP","2021-03-25","171","171","171","171","0.00","4953"
"CZBILP","2021-03-08","171","171","171","171","0.00","3719"
"CZBILP","2021-02-14","171","171","171","171","0.01","619"
"CZBILP","2020-10-20","150","150","150","150","0.00","115143"
"CZBILP","2020-08-19","150","150","150","150","0.00","9432"
"CZBILP","2020-06-30","150","150","150","150","0.00","29000"
"CZBILP","2020-03-16","150","150","150","150","-1.96","30452"
"CZBILP","2020-01-01","153","153","153","153","-1.92","7215"
"CZBILP","2019-12-29","156","156","156","156","-1.89","51500"
"CZBILP","2019-11-26","159","159","159","159","0.00","240524"
"CZBILP","2019-09-16","140","159","159","159","0.00","6434"
"CZBILP","2019-04-22","159","159","159","159","0.00","2000"
"CZBILP","2019-04-15","159","159","159","159","0.00","39691"
"CZBILP","2018-09-17","145","145","145","145","0.00","12000"
"CZBILP","2018-08-29","145","145","145","145","-1.36","16878"
"CZBILP","2018-08-09","147","147","147","147","-2.00","10000"
"CZBILP","2018-07-16","150","150","150","150","0.00","84"
"CZBILP","2018-06-11","150","150","150","150","0.00","4495"
"CZBILP","2018-05-28","150","150","150","150","0.00","337480"
"CZBILP","2018-01-21","157","157","150","150","-6.25","62176"
"CZBILP","2017-08-24","325","325","325","325","0.00","14497"
"CZBILP","2017-07-24","325","325","325","325","0.00","14045"
"CZBILP","2017-02-01","325","325","325","325","0.00","18570"
"CZBILP","2017-01-19","325","325","325","325","0.00","26460"
"CZBILP","2017-01-10","325","325","325","325","0.00","29200"
"CZBILP","2016-12-04","325","325","325","325","0.00","111580"
"CZBILP","2016-08-30","325","325","325","325","0.62","16836"
"CZBILP","2016-08-16","323","323","323","323","0.00","63000"
"CZBILP","2016-07-20","323","323","323","323","0.00","995"
"CZBILP","2016-07-13","335","329","323","323","-3.58","98208"
"CZBILP","2016-06-12","315","335","321","335","6.35","55000"
"CZBILP","2016-03-13","315","315","315","315","0.00","4978"
"CZBILP","2016-02-29","320","315","315","315","-1.56","1038"
"CZBILP","2015-07-28","145","150","145","150","7.91","11525"
"CZBILP","2015-05-26","139","139","139","139","0.00","119595"
"CZBILP","2015-03-04","137","139","139","139","1.46","15000"
"CZBILP","2015-02-02","137","137","137","137","0.00","10582"
"CZBILP","2015-01-26","135","137","137","137","1.48","15545"
"CZBILP","2014-10-16","135","135","135","135","0.00","25501"
"CZBILP","2014-09-30","135","135","135","135","0.00","51000"
"CZBILP","2014-09-28","135","135","135","135","0.00","42070"
"CZBILP","2014-08-21","137","135","135","135","-1.46","60554"
"CZBILP","2014-04-17","135","137","137","137","1.48","51100"
"CZBILP","2014-03-11","135","135","135","135","0.00","46950"
"CZBILP","2014-02-25","133","135","135","135","1.50","361040"
"CZBILP","2014-01-05","135","133","133","133","-1.48","10877"
"CZBILP","2014-01-01","137","135","135","135","-1.46","35500"
"CZBILP","2013-11-11","139","137","137","137","-1.44","26680"
"CZBILP","2013-10-23","135","139","137","139","2.96","15053"
"CZBILP","2013-10-10","124","135","126","135","8.87","333037"
"CZBILP","2013-09-19","124","124","124","124","0.00","15106"
"CZBILP","2013-09-05","124","124","124","124","0.00","10000"
"CZBILP","2013-07-22","120","124","122","124","3.33","100000"
"CZBILP","2013-05-15","120","120","120","120","0.00","60000"
"CZBILP","2013-05-07","116","120","118","120","3.45","24100"
"CZBILP","2013-04-30","118","116","116","116","-1.69","8000"
"CZBILP","2013-04-28","114","118","116","118","3.51","200"
"CZBILP","2013-04-23","110","114","112","114","3.64","200"
"CZBILP","2013-04-16","106","110","108","110","3.77","200"
"CZBILP","2013-04-08","100","106","102","106","6.00","300"
"CZBILP","2013-01-30","100","100","100","100","0.00","105250"
"CZBILP","2013-01-17","100","100","100","100","0.00","90286"
"CZBILP","2012-12-04","100","100","100","100","0.00","119000"
"CZBILP","2012-11-06","100","100","100","100","0.00","58"
"CZBILP","2012-10-14","100","100","100","100","0.00","50"
"CZBILP","2012-10-08","100","100","100","100","0.00","116277"
"CZBILP","2012-09-19","100","100","100","100","0.00","66150"
"CZBILP","2012-09-05","100","100","100","100","0.00","29894"
"CZBILP","2012-08-30","100","100","100","100","0.00","7874"
"CZBILP","2012-08-28","100","100","100","100","0.00","15000"
"CZBILP","2012-06-19","100","100","100","100","0.00","2625"
"CZBILP","2012-06-18","100","100","100","100","0.00","107545"
"CZBILP","2012-06-17","100","100","100","100","0.00","28245"
"CZBILP","2012-06-14","100","100","100","100","0.00","91925"
"CZBILP","2012-06-13","0","110","100","100","0.00","41570"
