"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CZBIL","2022-05-05","240","244.7","237","239.9","-0.87","23752"
"CZBIL","2022-05-04","253.4","253.4","242","242","-2.62","24961"
"CZBIL","2022-05-02","248","253.9","248","248.5","-1.47","19742"
"CZBIL","2022-04-28","259","259","251.1","252.2","-0.71","12082"
"CZBIL","2022-04-27","252","259","250","254","0.00","11974"
"CZBIL","2022-04-26","253.9","258","251","254","-1.93","11949"
"CZBIL","2022-04-25","260","262.2","251","259","-0.38","10559"
"CZBIL","2022-04-24","256","262","250.9","260","3.59","35274"
"CZBIL","2022-04-21","257.1","257.1","247","251","-0.44","27257"
"CZBIL","2022-04-20","258","258","251.2","252.1","-0.36","15678"
"CZBIL","2022-04-19","259","259","250","253","-0.39","21524"
"CZBIL","2022-04-18","257.4","257.4","252","254","-1.28","27210"
"CZBIL","2022-04-17","263.3","263.3","257","257.3","-0.35","19884"
"CZBIL","2022-04-13","260","260","253","258.2","0.94","20038"
"CZBIL","2022-04-12","263","263","255","255.8","-0.85","20362"
"CZBIL","2022-04-11","265","267.7","257.1","258","-1.71","17472"
"CZBIL","2022-04-07","263","263","256.1","262.5","1.35","41647"
"CZBIL","2022-04-06","257","260","255","259","0.19","24893"
"CZBIL","2022-04-05","269.7","269.7","257.2","258.5","-2.27","30700"
"CZBIL","2022-04-04","257.6","264.9","257.6","264.5","0.65","39208"
"CZBIL","2022-04-03","262","264","260.1","262.8","-0.49","12671"
"CZBIL","2022-03-31","265","269","264.1","264.1","0.00","31949"
"CZBIL","2022-03-30","268.9","269.7","264","264.1","-1.79","31295"
"CZBIL","2022-03-29","269","269.8","265.1","268.9","-0.04","27506"
"CZBIL","2022-03-28","265.1","269","265.1","269","0.00","36866"
"CZBIL","2022-03-27","270","270.1","264","269","0.00","50005"
"CZBIL","2022-03-24","270","273","269","269","-1.32","28722"
"CZBIL","2022-03-23","271","276","271","272.6","-0.73","12929"
"CZBIL","2022-03-22","274","278","274","274.6","0.26","20686"
"CZBIL","2022-03-21","271","274","271","273.9","0.29","27354"
"CZBIL","2022-03-20","274","275.8","273","273.1","0.04","39300"
"CZBIL","2022-03-16","275","276.9","271.6","273","-1.44","28297"
"CZBIL","2022-03-15","272.2","277","271","277","0.00","49252"
"CZBIL","2022-03-14","274","278.6","273.1","277","-0.36","7990"
"CZBIL","2022-03-13","267","278","267","278","4.12","53275"
"CZBIL","2022-03-10","260","267","257","267","1.91","38364"
"CZBIL","2022-03-09","264","265","259.1","262","-0.76","52715"
"CZBIL","2022-03-07","258.8","270","258.8","264","0.00","43843"
"CZBIL","2022-03-06","259.3","266.9","259.3","264","-0.19","40619"
"CZBIL","2022-03-02","269","269","263.1","264.5","-0.94","51986"
"CZBIL","2022-02-28","274","276","265","267","-1.48","52955"
"CZBIL","2022-02-27","270.2","275","270","271","-0.40","49476"
"CZBIL","2022-02-24","275","278","271","272.1","-2.47","51622"
"CZBIL","2022-02-23","286","286.5","277","279","-0.71","19117"
"CZBIL","2022-02-22","284","284.4","279","281","0.72","26651"
"CZBIL","2022-02-21","277","281","274","279","1.09","45058"
"CZBIL","2022-02-20","278.3","278.9","270","276","-2.78","48330"
"CZBIL","2022-02-17","288","288","280","283.9","-0.04","28581"
"CZBIL","2022-02-16","290","290","282","284","-1.05","34924"
"CZBIL","2022-02-15","276.4","287.8","275","287","3.99","60010"
"CZBIL","2022-02-14","275","283","274.1","276","-0.43","52721"
"CZBIL","2022-02-13","280","285.3","277","277.2","-2.87","102103"
"CZBIL","2022-02-10","285","291","285","285.4","-0.90","34925"
"CZBIL","2022-02-09","290.5","293","288","288","-1.37","52541"
"CZBIL","2022-02-08","298.8","300","290","292","0.00","67467"
"CZBIL","2022-02-07","292","294","290","293","0.00","56532"
"CZBIL","2022-02-06","299","299","291.6","293","-2.01","52818"
"CZBIL","2022-02-03","298","305","298","299","0.00","83422"
"CZBIL","2022-02-01","294.7","300","291.5","299","1.36","65227"
"CZBIL","2022-01-31","300","300","292.2","295","-0.81","51049"
"CZBIL","2022-01-30","293","305","292","297.4","3.26","47952"
"CZBIL","2022-01-27","290.8","292","288","288","-0.69","51813"
"CZBIL","2022-01-26","290","294","288","290","-1.43","53807"
"CZBIL","2022-01-25","302.9","302.9","286","294.2","-0.94","60973"
"CZBIL","2022-01-24","314.1","314.1","295","297","-3.57","167990"
"CZBIL","2022-01-23","317.2","317.2","306.2","308","-0.96","69624"
"CZBIL","2022-01-20","306","313.8","306","311","0.00","62177"
"CZBIL","2022-01-19","323.3","323.3","310","311","-1.89","84891"
"CZBIL","2022-01-18","315","322.4","308.1","317","2.26","160750"
"CZBIL","2022-01-17","313","317","308","310","0.65","96469"
"CZBIL","2022-01-16","302.5","313","302.9","308","1.82","136545"
"CZBIL","2022-01-13","302","305","299.1","302.5","0.77","83258"
"CZBIL","2022-01-12","311.1","311.1","299.9","300.2","-1.57","89506"
"CZBIL","2022-01-11","300","310.9","300","305","-0.16","72783"
"CZBIL","2022-01-10","316.2","316.2","304.8","305.5","-1.45","122812"
"CZBIL","2022-01-09","308","315","302.2","310","2.65","145308"
"CZBIL","2022-01-06","290","302","289","302","3.04","83901"
"CZBIL","2022-01-05","301.9","305","293","293.1","-2.95","115846"
"CZBIL","2022-01-04","280","303.9","276.2","302","8.24","177847"
"CZBIL","2022-01-03","278.9","281.9","270.4","279","2.01","78601"
"CZBIL","2022-01-02","276.5","276.5","266.8","273.5","0.89","66900"
"CZBIL","2021-12-29","274.5","277","270.3","271.1","-0.33","35926"
"CZBIL","2021-12-28","270","274","266","272","-0.37","76636"
"CZBIL","2021-12-27","279","282","272","273","-2.47","139381"
"CZBIL","2021-12-26","283","283","275","279.9","0.86","104929"
"CZBIL","2021-12-23","280.7","280.7","271","277.5","0.84","62037"
"CZBIL","2021-12-22","272.8","278.9","270","275.2","2.88","74702"
"CZBIL","2021-12-21","260","268.8","260","267.5","1.71","44841"
"CZBIL","2021-12-20","271.3","271.3","256","263","-1.13","38255"
"CZBIL","2021-12-16","261","268","260","266","0.00","23603"
"CZBIL","2021-12-15","270","275","263.9","266","0.30","56025"
"CZBIL","2021-12-14","260","266.2","258","265.2","4.00","27582"
"CZBIL","2021-12-13","260","260","252.9","255","-2.11","61621"
"CZBIL","2021-12-12","268.5","272","260","260.5","-3.16","64740"
"CZBIL","2021-12-09","265","272","265","269","0.56","47539"
"CZBIL","2021-12-08","276.5","276.5","266.1","267.5","-1.33","62677"
"CZBIL","2021-12-07","278","281","271","271.1","-1.42","38307"
"CZBIL","2021-12-06","266.79","275.4","262","275","2.69","61945"
"CZBIL","2021-12-05","270.5","273","267","267.8","-1.72","44317"
"CZBIL","2021-12-02","274","280","272","272.5","-1.27","35259"
"CZBIL","2021-12-01","273","279","273","276","-0.33","78618"
"CZBIL","2021-11-30","275","280","272.3","276.9","-0.04","100867"
"CZBIL","2021-11-29","275","287","274","277","-0.72","39598"
"CZBIL","2021-11-28","285","289","279","279","-3.29","83213"
"CZBIL","2021-11-25","287","295.9","282.2","288.5","1.05","80074"
"CZBIL","2021-11-24","288.2","289","282","285.5","-0.94","32371"
"CZBIL","2021-11-23","294","294","287","288.2","-0.65","48777"
"CZBIL","2021-11-22","292","294","290","290.1","-0.65","39057"
"CZBIL","2021-11-21","295","297","292","292","-1.02","46614"
"CZBIL","2021-11-18","298","299","294.5","295","-1.01","66139"
"CZBIL","2021-11-17","299.5","301","296.1","298","-0.33","45290"
"CZBIL","2021-11-16","293","299","291","299","2.40","55536"
"CZBIL","2021-11-15","290.9","296","290","292","0.52","45621"
"CZBIL","2021-11-14","291","293","288","290.5","-0.17","67234"
"CZBIL","2021-11-11","296","296","290","291","-2.02","65927"
"CZBIL","2021-11-09","306","306","295","297","-2.46","64444"
"CZBIL","2021-11-08","305","306","300","304.5","1.16","70098"
"CZBIL","2021-11-03","311.8","311.8","300","301","-1.54","84965"
"CZBIL","2021-11-02","300","305.7","298","305.7","2.21","82575"
"CZBIL","2021-11-01","305","306","298.1","299.1","0.00","99298"
"CZBIL","2021-10-31","304","304","298","299.1","-0.30","68081"
"CZBIL","2021-10-28","301","302","297","300","-0.37","73426"
"CZBIL","2021-10-27","307.9","310","295","301.1","-2.08","69422"
"CZBIL","2021-10-26","305","314","304","307.5","1.85","72306"
"CZBIL","2021-10-25","289","304","288","301.9","4.83","71311"
"CZBIL","2021-10-24","294","294","285","288","-0.69","67927"
"CZBIL","2021-10-21","300","300","288.3","290","-3.01","76382"
"CZBIL","2021-10-20","296","310","294","299","1.36","91193"
"CZBIL","2021-10-19","305","305","294","295","-4.22","107813"
"CZBIL","2021-10-18","320","321","307","308","-3.14","100504"
"CZBIL","2021-10-17","322","322","312","318","-1.24","62211"
"CZBIL","2021-10-11","338.1","338.1","315","322","-3.45","158663"
"CZBIL","2021-10-10","352.48","352.48","333","333.5","-5.38","155014"
"CZBIL","2021-10-06","402","403","395","398","0.76","576421"
"CZBIL","2021-10-05","385","399","385","395","2.04","170416"
"CZBIL","2021-10-04","391","394.9","383","387.1","-0.87","130142"
"CZBIL","2021-10-03","401","403","390","390.5","-1.39","119466"
"CZBIL","2021-09-30","404.8","404.8","393","396","-0.23","218640"
"CZBIL","2021-09-29","391.6","399.4","379","396.9","3.36","231042"
"CZBIL","2021-09-28","390","395","380","384","-1.54","146962"
"CZBIL","2021-09-27","398.9","399","386","390","-2.50","179215"
"CZBIL","2021-09-26","416","416.6","397","400","-2.08","426933"
"CZBIL","2021-09-23","402.9","420","402.9","408.5","3.42","353656"
"CZBIL","2021-09-22","386","395","383","395","4.22","322422"
"CZBIL","2021-09-21","375","392","370","379","-0.86","220489"
"CZBIL","2021-09-20","400","401","381","382.3","-3.70","237831"
"CZBIL","2021-09-16","410","410","395","397","-3.17","227891"
"CZBIL","2021-09-15","415","415","404","410","0.00","257029"
"CZBIL","2021-09-14","410","416","403","410","0.24","260962"
"CZBIL","2021-09-13","401","409.9","399","409","2.51","250406"
"CZBIL","2021-09-12","397","400","389.1","399","2.49","131251"
"CZBIL","2021-09-09","390","397","387.1","389.3","-0.21","117952"
"CZBIL","2021-09-08","399.5","399.5","387.1","390.1","-1.98","148906"
"CZBIL","2021-09-07","406","406","394.6","398","-2.33","157169"
"CZBIL","2021-09-06","390.1","407.5","386.2","407.5","3.43","225226"
"CZBIL","2021-09-05","395.1","405.9","389","394","-2.26","344974"
"CZBIL","2021-09-02","405.3","410","401","403.1","0.27","383535"
"CZBIL","2021-09-01","393","407","392","402","2.55","260289"
"CZBIL","2021-08-31","401","403","389.2","392","-2.24","227667"
"CZBIL","2021-08-29","406.2","411","400","401","-1.96","235824"
"CZBIL","2021-08-26","410","415","406.2","409","0.00","203462"
"CZBIL","2021-08-25","411","416","408.6","409","-2.20","201222"
"CZBIL","2021-08-24","427.3","427.3","418","418.2","-0.19","274705"
"CZBIL","2021-08-19","416","425.3","413","419","0.96","380886"
"CZBIL","2021-08-18","405.5","419","402","415","2.34","264985"
"CZBIL","2021-08-17","408","412","405","405.5","-0.61","255692"
"CZBIL","2021-08-16","413","413","406","408","-0.49","197134"
"CZBIL","2021-08-15","416","423","408","410","-1.44","211278"
"CZBIL","2021-08-12","417.1","421","413","416","-0.26","134961"
"CZBIL","2021-08-11","422","426","413.6","417.1","-1.16","127367"
"CZBIL","2021-08-10","406.5","428","405","422","3.81","304420"
"CZBIL","2021-08-09","410","411","405.2","406.5","-0.85","141113"
"CZBIL","2021-08-08","420","420","409","410","-0.73","155499"
"CZBIL","2021-08-05","415","418","412","413","-0.48","137215"
