"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EBLCP","2022-05-05","587.9","587.9","587.9","587.9","-1.98","20"
"EBLCP","2022-04-24","599.8","599.8","599.8","599.8","1.99","10"
"EBLCP","2022-04-20","588.09","588.09","588.09","588.09","-1.99","11"
"EBLCP","2022-03-31","600","600","600","600","0.00","11"
"EBLCP","2022-01-27","600","600","600","600","-1.62","15"
"EBLCP","2022-01-10","609.9","609.9","609.9","609.9","1.99","10"
"EBLCP","2021-12-21","598","598","598","598","1.36","1944"
"EBLCP","2021-11-25","590","590","590","590","0.00","1944"
"EBLCP","2021-11-24","590","590","590","590","0.00","4"
"EBLCP","2021-11-22","590","590","590","590","0.00","6"
"EBLCP","2021-11-02","591","591","590","590","-1.34","24"
"EBLCP","2021-10-31","610","610","598","598","-3.63","20"
"EBLCP","2021-10-28","637","637","620.5","620.5","-1.97","516"
"EBLCP","2021-10-27","655","655","633","633","-5.24","292"
"EBLCP","2021-10-06","668","668","668","668","0.00","21"
"EBLCP","2021-10-05","668","668","668","668","1.98","10"
"EBLCP","2021-10-03","655","655","655","655","0.00","104"
"EBLCP","2021-09-27","655","655","655","655","0.00","16"
"EBLCP","2021-09-26","655","655","655","655","0.77","12"
"EBLCP","2021-09-20","650","650","650","650","-1.66","60"
"EBLCP","2021-09-16","660","661","660","661","-1.64","60"
"EBLCP","2021-09-15","677","677","672","672","-0.74","120"
"EBLCP","2021-09-12","677","677","677","677","1.04","20"
"EBLCP","2021-08-26","670","670","670","670","-0.45","10"
"EBLCP","2021-08-25","673","673","673","673","-1.62","47"
"EBLCP","2021-08-17","684.1","684.1","684.1","684.1","-1.57","17"
"EBLCP","2021-08-16","695","695","695","695","-1.84","20"
"EBLCP","2021-08-15","708","708","708","708","-1.94","44"
"EBLCP","2021-08-12","747","732.1","704","722","-3.35","301"
"EBLCP","2021-08-10","735","747","735","747","-0.40","118"
"EBLCP","2021-08-04","754.6","754.6","750","750","-2.60","120"
"EBLCP","2021-08-01","740","770","700","770","1.99","274"
"EBLCP","2021-07-29","755","755","755","755","-0.11","10"
"EBLCP","2021-07-28","755.8","755.8","755.8","755.8","0.00","6"
"EBLCP","2021-07-27","741","755.8","741","755.8","2.00","60"
"EBLCP","2021-07-25","726","741","726","741","1.98","22"
"EBLCP","2021-07-22","712.5","726.6","712.5","726.6","3.95","48"
"EBLCP","2021-07-19","699","699","699","699","1.98","10"
"EBLCP","2021-07-18","685.4","685.4","685.4","685.4","1.99","10"
"EBLCP","2021-07-15","672","672","672","672","-1.90","35"
"EBLCP","2021-07-14","677","685","677","685","-0.72","164"
"EBLCP","2021-07-12","690","690","690","690","1.47","11"
"EBLCP","2021-07-11","680","680","680","680","0.00","3"
"EBLCP","2021-07-08","680","680","680","680","0.00","6"
"EBLCP","2021-07-01","680","680","680","680","-1.45","40"
"EBLCP","2021-06-27","704","704","690","690","-3.90","34"
"EBLCP","2021-06-24","732","732","718","718","-3.75","30"
"EBLCP","2021-06-23","732","746","732","746","1.91","38"
"EBLCP","2021-06-22","732","732","732","732","1.95","48"
"EBLCP","2021-06-17","718","718","718","718","-1.91","18"
"EBLCP","2021-06-15","744","744","732","732","-3.43","46"
"EBLCP","2021-06-14","744","758","758","758","1.88","40"
"EBLCP","2021-06-10","744","744","744","744","0.00","10"
"EBLCP","2021-06-03","744","744","744","744","-1.98","10"
"EBLCP","2021-05-31","759","759","759","759","1.88","10"
"EBLCP","2021-05-16","745","745","745","745","0.00","2"
"EBLCP","2021-05-10","745","745","745","745","0.95","12"
"EBLCP","2021-05-05","738","738","738","738","0.00","10"
"EBLCP","2021-05-02","738","738","738","738","-1.99","10"
"EBLCP","2021-04-15","739","753","739","753","3.86","57"
"EBLCP","2021-04-13","725","725","725","725","0.00","39"
"EBLCP","2021-04-06","725","725","725","725","0.69","90"
"EBLCP","2021-04-01","715","720","715","720","1.27","343"
"EBLCP","2021-03-21","711","711","711","711","-1.93","29"
"EBLCP","2021-03-18","725","725","725","725","0.00","10"
"EBLCP","2021-03-16","725","725","725","725","0.83","10"
"EBLCP","2021-03-14","719","719","719","719","0.00","7"
"EBLCP","2021-03-04","719","719","719","719","1.84","105"
"EBLCP","2021-03-03","717","720","706","706","-1.26","137"
"EBLCP","2021-02-25","708","722","708","715","0.00","440"
"EBLCP","2021-02-24","705","705","695","695","-1.42","150"
"EBLCP","2021-02-22","710","710","705","705","-1.95","210"
"EBLCP","2021-02-21","725","725","719","719","0.00","140"
"EBLCP","2021-02-18","667","719","667","719","0.10","719"
"EBLCP","2021-02-16","654","654","654","654","-0.02","312"
"EBLCP","2021-02-15","665","665","665","665","-0.01","100"
"EBLCP","2021-02-14","685","685","675","675","-0.01","242"
"EBLCP","2021-02-11","690","690","685","685","-0.02","150"
"EBLCP","2021-02-10","708","708","697","697","-0.02","295"
"EBLCP","2021-02-04","695","708","695","708","0.02","70"
"EBLCP","2021-02-03","695","695","695","695","0.00","16"
"EBLCP","2021-02-01","681","695","681","695","0.00","289"
"EBLCP","2021-01-28","707","707","707","707","-0.02","100"
"EBLCP","2021-01-27","721","721","721","721","0.02","10"
"EBLCP","2021-01-21","694","707","694","707","0.04","85"
"EBLCP","2021-01-19","680","682","680","681","0.00","156"
"EBLCP","2021-01-18","695","695","678","678","-0.04","266"
"EBLCP","2021-01-17","705","705","705","705","0.02","10"
"EBLCP","2021-01-11","692","692","692","692","-0.01","250"
