"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EDBLPO","2022-03-28","251","251","251","251","0.00","10000"
"EDBLPO","2022-03-22","251","251","251","251","0.00","17500"
"EDBLPO","2022-03-21","251","251","251","251","0.00","35000"
"EDBLPO","2022-03-15","251","251","251","251","0.00","7500"
"EDBLPO","2022-03-13","251","251","251","251","0.00","10000"
"EDBLPO","2021-12-12","305","305","305","305","0.00","21500"
"EDBLPO","2021-09-01","579","579","579","579","-1.86","50000"
"EDBLPO","2021-05-24","342","342","342","342","-1.72","100000"
"EDBLPO","2021-01-07","194","194","194","194","0.00","13000"
"EDBLPO","2019-08-12","155","155","155","155","0.00","33660"
"EDBLPO","2019-07-15","155","155","155","155","0.00","820"
"EDBLPO","2019-03-07","160","160","160","160","0.00","100"
"EDBLPO","2019-01-02","160","160","160","160","0.00","25000"
"EDBLPO","2017-04-10","275","275","275","275","0.00","6000"
"EDBLPO","2017-03-05","275","275","275","275","0.00","6000"
"EDBLPO","2017-02-06","275","275","275","275","-1.79","8000"
"EDBLPO","2017-02-02","280","280","280","280","-1.75","5000"
"EDBLPO","2017-02-01","285","285","285","285","-1.72","5000"
"EDBLPO","2017-01-31","290","290","290","290","-1.69","5000"
"EDBLPO","2017-01-30","295","295","295","295","-1.99","5000"
"EDBLPO","2017-01-26","307","307","301","301","-3.83","10000"
"EDBLPO","2016-12-20","313","313","313","313","-1.88","9368"
"EDBLPO","2016-12-14","319","319","319","319","-1.85","4000"
"EDBLPO","2016-12-12","325","325","325","325","-1.81","4000"
"EDBLPO","2016-12-11","331","331","331","331","-1.78","4000"
"EDBLPO","2016-09-21","357","357","337","337","-7.42","2000"
"EDBLPO","2016-09-14","392","392","364","364","-9.00","7000"
"EDBLPO","2016-09-08","400","400","400","400","0.00","5087"
"EDBLPO","2016-08-24","400","400","400","400","-1.23","2500"
"EDBLPO","2016-03-27","350","350","350","350","0.00","25000"
"EDBLPO","2016-03-24","350","343","315","315","-10.00","25000"
"EDBLPO","2015-06-23","277","277","275","275","-0.72","20250"
"EDBLPO","2014-12-24","320","320","320","320","0.00","7000"
"EDBLPO","2014-12-04","325","320","320","320","-1.54","15000"
"EDBLPO","2014-08-25","325","325","325","325","0.00","500"
"EDBLPO","2014-07-13","0","325","325","325","0.00","28249"
