"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EDBL","2022-05-05","382","395.7","380","382","-1.55","4551"
"EDBL","2022-05-04","391","401.8","386.3","388","-1.52","5142"
"EDBL","2022-05-02","412","412","393.2","394","-4.37","6810"
"EDBL","2022-04-28","417","424.9","410","412","-1.44","5364"
"EDBL","2022-04-27","415","420","410","418","0.72","9585"
"EDBL","2022-04-26","426.3","426.3","405","415","-0.72","6126"
"EDBL","2022-04-25","438","438","416.5","418","-2.79","20817"
"EDBL","2022-04-24","413","444.7","396.9","430","6.17","12176"
"EDBL","2022-04-21","402","405","385","405","0.75","14768"
"EDBL","2022-04-20","420.2","420.2","401.8","402","-2.43","2045"
"EDBL","2022-04-19","417.9","417.9","394","412","0.49","9972"
"EDBL","2022-04-18","434.9","434.9","408.1","410","-4.18","12666"
"EDBL","2022-04-17","437.3","437.3","418","427.9","-0.21","3660"
"EDBL","2022-04-13","418","431","413","428.8","2.56","3442"
"EDBL","2022-04-12","435.5","435.5","418.1","418.1","-2.08","5814"
"EDBL","2022-04-11","445","449","427","427","-2.29","5809"
"EDBL","2022-04-07","416","437","416","437","5.05","15651"
"EDBL","2022-04-06","420","428","412","416","-1.89","5445"
"EDBL","2022-04-05","428","430","421.1","424","-2.30","13377"
"EDBL","2022-04-04","450","450","433.2","434","-2.25","6877"
"EDBL","2022-04-03","437","444","437","444","-0.22","5624"
"EDBL","2022-03-31","447.1","457","438.3","445","-1.77","14153"
"EDBL","2022-03-30","433","457","433","453","2.70","14231"
"EDBL","2022-03-29","440.1","450.8","440.1","441.1","-0.23","4325"
"EDBL","2022-03-28","441.1","455","440","442.1","-1.76","19607"
"EDBL","2022-03-27","470","470","447","450","-4.66","20707"
"EDBL","2022-03-24","495","495","470","472","-2.88","12823"
"EDBL","2022-03-23","482","489","475","486","0.83","9106"
"EDBL","2022-03-22","488.5","490","470.9","482","0.63","17568"
"EDBL","2022-03-21","474.3","479","464","479","3.01","17201"
"EDBL","2022-03-20","471.2","471.2","457","465","0.65","14115"
"EDBL","2022-03-16","479.8","481","460.1","462","-2.12","10698"
"EDBL","2022-03-15","474.3","478","457","472","1.51","17037"
"EDBL","2022-03-14","470","470","459","465","0.00","11862"
"EDBL","2022-03-13","457","469","455","465","3.56","42306"
"EDBL","2022-03-10","435","451","434","449","1.81","27945"
"EDBL","2022-03-09","450","455","435.1","441","-3.27","12740"
"EDBL","2022-03-07","465","465","449.6","455.9","-1.75","25591"
"EDBL","2022-03-06","463","464","443","464","2.20","19104"
"EDBL","2022-03-02","482.4","482.4","454","454","-4.02","12021"
"EDBL","2022-02-28","504.9","504.9","470","473","-4.44","20709"
"EDBL","2022-02-27","498.7","498.7","475","495","1.23","17942"
"EDBL","2022-02-24","520.2","520.2","485","489","-4.12","13501"
"EDBL","2022-02-23","525.4","525.4","505","510","-0.99","6288"
"EDBL","2022-02-22","515.1","515.1","505","515.1","2.00","13312"
"EDBL","2022-02-21","515.1","524","500","505","0.00","19233"
"EDBL","2022-02-20","506.7","515","502","505","-2.32","12912"
"EDBL","2022-02-17","531.4","531.4","515","517","-0.77","14552"
"EDBL","2022-02-16","535.5","535.5","518","521","-0.76","8674"
"EDBL","2022-02-15","534.8","534.8","523","525","0.11","19539"
"EDBL","2022-02-14","530","530","516.1","524.4","0.65","10379"
"EDBL","2022-02-13","553.8","553.8","515.2","521","-4.05","12224"
"EDBL","2022-02-10","546","546","533.3","543","1.31","8382"
"EDBL","2022-02-09","533","554","533","536","-1.29","5707"
"EDBL","2022-02-08","557","568","540","543","0.00","14686"
"EDBL","2022-02-07","540.09","554","540.09","548","-0.16","9232"
"EDBL","2022-02-06","564","565","545","548.9","-2.61","11925"
"EDBL","2022-02-03","584","590.5","562.7","563.6","-2.66","17597"
"EDBL","2022-02-01","561","582","555","579","3.39","25476"
"EDBL","2022-01-31","573","574","553.7","560","-1.93","17846"
"EDBL","2022-01-30","550.8","571","545","571","5.74","53248"
"EDBL","2022-01-27","545.1","552.5","539","540","-0.55","5583"
"EDBL","2022-01-26","547","550","540","543","-2.34","11366"
"EDBL","2022-01-25","543","565","533.1","556","0.36","23670"
"EDBL","2022-01-24","568","579","549","554","-4.32","12854"
"EDBL","2022-01-23","590","600","570","579","-1.70","7793"
"EDBL","2022-01-20","592.6","592.6","576","589","1.38","9054"
"EDBL","2022-01-19","599","599","565.2","581","-3.09","12319"
"EDBL","2022-01-18","601","615","585.2","599.5","-0.91","30042"
"EDBL","2022-01-17","613","613","591.3","605","0.33","14041"
"EDBL","2022-01-16","580","615","590","603","3.97","41164"
"EDBL","2022-01-13","580.3","586","565","580","1.93","12335"
"EDBL","2022-01-12","599","601.9","569","569","-3.56","30238"
"EDBL","2022-01-11","566","600","554","590","6.31","36141"
"EDBL","2022-01-10","548","559.9","540","555","3.16","28005"
"EDBL","2022-01-09","543","550","538","538","0.94","9659"
"EDBL","2022-01-06","545.5","545.5","524","533","-0.36","6313"
