"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EICPO","2022-05-05","364.5","364.5","345.4","345.4","-7.13","1327"
"EICPO","2022-05-04","387.1","387.1","371.9","371.9","-5.82","222"
"EICPO","2022-04-28","381","394.9","381","394.9","1.70","838"
"EICPO","2022-04-27","388.3","388.3","388.3","388.3","1.92","10"
"EICPO","2022-04-26","388.3","388.6","381","381","-0.03","611"
"EICPO","2022-04-25","404.7","404.7","381.1","381.1","-7.70","730"
"EICPO","2022-04-24","396","420.2","382.4","412.9","2.20","3311"
"EICPO","2022-04-20","388.9","404","366.4","404","1.81","550"
"EICPO","2022-04-19","381.4","396.8","373.9","396.8","1.98","780"
"EICPO","2022-04-18","397","397","389.1","389.1","-1.99","320"
"EICPO","2022-04-17","405","405","397","397","-2.70","520"
"EICPO","2022-04-13","400","408","400","408","2.00","521"
"EICPO","2022-04-12","424","424","400","400","-5.88","780"
"EICPO","2022-04-11","441.6","441.6","425","425","-1.85","397"
"EICPO","2022-04-07","433","433","433","433","-1.81","10"
"EICPO","2022-03-31","441","441","441","441","-2.00","10"
"EICPO","2022-03-30","431","450","430","450","4.34","819"
"EICPO","2022-03-29","432","432","431.3","431.3","-1.98","500"
"EICPO","2022-03-28","442","454","427","440","-2.44","2797"
"EICPO","2022-03-27","480","499.4","442.9","451","-4.19","2414"
"EICPO","2022-03-24","452.5","470.7","452.5","470.7","6.09","5510"
"EICPO","2022-03-23","446","463.8","435","443.7","1.07","2481"
"EICPO","2022-03-22","446.6","446.6","431","439","-3.66","9058"
"EICPO","2022-03-21","464.9","464.9","455.7","455.7","-3.92","20"
"EICPO","2022-03-15","427.1","474.3","427","474.3","8.98","5563"
"EICPO","2022-03-14","450","450","435.2","435.2","-1.98","20"
"EICPO","2022-03-13","436.7","454.5","436.7","444","-0.36","2241"
"EICPO","2022-03-10","455","455","437","445.6","-0.93","70"
"EICPO","2022-03-09","458.9","458.9","449.8","449.8","-0.11","20"
"EICPO","2022-03-07","443","450.3","442","450.3","-0.16","130"
"EICPO","2022-03-06","427","451","427","451","3.63","705"
"EICPO","2022-03-02","440","444","423.1","435.2","-1.63","6380"
"EICPO","2022-02-28","460.6","460.6","442.4","442.4","-5.85","30"
"EICPO","2022-02-27","435.3","469.9","432.5","469.9","5.88","505"
"EICPO","2022-02-24","461.8","461.8","435.1","443.8","-1.99","1582"
"EICPO","2022-02-23","470","470","452.8","452.8","-3.66","4562"
"EICPO","2022-02-22","473.4","473.4","464","470","-2.69","547"
"EICPO","2022-02-21","465","483","455.7","483","1.81","366"
"EICPO","2022-02-20","474.4","474.4","474.4","474.4","-1.98","10"
"EICPO","2022-02-17","479.6","484","479","484","2.93","863"
"EICPO","2022-02-16","500","510","470.2","470.2","-5.96","1477"
"EICPO","2022-02-15","476","504","471","500","3.09","3428"
"EICPO","2022-02-14","477.3","494.9","458.7","485","-0.41","1826"
"EICPO","2022-02-13","499","499","460","487","-0.59","7002"
"EICPO","2022-02-10","455.8","493.3","455.8","489.9","5.33","41291"
"EICPO","2022-02-09","472.3","473","463","465.1","-3.49","4074"
"EICPO","2022-02-08","463","481.9","445","481.9","0.00","4428"
"EICPO","2022-02-07","454","469.2","451","454","1.79","5164"
"EICPO","2022-02-06","459","478.3","443.3","446","-1.20","2809"
"EICPO","2022-02-03","467","470","451.4","451.4","-3.55","1831"
"EICPO","2022-02-01","475","475","442.5","468","-0.43","743"
"EICPO","2022-01-31","466.1","474","451.4","470","2.84","5017"
"EICPO","2022-01-30","464.2","464.2","456","457","0.42","1668"
"EICPO","2022-01-27","514.6","514.6","454.2","455.1","-9.81","10412"
"EICPO","2022-01-26","458.7","514.8","432.5","504.6","7.82","4540"
"EICPO","2022-01-25","442.4","468","433.6","468","3.68","4541"
"EICPO","2022-01-24","458.6","469","443","451.4","-3.53","5216"
"EICPO","2022-01-23","450.8","468.9","443.2","467.9","5.86","3587"
"EICPO","2022-01-20","450.8","450.8","441.8","442","-3.91","767"
"EICPO","2022-01-19","441.1","468.1","441.1","460","2.22","3654"
"EICPO","2022-01-18","445.8","463","440","450","2.95","39059"
"EICPO","2022-01-17","444","444","436.3","437.1","0.23","6674"
"EICPO","2022-01-16","452.5","461.5","436.1","436.1","-3.62","9377"
"EICPO","2022-01-13","440","452.5","434.9","452.5","4.02","6011"
"EICPO","2022-01-12","430","450.7","430","435","2.35","6045"
"EICPO","2022-01-11","420","454.1","419.5","425","-0.70","12270"
"EICPO","2022-01-10","406.1","428","406.1","428","3.38","1257"
"EICPO","2022-01-09","417","417","414","414","1.10","84"
"EICPO","2022-01-06","409.9","417.8","409.5","409.5","-2.08","31"
"EICPO","2022-01-05","402.5","418.2","394.5","418.2","1.83","6706"
"EICPO","2022-01-04","435.2","435.2","410.7","410.7","-7.50","1542"
"EICPO","2022-01-03","430","445","420.7","444","1.39","5637"
"EICPO","2022-01-02","421","437.9","412.5","437.9","6.08","5115"
"EICPO","2021-12-29","396.9","412.8","389.1","412.8","1.95","290"
"EICPO","2021-12-28","405","405","397","404.9","-1.96","816"
"EICPO","2021-12-27","443","443","411","413","-5.25","4150"
"EICPO","2021-12-26","405.4","438","381.7","435.9","5.39","24664"
"EICPO","2021-12-22","385","413.8","385","413.6","8.13","4776"
"EICPO","2021-12-21","360.7","382.5","360.7","382.5","3.94","4538"
"EICPO","2021-12-20","376.2","376.2","347.5","368","-4.12","2148"
"EICPO","2021-12-16","383.8","383.8","383.8","383.8","-1.99","20"
"EICPO","2021-12-15","375","391.6","375","391.6","5.84","4412"
"EICPO","2021-12-14","361.7","370","355","370","0.27","1481"
"EICPO","2021-12-13","355","369","325.9","369","1.91","18580"
"EICPO","2021-12-12","368.6","368.6","362.1","362.1","-3.70","1060"
"EICPO","2021-12-09","388.1","388.1","376","376","-3.12","585"
"EICPO","2021-12-08","396","396","388.1","388.1","-3.94","103"
"EICPO","2021-12-07","399.4","420","399.4","404","3.17","2167"
