"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ENL","2022-05-05","760","760","712","729","-5.94","3435"
"ENL","2022-05-04","782.1","790","766.6","775","-2.88","2154"
"ENL","2022-05-02","819","820","783","798","-3.86","4744"
"ENL","2022-04-28","821.3","835","807","830","-0.95","3905"
"ENL","2022-04-27","811","842.5","801.5","838","1.34","4639"
"ENL","2022-04-26","837","850","810.1","826.9","-3.17","3979"
"ENL","2022-04-25","870","885","830","854","-3.50","6708"
"ENL","2022-04-24","857.8","886","840.7","885","5.23","7160"
"ENL","2022-04-21","830","866.8","810","841","0.12","7026"
"ENL","2022-04-20","860","877","836","840","-2.33","3114"
"ENL","2022-04-19","825","914","823","860","2.63","5294"
"ENL","2022-04-18","885","901","832","838","-7.10","14645"
"ENL","2022-04-17","976","990","902","902","-7.58","9317"
"ENL","2022-04-13","916.3","1006","902","976","4.39","15093"
"ENL","2022-04-12","1001","1060.8","926","935","-6.59","19079"
"ENL","2022-04-11","1112","1150","1001","1001","-9.98","30266"
"ENL","2022-04-07","1166.9","1166.9","1071.7","1112","-6.61","41032"
"ENL","2022-04-06","1296.6","1296.6","1190.7","1190.7","-10.00","3980"
"ENL","2022-04-05","1440.6","1440.6","1323","1323","-10.00","2885"
"ENL","2022-04-04","1373","1481.9","1220","1470","9.12","47292"
"ENL","2022-04-03","1249.2","1347.2","1224.8","1347.2","9.99","7631"
"ENL","2022-03-31","1135.7","1224.8","1056.5","1224.8","10.00","79378"
"ENL","2022-03-30","1032.5","1113.5","1032.5","1113.5","10.00","12986"
"ENL","2022-03-29","938.7","1012.3","938.7","1012.3","10.00","3922"
"ENL","2022-03-28","853.4","920.3","853.4","920.3","9.99","8072"
"ENL","2022-03-27","775.9","836.7","775.9","836.7","9.99","8392"
"ENL","2022-03-24","705.4","760.7","705.4","760.7","9.99","4370"
"ENL","2022-03-23","641.3","691.6","641.3","691.6","9.99","1470"
"ENL","2022-03-22","583.1","628.8","583.1","628.8","9.99","1300"
"ENL","2022-03-21","530.1","571.7","530.1","571.7","9.98","1089"
"ENL","2022-03-20","482","519.8","482","519.8","9.99","950"
"ENL","2022-03-16","438.2","472.6","438.2","472.6","9.98","270"
"ENL","2022-03-15","398.5","429.7","398.5","429.7","9.98","230"
"ENL","2022-03-14","383.1","390.7","383.1","390.7","4.02","20"
"ENL","2022-03-13","348.3","375.6","348.3","375.6","9.99","51"
"ENL","2022-03-10","316.7","341.5","316.7","341.5","9.98","70"
"ENL","2022-03-09","298.6","310.5","298.6","310.5","3.99","27"
"ENL","2022-03-07","287.1","298.6","287.1","298.6","4.01","34"
"ENL","2022-03-06","287.1","287.1","287.1","287.1","0.00","20"
