"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FLOAT","2022-05-05","139.66","155.55","152.18","152.87","0.00","1602345056"
"FLOAT","2022-05-04","157.92","157.97","155.25","155.57","0.00","1211930567.4"
"FLOAT","2022-05-02","161.06","161.1","157.45","157.74","0.00","1410305321.99"
"FLOAT","2022-04-28","160.87","163.13","160.61","160.87","0.00","1462957918.2"
"FLOAT","2022-04-27","162.19","162.42","160.41","162.32","0.00","1079962957.9"
"FLOAT","2022-04-26","162.8","164.17","161.11","162.05","0.00","1031057934.7"
"FLOAT","2022-04-25","165.56","167.12","162.62","162.8","0.00","2003053904"
"FLOAT","2022-04-24","159.06","165.86","159.05","165.23","0.00","2195885680.8"
"FLOAT","2022-04-21","159.12","159.41","155.94","158.65","0.00","1592267862.1"
"FLOAT","2022-04-20","161.51","161.6","158.28","158.61","0.00","1417062425"
"FLOAT","2022-04-19","160.31","161.98","158.09","160.97","0.00","1282772913.4"
"FLOAT","2022-04-18","162.7","162.72","159.88","160.11","0.00","1509120687.52"
"FLOAT","2022-04-17","165.12","166.1","162.34","162.64","0.00","1370277094.2"
"FLOAT","2022-04-13","162.62","164.64","161.36","164.63","0.00","1454097117.5"
"FLOAT","2022-04-12","165.2","165.33","162.12","162.59","0.00","1513166154.9"
"FLOAT","2022-04-11","168.19","170.71","164.47","164.84","0.00","2243746636.3"
"FLOAT","2022-04-07","165.06","168.44","165.04","167.5","0.00","2083390925.8"
"FLOAT","2022-04-06","167.05","167.56","164.58","165.12","0.00","1979122495.09"
"FLOAT","2022-04-05","170.58","170.58","165.83","167.06","0.00","2634142290.56"
"FLOAT","2022-04-04","171.35","171.76","169.79","169.94","0.00","1572807570.2"
"FLOAT","2022-04-03","172.86","173.08","170.68","170.91","0.00","1444084517"
"FLOAT","2022-03-31","174.78","175.91","172.53","172.84","0.00","1877813668.5"
"FLOAT","2022-03-30","172","174.75","171.21","174.75","0.00","2120763843.26"
"FLOAT","2022-03-29","173.1","174.44","171.56","172","0.00","1738134683.5"
"FLOAT","2022-03-28","175.31","175.75","172.77","173.03","0.00","2520721629.96"
"FLOAT","2022-03-27","178.34","179.73","174.79","175.16","0.00","4784615118.3"
"FLOAT","2022-03-24","179.08","179.53","177.66","177.82","0.00","3147548152.9"
"FLOAT","2022-03-23","180.64","180.83","178.57","179.08","0.00","2037726169.2"
"FLOAT","2022-03-22","179.7","181.23","179.7","180.55","0.00","2332834489.4"
"FLOAT","2022-03-21","178.23","179.61","177.03","179.61","0.00","2531573040.6"
"FLOAT","2022-03-20","179","179.77","177.28","177.92","0.00","2220488158.2"
"FLOAT","2022-03-16","180.02","180.41","178.45","178.76","0.00","2541110543.6"
"FLOAT","2022-03-15","181.05","181.36","178.78","179.86","0.00","3338956952.2"
"FLOAT","2022-03-14","181.54","181.94","179.42","180.86","0.00","1339004050.6"
"FLOAT","2022-03-13","174.54","180.64","174.53","180.64","0.00","4851266346.3"
"FLOAT","2022-03-10","169.7","173.9","168.88","173.9","0.00","2780216427.2"
"FLOAT","2022-03-07","172.35","174.05","171.69","172.07","0.00","2573184624.9"
"FLOAT","2022-03-06","172.1","174.03","171.27","172.4","0.00","2473809037.7"
"FLOAT","2022-03-02","176.93","176.92","172.09","172.44","0.00","3575608724.2"
"FLOAT","2022-02-28","180.14","181.92","176.5","176.79","0.00","3641435524.6"
"FLOAT","2022-02-27","180.2","181.47","178.7","179.61","0.00","3244559563"
"FLOAT","2022-02-24","184.17","184.18","179.68","180.3","0.00","4275644723"
"FLOAT","2022-02-23","185.06","186.11","184.03","184.3","0.00","3118186356.1"
"FLOAT","2022-02-22","184.18","186.06","184.18","185.12","0.00","3200216678"
"FLOAT","2022-02-21","182.55","184.1","182.49","184.1","0.00","2992115103.9"
"FLOAT","2022-02-20","184.07","184.15","180.98","182.39","0.00","4058763352.7"
"FLOAT","2022-02-17","185.72","186.42","184.98","185.44","0.00","2264386964.9"
"FLOAT","2022-02-16","187.52","188.25","185.16","185.65","0.00","3010173550"
"FLOAT","2022-02-15","183.93","187.13","183.76","187.12","0.00","3150915810.1"
"FLOAT","2022-02-14","183.55","185.91","183.27","183.74","0.00","3650768649.5"
"FLOAT","2022-02-13","189.33","189.35","183.54","183.85","0.00","5948523866.75"
"FLOAT","2022-02-10","191.81","192.69","190.23","190.73","0.00","3783584520.43"
"FLOAT","2022-02-09","193.63","193.63","191.09","191.9","0.00","3453440164.7"
"FLOAT","2022-02-08","196.78","200.03","192.99","193.55","0.00","6256696572.8"
"FLOAT","2022-02-07","194.11","195.43","193.3","194.84","0.00","4974439955.5"
"FLOAT","2022-02-06","196.95","196.95","193.83","194.17","0.00","5802960080.8"
"FLOAT","2022-02-03","198.7","200.48","196.73","196.97","0.00","8570209145.5"
"FLOAT","2022-02-01","196.93","198.53","195.65","198.11","0.00","6557387866"
"FLOAT","2022-01-31","199.01","199.88","196.27","196.68","0.00","5105893700.4"
"FLOAT","2022-01-30","192.73","198.21","192.73","198.2","0.00","6125388624"
"FLOAT","2022-01-27","191.07","192.63","190.75","190.92","0.00","3321842493.7"
"FLOAT","2022-01-26","193.82","194.01","189.88","190.87","0.00","4280366965.9"
"FLOAT","2022-01-25","194.62","196.67","191.22","193.67","0.00","5368568954.3"
"FLOAT","2022-01-24","201.55","201.55","192.96","194.04","0.00","8845404050.8"
"FLOAT","2022-01-23","203.22","204.52","200.1","201.05","0.00","6881677739.1"
"FLOAT","2022-01-20","200.22","202.41","198.9","202.32","0.00","5658809299.6"
"FLOAT","2022-01-19","203.35","203.5","199.26","200","0.00","5878960626.2"
"FLOAT","2022-01-18","203.22","205.67","200.97","202.34","0.00","8359970527.9"
