"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FMDBLP","2022-01-16","447","447","447","447","0.00","14054"
"FMDBLP","2022-01-09","447","447","447","447","0.00","18000"
"FMDBLP","2021-11-18","447","447","447","447","0.00","8000"
"FMDBLP","2021-10-25","447","447","447","447","0.00","4000"
"FMDBLP","2021-10-03","447","447","447","447","0.00","77500"
"FMDBLP","2021-09-27","447","447","447","447","0.00","1500"
"FMDBLP","2021-07-14","447","447","447","447","0.00","25300"
"FMDBLP","2021-01-28","295","275","275","275","0.00","150000"
"FMDBLP","2020-07-14","275","275","275","275","108.33","500"
"FMDBLP","2019-09-29","132","132","132","132","0.00","17110"
"FMDBLP","2018-10-04","240","240","240","240","0.00","30000"
"FMDBLP","2018-07-11","314","314","308","308","-3.75","6678"
"FMDBLP","2018-03-27","360","360","360","360","0.00","10000"
"FMDBLP","2018-01-10","360","360","360","360","0.00","2300"
"FMDBLP","2018-01-09","380","373","360","360","-5.26","34500"
"FMDBLP","2018-01-08","393","393","380","380","-5.24","17250"
"FMDBLP","2018-01-07","417","417","401","401","-5.65","17250"
"FMDBLP","2018-01-04","425","425","425","425","0.00","11500"
"FMDBLP","2017-09-04","600","600","600","600","0.00","12567"
"FMDBLP","2016-12-06","650","650","650","650","0.00","83786"
"FMDBLP","2016-11-17","650","650","650","650","0.00","200"
"FMDBLP","2016-02-17","463","463","463","463","0.00","16100"
