"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FMDBL","2022-05-05","675","693","662","664","-2.35","9416"
"FMDBL","2022-05-04","690","703","680","680","-2.02","6401"
"FMDBL","2022-05-02","710","710","691.1","694","-2.25","13089"
"FMDBL","2022-04-28","740","740","710","710","-2.47","10011"
"FMDBL","2022-04-27","715","734","710","728","0.00","6838"
"FMDBL","2022-04-26","720","743","701","728","1.80","11688"
"FMDBL","2022-04-25","740","755","715.1","715.1","-2.18","15869"
"FMDBL","2022-04-24","703","740","703","731","3.98","14229"
"FMDBL","2022-04-21","700","703.8","680","703","-0.28","14822"
"FMDBL","2022-04-20","704","718","700","705","-1.67","7130"
"FMDBL","2022-04-19","720","730","693","717","1.41","7603"
"FMDBL","2022-04-18","711","718","700","707","0.04","8612"
"FMDBL","2022-04-17","721","745","706.7","706.7","-2.04","8019"
"FMDBL","2022-04-13","721","748.6","702","721.4","2.04","8081"
"FMDBL","2022-04-12","704.7","719.9","699","707","-0.70","11379"
"FMDBL","2022-04-11","749","755","712","712","-3.13","16041"
"FMDBL","2022-04-07","724.2","750","712.1","735","3.52","14701"
"FMDBL","2022-04-06","710.1","750","696","710","-1.80","18883"
"FMDBL","2022-04-05","725","733","717.5","723","-1.23","14955"
"FMDBL","2022-04-04","733","755","720","732","-1.35","10163"
"FMDBL","2022-04-03","761.7","761.7","733","742","-2.59","12325"
"FMDBL","2022-03-31","799","799","760.5","761.7","-3.46","9506"
"FMDBL","2022-03-30","754.3","789","752","789","4.60","12215"
"FMDBL","2022-03-29","770","773.1","754","754.3","-0.49","5063"
"FMDBL","2022-03-28","767","781.7","758","758","-3.07","10884"
"FMDBL","2022-03-27","784","799.6","768","782","-0.26","9137"
"FMDBL","2022-03-24","800","802","784","784","-2.24","12829"
"FMDBL","2022-03-23","809","815","800.1","802","-1.96","8493"
"FMDBL","2022-03-22","835","835","810","818","-0.24","12107"
"FMDBL","2022-03-21","810","820","800","820","1.23","13296"
"FMDBL","2022-03-20","812","815","801","810","-0.84","10726"
"FMDBL","2022-03-16","807","818","800","816.9","0.36","18376"
"FMDBL","2022-03-15","818","827","800","814","-0.49","18858"
"FMDBL","2022-03-14","812","820","784","818","2.63","10524"
"FMDBL","2022-03-13","788.4","808","788","797","3.10","27491"
"FMDBL","2022-03-10","740","775","735.5","773","4.46","14338"
"FMDBL","2022-03-09","760.1","770","738","740","-2.37","20448"
"FMDBL","2022-03-07","770","786","758","758","-1.56","7207"
"FMDBL","2022-03-06","760","782","755","770","0.79","11849"
"FMDBL","2022-03-02","771","780","757","764","-2.68","18388"
"FMDBL","2022-02-28","815","817","782.2","785","-2.01","10998"
"FMDBL","2022-02-27","809","817","798","801.1","0.01","18081"
"FMDBL","2022-02-24","810","820","794","801","-2.32","34534"
"FMDBL","2022-02-23","835","850","820","820","-0.61","8690"
"FMDBL","2022-02-22","843","843","822","825","-0.30","16213"
"FMDBL","2022-02-21","830","864.2","821","827.5","1.60","9403"
"FMDBL","2022-02-20","832","832","805.1","814.5","-2.46","11817"
"FMDBL","2022-02-17","838","846","827","835","-0.36","19519"
"FMDBL","2022-02-16","846","872.1","833","838","-1.41","11472"
"FMDBL","2022-02-15","826","852","826","850","2.91","11927"
"FMDBL","2022-02-14","818","833","810","826","0.98","12531"
