"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBBLPO","2022-03-10","277","277","277","277","0.00","6500"
"GBBLPO","2022-01-20","277","277","277","277","0.00","4000"
"GBBLPO","2022-01-18","277","277","277","277","0.00","137607"
"GBBLPO","2022-01-17","277","277","277","277","0.00","16676"
"GBBLPO","2022-01-09","277","277","277","277","0.00","75000"
"GBBLPO","2022-01-04","277","277","277","277","0.00","35000"
"GBBLPO","2021-03-21","173","173","173","173","-0.33","14785"
"GBBLPO","2021-01-19","197","197","197","197","0.00","114095"
"GBBLPO","2020-07-20","115","115","115","115","0.00","4000"
"GBBLPO","2020-07-19","115","115","115","115","0.00","27917"
"GBBLPO","2020-07-15","115","115","115","115","0.00","50000"
"GBBLPO","2020-07-14","115","115","115","115","0.00","122509"
"GBBLPO","2020-07-08","115","115","115","115","0.00","79000"
"GBBLPO","2019-08-19","115","115","115","115","0.00","50000"
"GBBLPO","2019-07-15","115","115","115","115","0.00","27530"
"GBBLPO","2019-07-09","115","115","115","115","0.00","21613"
"GBBLPO","2019-07-08","115","115","115","115","0.00","136293"
"GBBLPO","2019-05-09","115","115","115","115","0.00","5000"
"GBBLPO","2019-04-29","115","115","115","115","0.00","2530"
"GBBLPO","2019-04-11","115","115","115","115","0.00","2145"
"GBBLPO","2019-04-09","115","115","115","115","0.00","334497"
"GBBLPO","2018-07-15","115","115","115","115","0.00","24891"
"GBBLPO","2018-07-10","115","115","115","115","0.00","65150"
"GBBLPO","2018-07-09","115","115","115","115","0.00","75044"
"GBBLPO","2018-07-08","115","115","115","115","0.00","37440"
"GBBLPO","2017-12-20","156","156","156","156","0.00","89195"
"GBBLPO","2017-12-19","156","156","156","156","-1.89","66904"
"GBBLPO","2017-12-18","159","159","159","159","-1.85","73000"
"GBBLPO","2017-12-17","162","162","162","162","-1.82","129894"
"GBBLPO","2017-07-25","165","165","165","165","-1.79","51776"
"GBBLPO","2017-01-31","200","200","200","200","0.00","184163"
"GBBLPO","2016-04-12","175","175","175","175","0.00","34215"
"GBBLPO","2015-12-25","171","171","171","171","0.00","523437"
