"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBBL","2022-05-05","398","400","391.2","392.5","-1.88","26208"
"GBBL","2022-05-04","410","410","398.2","400","-2.44","25614"
"GBBL","2022-05-02","417","417.1","408","410","-3.53","25704"
"GBBL","2022-04-28","433.9","435","421","425","-1.30","22946"
"GBBL","2022-04-27","416","431","416","430.6","1.97","28067"
"GBBL","2022-04-26","418","426","416","422.3","0.91","16770"
"GBBL","2022-04-25","429","442","415","418.5","-2.45","49091"
"GBBL","2022-04-24","405","433.8","401","429","6.98","45242"
"GBBL","2022-04-21","392","403","385.1","401","2.30","18826"
"GBBL","2022-04-20","406","406","392","392","-1.75","24457"
"GBBL","2022-04-19","404","409","391.1","399","0.00","33052"
"GBBL","2022-04-18","406","406","398","399","-1.24","27837"
"GBBL","2022-04-17","410","416","403","404","-1.46","41121"
"GBBL","2022-04-13","402","414.1","400","410","0.99","37209"
"GBBL","2022-04-12","419","420","405","406","-2.87","30442"
"GBBL","2022-04-11","433","442","418","418","-1.65","31026"
"GBBL","2022-04-07","418.2","435","418.2","425","0.95","34185"
"GBBL","2022-04-06","425","430","419","421","-1.17","28783"
"GBBL","2022-04-05","430.9","435","421","426","-1.91","50367"
"GBBL","2022-04-04","434","447","431.4","434.3","-0.62","25818"
"GBBL","2022-04-03","437","441","434","437","-0.91","14041"
"GBBL","2022-03-31","457","462","440","441","-2.84","29416"
"GBBL","2022-03-30","440","455","434","453.9","3.61","51230"
"GBBL","2022-03-29","451.9","451.9","437.1","438.1","-1.33","24090"
"GBBL","2022-03-28","443.1","460","442","444","-1.66","42657"
"GBBL","2022-03-27","466.1","466.1","451","451.5","-3.11","38568"
"GBBL","2022-03-24","470","478","466","466","-2.10","30497"
"GBBL","2022-03-23","481","489","474","476","-1.75","29411"
"GBBL","2022-03-22","487.9","490","479.1","484.5","0.94","39646"
"GBBL","2022-03-21","468","482","460","480","2.35","59887"
"GBBL","2022-03-20","490","490","467.9","469","-2.50","68117"
"GBBL","2022-03-16","570","573","557","558","-1.76","217430"
"GBBL","2022-03-15","568","570","559","568","0.00","82954"
