"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBD80/81","2022-05-05","955.5","955.5","955.5","955.5","-2.00","25"
"GBD80/81","2022-05-02","975","975","975","975","0.52","25"
"GBD80/81","2022-04-28","970","970","970","970","0.21","25"
"GBD80/81","2022-04-11","968","968","968","968","-1.93","50"
"GBD80/81","2022-04-03","987","987","987","987","-0.29","40"
"GBD80/81","2022-03-30","989","989.9","989","989.9","0.00","200"
"GBD80/81","2022-03-29","989.9","989.9","989.9","989.9","0.16","200"
"GBD80/81","2022-03-24","969","988.3","969","988.3","4.03","50"
"GBD80/81","2022-03-15","950","950","950","950","1.00","425"
"GBD80/81","2022-03-13","940.6","940.6","940.6","940.6","0.92","50"
"GBD80/81","2022-03-09","946","946","932","932","-2.00","170"
"GBD80/81","2022-03-07","951","951","951","951","-1.98","10"
"GBD80/81","2022-02-14","970.2","970.2","970.2","970.2","-2.00","100"
"GBD80/81","2022-01-27","977","990","977","990","-0.60","55"
"GBD80/81","2022-01-24","1001","1001","996","996","-0.40","75"
"GBD80/81","2022-01-23","1000","1000","1000","1000","0.70","25"
"GBD80/81","2022-01-16","1030","1010","993","993","-3.59","30"
"GBD80/81","2022-01-13","1030","1030","1030","1030","0.29","25"
"GBD80/81","2022-01-11","1025","1027","1025","1027","0.20","75"
"GBD80/81","2022-01-10","1025","1025","1025","1025","0.00","25"
"GBD80/81","2022-01-06","1020","1025","1020","1025","0.49","250"
"GBD80/81","2022-01-04","1020","1020","1020","1020","-0.29","50"
"GBD80/81","2022-01-02","1023","1023","1023","1023","1.99","25"
"GBD80/81","2021-12-23","1003","1003","1003","1003","0.00","45"
"GBD80/81","2021-12-06","1003","1003","1003","1003","-0.21","25"
"GBD80/81","2021-12-02","1005.1","1005.1","1005.1","1005.1","0.27","30"
"GBD80/81","2021-11-30","1005","1005","1002.4","1002.4","0.00","1000"
"GBD80/81","2021-11-22","1002.4","1002.4","1002.4","1002.4","0.00","200"
"GBD80/81","2021-11-21","1002.4","1002.4","1002.4","1002.4","0.24","25"
"GBD80/81","2021-11-14","1000","1000","1000","1000","-0.51","25"
"GBD80/81","2021-11-08","1005.1","1005.1","1005.1","1005.1","-0.98","25"
"GBD80/81","2021-11-03","1015","1015","1015","1015","0.78","25"
"GBD80/81","2021-11-01","1008","1008","1007.1","1007.1","-1.75","50"
"GBD80/81","2021-10-17","1025","1025","1025","1025","0.00","25"
"GBD80/81","2021-10-05","1025","1025","1025","1025","0.29","100"
"GBD80/81","2021-10-04","1016.1","1022","1016","1022","0.39","200"
"GBD80/81","2021-10-03","1016","1022.5","1016","1018","-0.68","400"
"GBD80/81","2021-09-26","1025.1","1025.1","1025","1025","0.49","50"
"GBD80/81","2021-09-16","1020","1020","1020","1020","-1.45","565"
"GBD80/81","2021-09-13","1035","1035","1035","1035","-1.48","200"
"GBD80/81","2021-09-12","1030","1050.6","1030","1050.6","2.00","150"
"GBD80/81","2021-09-09","1030","1030","1030","1030","0.78","150"
"GBD80/81","2021-09-06","1035","1035","1022","1022","0.19","550"
"GBD80/81","2021-09-02","1020.1","1020.1","1020.1","1020.1","0.40","25"
"GBD80/81","2021-09-01","1031","1031","1016","1016","-1.94","4795"
"GBD80/81","2021-08-26","1036","1036.1","1036","1036.1","-0.38","125"
"GBD80/81","2021-08-24","1045","1045","1040","1040","-0.97","50"
"GBD80/81","2021-08-18","1050.2","1050.2","1050.2","1050.2","0.02","50"
"GBD80/81","2021-08-17","1037","1050","1037","1050","-0.10","275"
"GBD80/81","2021-08-16","1051","1051","1051","1051","-0.38","25"
"GBD80/81","2021-08-12","1046","1055","1055","1055","0.86","50"
"GBD80/81","2021-08-11","1035","1046","1035","1046","0.04","2500"
"GBD80/81","2021-08-08","1045.6","1045.6","1045.6","1045.6","2.00","25"
"GBD80/81","2021-08-05","1025.1","1025.1","1025.1","1025.1","-1.43","25"
"GBD80/81","2021-08-03","1054","1054","1040","1040","-0.95","725"
"GBD80/81","2021-08-02","1049","1050","1031","1050","0.00","745"
"GBD80/81","2021-07-29","1050","1050","1050","1050","0.00","25"
"GBD80/81","2021-07-28","1048","1050","1048","1050","1.99","90"
"GBD80/81","2021-07-27","1029","1029.5","1029","1029.5","-1.77","50"
"GBD80/81","2021-07-26","1030","1048","1030","1048","-0.19","1310"
"GBD80/81","2021-07-25","1031.1","1050","1030","1050","2.04","435"
"GBD80/81","2021-07-22","1029","1029","1029","1029","-2.00","25"
"GBD80/81","2021-07-18","1070","1070","1050","1050","-2.42","100"
"GBD80/81","2021-07-15","1076","1076","1076","1076","1.99","20"
"GBD80/81","2021-07-14","1055","1055","1055","1055","-1.95","25"
"GBD80/81","2021-07-06","1055","1076","1055","1076","1.99","100"
"GBD80/81","2021-07-05","1055","1055","1055","1055","0.00","150"
"GBD80/81","2021-06-30","1055","1055","1055","1055","-1.86","50"
"GBD80/81","2021-06-29","1054","1075","1054","1075","1.99","115"
"GBD80/81","2021-06-28","1054","1054","1054","1054","0.00","50"
"GBD80/81","2021-06-27","1062","1062","1054","1054","-0.85","50"
"GBD80/81","2021-06-24","1075","1075","1063","1063","-1.02","50"
"GBD80/81","2021-06-21","1085","1085","1074","1074","0.94","35"
"GBD80/81","2021-06-20","1070","1071","1064","1064","1.33","190"
"GBD80/81","2021-06-14","1050","1055","1050","1050","0.00","500"
"GBD80/81","2021-06-09","1049","1050","1049","1050","0.00","205"
"GBD80/81","2021-06-07","1049","1049","1049","1049","-0.19","25"
"GBD80/81","2021-06-02","1061","1060","1051","1051","-0.94","50"
"GBD80/81","2021-05-31","1061","1061","1061","1061","1.92","25"
"GBD80/81","2021-05-30","1041","1041","1041","1041","-0.95","25"
"GBD80/81","2021-05-27","1051","1051","1051","1051","-0.85","25"
"GBD80/81","2021-05-25","1060","1060","1060","1060","1.44","25"
"GBD80/81","2021-05-23","1045","1045","1045","1045","-0.48","25"
"GBD80/81","2021-05-18","1042","1050","1042","1050","-0.94","45"
"GBD80/81","2021-05-11","1060","1060","1060","1060","1.15","25"
"GBD80/81","2021-05-05","1050","1050","1048","1048","0.29","75"
"GBD80/81","2021-05-02","1045","1045","1045","1045","-0.57","500"
"GBD80/81","2021-04-27","1050","1051","1050","1051","-1.87","150"
"GBD80/81","2021-04-19","1071","1071","1071","1071","2.00","74"
"GBD80/81","2021-04-08","1050","1050","1050","1050","-0.57","400"
"GBD80/81","2021-04-05","1056","1056","1056","1056","-1.77","50"
"GBD80/81","2021-04-01","1075","1075","1075","1075","2.28","350"
"GBD80/81","2021-03-31","1051","1051","1051","1051","-1.31","25"
"GBD80/81","2021-03-29","1065","1065","1065","1065","0.00","25"
"GBD80/81","2021-03-24","1050","1065","1045","1065","1.43","2500"
"GBD80/81","2021-03-21","1045","1050","1045","1050","0.48","50"
"GBD80/81","2021-03-18","1045","1045","1045","1045","0.00","25"
"GBD80/81","2021-03-16","1045","1045","1045","1045","-1.42","50"
"GBD80/81","2021-03-15","1050","1060","1050","1060","0.95","50"
"GBD80/81","2021-03-09","1050","1050","1050","1050","0.00","25"
"GBD80/81","2021-03-08","1050","1050","1050","1050","0.38","80"
"GBD80/81","2021-03-02","1046","1046","1046","1046","-0.38","25"
"GBD80/81","2021-03-01","1040","1050","1040","1050","0.00","900"
"GBD80/81","2021-02-23","1040","1060","1040","1060","0.09","135"
"GBD80/81","2021-02-22","1050","1071","1050","1059","-1.12","575"
"GBD80/81","2021-02-18","1071","1071","1071","1071","0.02","50"
"GBD80/81","2021-02-17","1050","1050","1050","1050","-0.02","25"
"GBD80/81","2021-02-11","1070","1070","1070","1070","0.01","25"
"GBD80/81","2021-02-10","1060","1060","1060","1060","-0.01","25"
"GBD80/81","2021-02-08","1065","1071","1065","1071","0.02","50"
"GBD80/81","2021-02-07","1050","1050","1050","1050","0.00","25"
"GBD80/81","2021-02-04","1045","1050","1045","1050","0.00","75"
"GBD80/81","2021-02-03","1050","1050","1050","1050","0.02","100"
"GBD80/81","2021-02-02","1030","1030","1030","1030","-0.02","25"
"GBD80/81","2021-01-27","1050","1050","1050","1050","-0.01","125"
"GBD80/81","2021-01-26","1050","1065","1050","1060","0.01","1090"
"GBD80/81","2021-01-24","1050","1050","1045","1045","-0.00","275"
"GBD80/81","2021-01-20","1050","1050","1050","1050","-0.00","155"
"GBD80/81","2021-01-18","1051","1051","1051","1051","0.00","25"
"GBD80/81","2021-01-17","1050","1050","1050","1050","0.00","40"
"GBD80/81","2021-01-13","1065","1065","1050","1050","-0.01","125"
"GBD80/81","2021-01-11","1060","1060","1060","1060","-0.01","15"
"GBD80/81","2021-01-07","1075","1075","1075","1075","-0.00","50"
