"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBIMEP","2022-05-05","161.7","161.7","161.7","161.7","0.00","9091"
"GBIMEP","2022-05-02","161.7","161.7","161.7","161.7","-2.00","21763"
"GBIMEP","2022-04-24","165","165","165","165","0.00","67363"
"GBIMEP","2022-04-20","165","165","165","165","0.00","14107"
"GBIMEP","2021-11-28","162","162","162","162","0.00","17269"
"GBIMEP","2021-11-23","162","162","162","162","0.00","6823"
"GBIMEP","2021-11-15","162","162","162","162","0.00","24514"
"GBIMEP","2021-10-26","162","162","162","162","0.00","7142"
"GBIMEP","2021-09-30","162","162","162","162","0.00","5136"
"GBIMEP","2021-09-23","162","162","162","162","0.00","5828"
"GBIMEP","2021-09-22","162","162","162","162","0.00","1754"
"GBIMEP","2021-09-21","162","162","162","162","0.00","71104"
"GBIMEP","2021-09-20","168","168","162","162","-5.26","249591"
"GBIMEP","2021-09-14","171","171","171","171","0.00","4638"
"GBIMEP","2021-09-13","171","171","171","171","0.00","71424"
"GBIMEP","2021-09-12","171","171","171","171","0.00","20000"
"GBIMEP","2021-09-09","155","171","155","171","9.62","205944"
"GBIMEP","2021-09-07","156","156","156","156","0.00","3317"
"GBIMEP","2021-08-26","156","156","156","156","0.00","3450"
"GBIMEP","2021-08-19","156","156","156","156","0.00","18500"
"GBIMEP","2021-08-04","156","156","156","156","0.00","2206"
"GBIMEP","2021-08-02","156","156","156","156","0.00","21426"
"GBIMEP","2021-08-01","156","156","156","156","0.00","7060"
"GBIMEP","2021-07-19","156","156","156","156","0.65","10000"
"GBIMEP","2021-07-15","155","155","155","155","0.00","37000"
"GBIMEP","2021-07-08","155","155","155","155","0.00","21425"
"GBIMEP","2021-07-07","155","155","155","155","1.31","20000"
"GBIMEP","2021-07-01","153","153","153","153","0.00","20472"
"GBIMEP","2021-06-29","153","153","153","153","0.00","12135"
"GBIMEP","2021-06-20","153","153","153","153","0.00","85000"
"GBIMEP","2021-06-17","153","153","153","153","0.00","18882"
"GBIMEP","2021-06-07","153","153","153","153","0.00","166313"
"GBIMEP","2021-06-02","153","153","153","153","0.00","35713"
"GBIMEP","2021-05-31","153","153","153","153","0.00","3317"
"GBIMEP","2021-05-30","153","153","153","153","2.00","136463"
"GBIMEP","2021-05-02","150","150","150","150","-1.32","30080"
"GBIMEP","2021-04-15","152","152","152","152","0.00","2456"
"GBIMEP","2021-04-04","152","152","152","152","0.00","34200"
"GBIMEP","2021-04-01","152","152","152","152","0.00","14921"
"GBIMEP","2021-03-23","152","152","152","152","1.33","115172"
"GBIMEP","2021-02-17","150","150","150","150","0.00","18000"
"GBIMEP","2021-02-16","150","150","150","150","0.01","10000"
"GBIMEP","2021-02-14","149","149","149","149","0.01","7000"
"GBIMEP","2021-02-11","147","147","147","147","0.00","57022"
"GBIMEP","2021-02-10","147","147","147","147","-0.01","33129"
"GBIMEP","2021-02-09","151","151","149","149","-0.01","28287"
"GBIMEP","2021-02-08","151","151","151","151","0.00","5986"
"GBIMEP","2021-02-07","151","151","151","151","0.00","40000"
"GBIMEP","2020-12-10","151","151","151","151","0.00","1500000"
"GBIMEP","2020-12-08","151","151","151","151","0.01","854873"
"GBIMEP","2020-12-03","150","150","149","149","-0.01","84123"
"GBIMEP","2020-11-08","150","150","150","150","0.00","44920"
"GBIMEP","2020-11-05","150","150","150","150","0.00","75200"
"GBIMEP","2020-11-04","150","150","150","150","0.00","72530"
"GBIMEP","2020-11-03","150","150","150","150","0.00","250242"
"GBIMEP","2020-10-07","150","150","150","150","0.00","6264"
"GBIMEP","2020-09-22","150","150","150","150","0.00","60998"
"GBIMEP","2020-09-15","150","150","150","150","0.00","12530"
"GBIMEP","2020-09-13","150","150","150","150","0.00","37592"
"GBIMEP","2020-09-09","150","150","150","150","0.00","14000"
"GBIMEP","2020-09-08","150","150","150","150","0.00","25060"
"GBIMEP","2020-09-07","151","151","150","150","0.00","21192"
"GBIMEP","2020-09-02","150","150","150","150","0.00","116666"
"GBIMEP","2020-08-31","150","150","150","150","0.00","48323"
"GBIMEP","2020-08-25","150","150","150","150","0.00","11558"
"GBIMEP","2020-08-23","150","150","150","150","1.35","28881"
"GBIMEP","2020-08-19","148","148","148","148","0.00","87148"
"GBIMEP","2020-08-18","148","148","148","148","-1.99","141000"
"GBIMEP","2020-07-26","151","151","151","151","0.00","1000"
"GBIMEP","2020-07-23","151","151","151","151","0.00","1813"
"GBIMEP","2020-07-22","151","151","151","151","0.00","500"
"GBIMEP","2020-07-12","151","151","151","151","0.00","95937"
"GBIMEP","2020-07-08","151","151","151","151","0.00","22000"
"GBIMEP","2020-07-05","151","151","151","151","0.00","72530"
"GBIMEP","2020-06-29","151","151","151","151","-1.95","31800"
"GBIMEP","2020-05-12","154","154","154","154","0.00","25062"
"GBIMEP","2020-03-19","154","154","154","154","0.00","16612"
"GBIMEP","2020-03-18","160","160","154","154","-3.75","133505"
"GBIMEP","2020-03-17","163","163","160","160","-1.84","189202"
"GBIMEP","2020-03-16","163","163","163","163","0.00","166612"
"GBIMEP","2020-03-15","161","163","160","163","-0.61","251341"
"GBIMEP","2020-03-12","170","170","164","164","-3.53","113103"
"GBIMEP","2020-03-11","121","173","170","170","-1.73","99279"
"GBIMEP","2020-03-10","173","173","173","173","0.00","100000"
"GBIMEP","2020-02-13","173","173","173","173","0.00","20000"
"GBIMEP","2019-08-26","173","173","173","173","0.00","2687"
"GBIMEP","2019-06-30","173","173","173","173","0.00","600000"
"GBIMEP","2019-06-20","173","173","173","173","0.00","63959"
"GBIMEP","2019-06-19","173","173","173","173","0.00","9596"
"GBIMEP","2019-06-18","171","173","171","173","1.17","7621"
"GBIMEP","2019-06-17","171","171","171","171","0.00","14734"
"GBIMEP","2019-06-16","174","174","171","171","-1.72","21793"
"GBIMEP","2019-06-13","174","174","174","174","0.00","100000"
"GBIMEP","2019-06-12","174","174","174","174","0.00","409553"
"GBIMEP","2019-05-26","174","174","174","174","0.00","26580"
"GBIMEP","2019-04-10","174","174","174","174","0.00","47636"
"GBIMEP","2019-04-07","174","174","174","174","0.00","4725"
"GBIMEP","2019-03-26","174","174","174","174","0.00","9154"
"GBIMEP","2019-03-21","174","174","174","174","0.00","105120"
"GBIMEP","2019-03-19","174","174","174","174","-1.69","66173"
"GBIMEP","2019-03-18","180","180","177","177","-1.67","359636"
"GBIMEP","2019-01-22","180","180","180","180","0.00","9700"
"GBIMEP","2018-12-19","180","180","180","180","0.00","126966"
"GBIMEP","2018-12-17","179","180","179","180","0.56","197597"
"GBIMEP","2018-10-11","179","179","179","179","0.00","21800"
"GBIMEP","2018-09-27","179","179","179","179","0.00","7000"
"GBIMEP","2018-09-17","179","179","179","179","1.70","517826"
"GBIMEP","2018-09-12","176","176","176","176","0.00","15892"
"GBIMEP","2018-09-09","176","176","176","176","0.00","2473"
"GBIMEP","2018-09-06","176","176","176","176","1.73","127649"
"GBIMEP","2018-07-15","173","173","173","173","0.00","4859"
"GBIMEP","2018-06-27","173","173","173","173","-1.70","833"
"GBIMEP","2018-06-19","176","176","176","176","0.00","501"
"GBIMEP","2018-06-07","176","176","176","176","0.00","3970"
"GBIMEP","2018-05-30","176","176","176","176","0.00","6115"
"GBIMEP","2018-05-03","176","176","176","176","0.00","12929"
"GBIMEP","2018-02-22","176","176","176","176","0.00","3586"
"GBIMEP","2018-02-12","176","176","176","176","0.00","4160"
"GBIMEP","2018-02-01","176","176","176","176","0.00","5010"
"GBIMEP","2018-01-31","176","176","176","176","0.00","8661"
"GBIMEP","2018-01-28","176","176","176","176","-1.68","8321"
"GBIMEP","2018-01-23","179","179","179","179","1.70","83218"
"GBIMEP","2018-01-22","176","176","176","176","-1.68","8661"
"GBIMEP","2018-01-21","176","179","176","179","2.29","523020"
"GBIMEP","2017-03-05","261","261","261","261","0.00","17972"
"GBIMEP","2017-02-01","261","261","261","261","0.00","5000"
"GBIMEP","2016-11-14","261","261","261","261","0.00","4987"
"GBIMEP","2016-10-27","261","261","261","261","0.00","17972"
"GBIMEP","2016-10-18","261","261","261","261","0.00","1919"
"GBIMEP","2016-10-06","261","261","261","261","0.00","28251"
"GBIMEP","2016-10-03","261","261","261","261","0.38","10200"
"GBIMEP","2016-09-29","260","260","260","260","-1.89","6470"
"GBIMEP","2016-09-28","265","265","265","265","-1.85","10783"
"GBIMEP","2016-09-21","280","280","270","270","-3.57","13215"
"GBIMEP","2016-09-18","280","280","280","280","0.00","91567"
"GBIMEP","2016-09-12","280","280","280","280","0.00","32350"
"GBIMEP","2016-07-13","250","0","0","0","0.00","24939"
"GBIMEP","2016-03-23","250","250","250","250","0.00","17972"
"GBIMEP","2016-03-17","250","250","250","250","0.00","300519"
"GBIMEP","2015-10-11","250","250","250","250","0.00","14611"
"GBIMEP","2015-09-29","0","0","0","201","0.00","20276"
"GBIMEP","2015-09-24","250","250","250","250","0.00","20276"
"GBIMEP","2015-09-17","250","250","250","250","0.00","11304"
"GBIMEP","2015-09-10","250","250","250","250","0.00","61369"
"GBIMEP","2015-09-01","250","250","250","250","0.00","98380"
"GBIMEP","2015-07-28","250","250","250","250","0.00","13224"
"GBIMEP","2015-03-30","250","250","250","250","0.00","11072"
"GBIMEP","2015-03-26","250","250","250","250","0.00","38512"
"GBIMEP","2015-03-25","250","250","250","250","0.00","3208"
"GBIMEP","2015-03-24","250","250","250","250","0.00","222593"
"GBIMEP","2015-03-18","250","250","250","250","0.00","13300"
"GBIMEP","2015-03-15","250","250","250","250","0.00","8022"
"GBIMEP","2015-03-11","232","250","236","250","7.76","37292"
"GBIMEP","2015-03-10","232","0","0","215","0.00","13915"
"GBIMEP","2015-03-09","228","232","232","232","1.75","45726"
"GBIMEP","2015-03-04","232","228","228","228","-1.72","8022"
"GBIMEP","2015-03-03","235","232","232","232","-1.28","23000"
"GBIMEP","2015-03-02","231","235","235","235","1.73","8022"
"GBIMEP","2015-03-01","132","231","231","231","-1.70","25000"
"GBIMEP","2014-09-24","132","132","132","132","0.00","16286"
"GBIMEP","2014-09-23","132","132","132","132","0.00","196785"
