"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBLBS","2022-05-05","810","842","800","816","-1.21","2946"
"GBLBS","2022-05-04","825","852","825","826","-1.84","1600"
"GBLBS","2022-05-02","833","850","825","841.5","-0.43","4323"
"GBLBS","2022-04-28","848","855","841","845.1","0.01","2250"
"GBLBS","2022-04-27","850","860","835","845","-0.82","3345"
"GBLBS","2022-04-26","850","865","835","852","0.94","2012"
"GBLBS","2022-04-25","857","874.1","844","844.1","-1.62","2808"
"GBLBS","2022-04-24","825","880","825","858","4.00","5624"
"GBLBS","2022-04-21","827","839","805.1","825","-0.48","4551"
"GBLBS","2022-04-20","845","845","825","829","-1.43","1170"
"GBLBS","2022-04-19","846.6","863.5","815.1","841","1.33","1756"
"GBLBS","2022-04-18","869","869","826","830","-2.58","6630"
"GBLBS","2022-04-17","868","868","837","852","-1.84","7367"
"GBLBS","2022-04-13","860","875","839","868","2.84","4227"
"GBLBS","2022-04-12","876.1","876.1","836.1","844","-1.75","2516"
"GBLBS","2022-04-11","879","885","850","859","-1.60","5859"
"GBLBS","2022-04-07","870","878","852.6","873","1.39","5350"
"GBLBS","2022-04-06","875","875","855.1","861","-0.46","9561"
"GBLBS","2022-04-05","876","878","860","865","-1.37","10364"
"GBLBS","2022-04-04","875","899","873","877","0.23","4415"
"GBLBS","2022-04-03","880","889","873","875","-1.69","5949"
"GBLBS","2022-03-31","915","915","890","890","-2.09","2949"
"GBLBS","2022-03-30","890","910","880","909","2.13","7989"
"GBLBS","2022-03-29","885","918","870","890","0.79","3025"
"GBLBS","2022-03-28","891","895","877.1","883","-1.90","2568"
"GBLBS","2022-03-27","938","938","900","900.1","-4.04","9852"
"GBLBS","2022-03-24","930","944","927","938","-0.74","5101"
"GBLBS","2022-03-23","940","957","932","945","-0.53","3025"
"GBLBS","2022-03-22","945","952","930","950","2.37","6162"
"GBLBS","2022-03-21","907","928","902","928","1.98","4093"
"GBLBS","2022-03-20","913","956","905","910","-0.33","6168"
"GBLBS","2022-03-16","908","922","894.1","913","2.24","8177"
"GBLBS","2022-03-15","900","916","885","893","-0.67","7480"
"GBLBS","2022-03-14","910","918","885","899","-0.44","1425"
"GBLBS","2022-03-13","870","914.9","870","903","5.00","8955"
"GBLBS","2022-03-10","845","868.5","840","860","1.65","12651"
"GBLBS","2022-03-09","853","855","837","846","-0.94","14412"
"GBLBS","2022-03-07","851.1","872","851.1","854","-0.47","9006"
"GBLBS","2022-03-06","854","870","854","858","0.47","5042"
"GBLBS","2022-03-02","880","880","850.1","854","-2.40","9128"
"GBLBS","2022-02-28","885.1","900","871.2","875","-1.80","4100"
"GBLBS","2022-02-27","900","907","875","891","0.11","6491"
"GBLBS","2022-02-24","925","925","880.1","890","-4.40","26254"
"GBLBS","2022-02-23","951.5","951.5","930","931","-0.43","3011"
"GBLBS","2022-02-22","959","960","930","935","-1.37","12118"
"GBLBS","2022-02-21","975","975","935.9","948","-1.56","11641"
"GBLBS","2022-02-20","976","976","937.4","963","-3.22","11561"
"GBLBS","2022-02-17","1008","1009","980","995","-0.03","5375"
"GBLBS","2022-02-16","1015","1030","990","995.3","-1.46","3445"
"GBLBS","2022-02-15","976","1015","975","1010","3.48","3822"
"GBLBS","2022-02-14","995","1000","976","976","-0.71","6040"
"GBLBS","2022-02-13","1005.5","1007","972","983","-4.19","11090"
"GBLBS","2022-02-10","1014.3","1034","1014.3","1026","-0.86","7648"
"GBLBS","2022-02-09","1036","1048.5","1022.6","1034.9","-0.78","5466"
"GBLBS","2022-02-08","1063","1066","1041","1043","0.00","30897"
"GBLBS","2022-02-07","1028","1057.5","1028","1043","-0.38","2715"
"GBLBS","2022-02-06","1050","1066","1035","1047","-2.20","20142"
"GBLBS","2022-02-03","1095","1120","1070.5","1070.5","-2.68","25859"
"GBLBS","2022-02-01","1080","1105","1080","1100","1.38","38457"
"GBLBS","2022-01-31","1072.9","1093","1057","1085","1.13","24311"
"GBLBS","2022-01-30","1052","1077","1045","1072.9","3.96","11777"
"GBLBS","2022-01-27","1020.5","1060","1020.5","1032","1.17","13563"
"GBLBS","2022-01-26","1025","1040","1008.1","1020.1","-0.48","25398"
"GBLBS","2022-01-25","1023","1035","1006","1025","0.20","15926"
"GBLBS","2022-01-24","1060","1060","1012.5","1023","-4.39","20191"
"GBLBS","2022-01-23","1114","1114","1069","1070","-2.10","7675"
"GBLBS","2022-01-20","1070","1100","1062","1093","1.29","13995"
"GBLBS","2022-01-19","1095","1107","1076","1079.1","-2.87","16390"
"GBLBS","2022-01-18","1122","1125","1086","1111","-0.98","18034"
"GBLBS","2022-01-17","1129.9","1139","1082","1122","0.46","35053"
"GBLBS","2022-01-16","1043","1116.9","1062","1116.9","7.09","30465"
"GBLBS","2022-01-13","1040.4","1050","1009.4","1043","2.25","20917"
