"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GDBLPO","2019-09-22","122","122","122","122","0.00","135759"
"GDBLPO","2019-07-30","122","122","122","122","0.00","5000"
"GDBLPO","2019-07-24","122","122","122","122","0.00","11000"
"GDBLPO","2019-05-16","120","120","120","120","0.00","16699"
"GDBLPO","2019-03-18","120","120","120","120","0.00","12000"
"GDBLPO","2019-03-14","120","120","120","120","0.00","70610"
"GDBLPO","2019-02-03","120","120","120","120","0.00","33397"
"GDBLPO","2019-01-29","120","120","120","120","0.00","26238"
"GDBLPO","2018-12-23","120","120","120","120","0.00","14914"
"GDBLPO","2018-12-19","120","120","120","120","0.00","5263"
"GDBLPO","2018-12-03","120","120","120","120","0.00","13575"
"GDBLPO","2018-11-14","120","120","120","120","0.00","22398"
"GDBLPO","2018-10-01","120","120","120","120","0.00","8000"
"GDBLPO","2018-09-26","120","120","120","120","0.00","18367"
"GDBLPO","2018-09-02","120","120","120","120","0.00","2704"
"GDBLPO","2018-08-09","120","120","120","120","0.00","4912"
"GDBLPO","2018-08-08","120","120","120","120","0.00","2386"
"GDBLPO","2018-01-29","150","150","150","150","0.00","8446"
"GDBLPO","2017-12-11","150","150","150","150","0.00","27278"
"GDBLPO","2017-11-30","200","200","200","200","0.00","16594"
"GDBLPO","2017-11-29","200","200","200","200","0.00","84376"
"GDBLPO","2017-11-26","200","200","200","200","0.00","9789"
"GDBLPO","2017-11-19","200","200","200","200","0.00","10000"
"GDBLPO","2017-11-09","200","200","200","200","0.00","924"
"GDBLPO","2017-10-08","200","200","200","200","0.00","72088"
