"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GGBSL","2020-11-05","826","830","815","830","-1.43","470"
"GGBSL","2020-11-04","833","842","821","842","-0.82","255"
"GGBSL","2020-11-03","864","865","838","849","0.00","545"
"GGBSL","2020-11-02","787","849","787","849","6.12","1725"
"GGBSL","2020-11-01","770","800","770","800","2.56","590"
"GGBSL","2020-10-29","785","799","769","780","-2.50","100"
"GGBSL","2020-10-28","775","800","771","800","3.23","110"
"GGBSL","2020-10-22","780","789","770","775","-1.90","890"
"GGBSL","2020-10-21","780","795","780","790","0.38","110"
"GGBSL","2020-10-20","789","789","787","787","-1.01","33"
"GGBSL","2020-10-19","785","800","780","795","1.27","220"
"GGBSL","2020-10-18","771","785","771","785","0.00","210"
"GGBSL","2020-10-15","782","785","780","785","0.38","150"
"GGBSL","2020-10-14","780","795","780","782","0.26","130"
"GGBSL","2020-10-13","781","795","777","780","-0.13","240"
"GGBSL","2020-10-12","780","796","773","781","0.00","490"
"GGBSL","2020-10-11","775","795","775","781","-1.14","130"
"GGBSL","2020-10-08","780","796","780","790","1.28","160"
"GGBSL","2020-10-07","784","790","771","780","-1.39","570"
"GGBSL","2020-10-06","790","793","785","791","-0.38","615"
"GGBSL","2020-10-05","791","830","791","794","-0.63","453"
"GGBSL","2020-10-04","782","808","782","799","0.76","1100"
"GGBSL","2020-10-01","785","800","785","793","-0.50","340"
"GGBSL","2020-09-30","796","808","795","797","-0.99","295"
"GGBSL","2020-09-29","791","822","788","805","1.77","480"
"GGBSL","2020-09-28","791","796","791","791","-1.37","270"
"GGBSL","2020-09-27","800","815","800","802","-0.99","810"
"GGBSL","2020-09-24","799","810","799","810","-0.25","480"
"GGBSL","2020-09-23","805","817","804","812","-0.98","500"
"GGBSL","2020-09-22","810","820","795","820","1.23","720"
"GGBSL","2020-09-21","810","820","809","810","-0.61","380"
"GGBSL","2020-09-20","818","820","802","815","-0.37","450"
"GGBSL","2020-09-17","833","835","817","818","0.12","1025"
"GGBSL","2020-09-16","806","832","806","817","0.00","570"
"GGBSL","2020-09-15","818","830","817","817","-1.80","310"
"GGBSL","2020-09-14","835","848","831","832","-2.12","580"
"GGBSL","2020-09-13","867","867","825","850","0.00","510"
"GGBSL","2020-09-10","861","867","850","850","-1.16","893"
"GGBSL","2020-09-09","856","907","840","860","2.38","1170"
"GGBSL","2020-09-08","777","840","777","840","6.19","1325"
"GGBSL","2020-09-07","785","805","785","791","-1.25","310"
"GGBSL","2020-09-06","814","814","791","801","0.25","560"
"GGBSL","2020-09-03","810","816","795","799","-1.96","970"
"GGBSL","2020-09-02","798","815","790","815","0.25","430"
"GGBSL","2020-08-31","835","835","805","813","-4.58","1650"
"GGBSL","2020-08-27","830","830","801","806","-2.89","130"
"GGBSL","2020-08-26","792","830","792","830","3.88","1234"
"GGBSL","2020-08-25","817","820","787","799","-0.25","590"
"GGBSL","2020-08-24","798","805","786","801","0.12","963"
"GGBSL","2020-08-23","775","800","760","800","1.27","150"
