"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GHL","2022-05-05","230","230","212","213.2","-6.86","23686"
"GHL","2022-05-04","230","234.6","217","228.9","-0.48","21120"
"GHL","2022-05-02","242","242","225.7","230","-6.54","24332"
"GHL","2022-04-28","255","258.9","241","246.1","-2.34","21417"
"GHL","2022-04-27","253.9","255.8","245","252","1.20","21462"
"GHL","2022-04-26","254.4","259.5","244.6","249","-0.20","18799"
"GHL","2022-04-25","250.2","265.5","244.1","249.5","1.71","54823"
"GHL","2022-04-24","227","245.3","226.1","245.3","10.00","33247"
"GHL","2022-04-21","242.7","242.7","217.6","223","-6.30","33702"
"GHL","2022-04-20","245","254","236.2","238","-4.80","15193"
"GHL","2022-04-19","250","256","237","250","0.08","18359"
"GHL","2022-04-18","259.9","261.1","247","249.8","-5.81","24667"
"GHL","2022-04-17","276","279","260","265.2","-3.18","13683"
"GHL","2022-04-13","271","279","263.8","273.9","1.07","24337"
"GHL","2022-04-12","282.3","285","268","271","-5.90","36414"
"GHL","2022-04-11","299","306","280","288","-2.37","31847"
"GHL","2022-04-07","285","299.9","284.1","295","3.51","38865"
"GHL","2022-04-06","283.3","295.8","280.4","285","-1.38","24319"
"GHL","2022-04-05","293.1","298.9","284.2","289","-3.34","41821"
"GHL","2022-04-04","299","304.9","295.2","299","0.00","27101"
"GHL","2022-04-03","305","310.9","297","299","-1.97","28466"
"GHL","2022-03-31","311.6","323.3","303","305","-4.06","31236"
"GHL","2022-03-30","300.9","318","300.9","317.9","3.55","26619"
"GHL","2022-03-29","300.9","314","300.9","307","0.00","20491"
"GHL","2022-03-28","313.6","321.9","307","307","-4.06","32174"
"GHL","2022-03-27","329.4","329.4","310.1","320","-0.93","47570"
"GHL","2022-03-24","324","332.5","315.2","323","-0.31","42701"
"GHL","2022-03-23","326","338","321","324","-2.41","22361"
"GHL","2022-03-22","321.7","341","321.7","332","1.16","37296"
"GHL","2022-03-21","322","332.9","319","328.2","1.93","25908"
"GHL","2022-03-20","325","331","321.1","322","0.00","21158"
