"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GIC","2022-05-05","497.9","504","491.2","495","-2.56","1942"
"GIC","2022-05-04","510","522","505.1","508","-1.93","2570"
"GIC","2022-05-02","528.7","528.8","517","518","-3.95","3430"
"GIC","2022-04-28","536.1","546","536.1","539.3","-1.23","2211"
"GIC","2022-04-27","558","558.1","542","546","-0.22","2290"
"GIC","2022-04-26","548","557","540.1","547.2","-2.11","1790"
"GIC","2022-04-25","564","571.2","546.1","559","-0.89","2309"
"GIC","2022-04-24","516","564","516","564","9.28","3948"
"GIC","2022-04-21","524","524","512","516.1","-3.33","2254"
"GIC","2022-04-20","535","540","521.5","533.9","-1.68","2401"
"GIC","2022-04-19","538","559.6","528","543","0.93","3112"
"GIC","2022-04-18","550","550","533","538","-3.41","4015"
"GIC","2022-04-17","562","564","545","557","-1.42","3590"
"GIC","2022-04-13","557","575","557","565","-0.35","2801"
"GIC","2022-04-12","563","567","555","567","-1.25","2040"
"GIC","2022-04-11","580","600","574.2","574.2","-2.51","4480"
"GIC","2022-04-07","572","590","572","589","2.97","2931"
"GIC","2022-04-06","580.2","590","568.6","572","-1.41","5404"
"GIC","2022-04-05","610","610","579","580.2","-5.69","9624"
"GIC","2022-04-04","630","639.4","615.1","615.2","-1.88","3011"
"GIC","2022-04-03","622.9","631","621","627","-0.48","2646"
"GIC","2022-03-31","634.3","657","630","630","-2.63","3565"
"GIC","2022-03-30","625.2","652.8","622.2","647","2.70","6225"
"GIC","2022-03-29","630","643","626.3","630","-1.39","6747"
"GIC","2022-03-28","650","650","632.2","638.9","-2.90","10460"
"GIC","2022-03-27","612.1","660.1","612.1","658","9.65","47923"
"GIC","2022-03-24","580.1","613","580.1","600.1","1.54","7005"
"GIC","2022-03-23","587","595","587","591","-1.25","1303"
"GIC","2022-03-22","599.2","601","595.1","598.5","-0.07","2605"
"GIC","2022-03-21","588","599","580","598.9","-0.18","2105"
"GIC","2022-03-20","587.1","610","580","600","0.17","2815"
"GIC","2022-03-16","607.9","607.9","585.1","599","0.50","3073"
"GIC","2022-03-15","591.1","601","591","596","-1.16","4604"
"GIC","2022-03-14","595","605","583","603","-0.66","916"
"GIC","2022-03-13","573","607","551","607","8.05","8150"
"GIC","2022-03-10","530","561.8","529","561.8","4.23","2631"
"GIC","2022-03-09","540.3","542.3","530","539","-2.00","2338"
"GIC","2022-03-07","550.1","559.2","540","550","0.00","1755"
"GIC","2022-03-06","549","555","540","550","0.02","2195"
"GIC","2022-03-02","555","555","545","549.9","-2.50","2038"
"GIC","2022-02-28","596.7","608","557.1","564","-3.59","6724"
"GIC","2022-02-27","579","585","570","585","0.86","2216"
"GIC","2022-02-24","585","593","576","580","-2.44","5545"
"GIC","2022-02-23","597","629.3","591","594.5","-0.42","2195"
"GIC","2022-02-22","605","617.1","593.1","597","-1.32","2941"
"GIC","2022-02-21","587","610","587","605","1.02","1865"
"GIC","2022-02-20","605","605","586.1","598.9","-1.33","4871"
"GIC","2022-02-17","600.1","610","600.1","607","0.17","4041"
"GIC","2022-02-16","615","628.3","604","606","-1.46","3917"
"GIC","2022-02-15","603","622.2","603","615","0.82","3272"
"GIC","2022-02-14","610.1","634","610","610","-0.81","3445"
"GIC","2022-02-13","637","637","608","615","-5.38","7411"
"GIC","2022-02-10","657","657","635","650","0.78","5345"
"GIC","2022-02-09","640","654","640","645","-0.83","2697"
"GIC","2022-02-08","670","680","650.2","650.4","0.00","9809"
"GIC","2022-02-07","638","690","638","659","1.23","7601"
"GIC","2022-02-06","653.1","660","650","651","-2.15","4511"
"GIC","2022-02-03","664","678.7","664","665.3","-1.26","9504"
"GIC","2022-02-01","662","674","655.1","673.8","1.74","6874"
"GIC","2022-01-31","679","679","655","662.3","-1.88","5580"
"GIC","2022-01-30","667","699","665","675","3.21","12138"
"GIC","2022-01-27","650","663","639.4","654","0.31","7434"
"GIC","2022-01-26","641.3","667.1","641.3","652","0.00","7224"
"GIC","2022-01-25","640","678","627","652","0.00","20896"
"GIC","2022-01-24","667","680","642.2","652","-4.12","29453"
"GIC","2022-01-23","666","692","666","680","2.10","27311"
"GIC","2022-01-20","669","670","647","666","1.23","15724"
"GIC","2022-01-19","675","677","652.3","657.9","-1.07","11109"
"GIC","2022-01-18","672","689","658.8","665","-2.92","16973"
"GIC","2022-01-17","693","700","667","685","0.74","7500"
"GIC","2022-01-16","673","710","673","680","1.04","30192"
