"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GILB","2022-05-05","1365","1383","1315","1330","-3.90","3845"
"GILB","2022-05-04","1365.1","1389","1365.1","1384","-0.43","408"
"GILB","2022-05-02","1390","1400","1388","1390","-1.70","1209"
"GILB","2022-04-28","1410","1425","1404","1414","0.78","670"
"GILB","2022-04-27","1404","1420","1393","1403.1","-1.26","737"
"GILB","2022-04-26","1453.5","1482.5","1421","1421","-0.28","1298"
"GILB","2022-04-25","1455","1470","1425","1425","-3.72","1310"
"GILB","2022-04-24","1400","1505.4","1372","1480","5.71","3383"
"GILB","2022-04-21","1425","1425","1380","1400","-1.41","1494"
"GILB","2022-04-20","1444","1444","1420","1420","-1.25","988"
"GILB","2022-04-19","1450.4","1451","1422","1438","0.28","830"
"GILB","2022-04-18","1430","1445","1426","1434","-1.44","990"
"GILB","2022-04-17","1475","1475","1445.5","1455","-0.95","749"
"GILB","2022-04-13","1440","1470","1430","1469","1.17","836"
"GILB","2022-04-12","1451.5","1480","1441","1452","-1.22","1716"
"GILB","2022-04-11","1500","1500","1451","1470","-2.00","2730"
"GILB","2022-04-07","1540","1540","1495.4","1500","-0.66","1438"
"GILB","2022-04-06","1525","1525","1504.5","1510","-0.98","690"
"GILB","2022-04-05","1540","1540","1514","1525","-1.17","1063"
"GILB","2022-04-04","1558.2","1585","1530","1543","-2.96","2669"
"GILB","2022-04-03","1605","1609","1570","1590","-0.87","666"
"GILB","2022-03-31","1586","1604","1586","1604","1.13","647"
"GILB","2022-03-30","1541","1590","1541","1586","1.67","226"
"GILB","2022-03-29","1556","1580.9","1556","1560","-1.58","175"
"GILB","2022-03-28","1561","1590","1561","1585","-0.38","1067"
"GILB","2022-03-27","1600","1601","1591.1","1591.1","-1.48","907"
"GILB","2022-03-24","1628","1630","1610","1615","-0.80","629"
"GILB","2022-03-23","1634","1634","1601.4","1628","1.62","1131"
"GILB","2022-03-22","1597","1620","1595","1602","-0.50","919"
"GILB","2022-03-21","1630","1652.4","1590","1610","-0.62","267"
"GILB","2022-03-20","1588","1625","1581","1620","0.56","1352"
"GILB","2022-03-16","1606","1631.5","1606","1611","0.69","1116"
"GILB","2022-03-15","1685","1689.8","1586.7","1600","-3.15","3624"
"GILB","2022-03-14","1620","1652","1572","1652","1.98","2367"
"GILB","2022-03-13","1570.5","1629","1570.5","1620","3.42","533"
"GILB","2022-03-10","1560","1575","1556","1566.5","0.67","413"
"GILB","2022-03-09","1586","1586","1550","1556","0.06","1779"
"GILB","2022-03-07","1550","1580","1540","1555","0.32","616"
"GILB","2022-03-06","1581","1600","1540","1550","0.00","1402"
"GILB","2022-03-02","1556.1","1560","1530","1550","-2.21","1431"
"GILB","2022-02-28","1560","1602","1560","1585","-0.25","1415"
"GILB","2022-02-27","1585","1594","1565","1589","0.25","791"
"GILB","2022-02-24","1600.2","1605","1580","1585","-2.52","3007"
"GILB","2022-02-23","1679","1679","1617.2","1626","-1.45","2494"
"GILB","2022-02-22","1623","1704","1623","1650","0.61","1126"
"GILB","2022-02-21","1585.1","1672","1585.1","1640","1.86","1426"
"GILB","2022-02-20","1605.1","1631","1573","1610","-1.65","2563"
"GILB","2022-02-17","1668","1668","1634","1637","-0.12","548"
"GILB","2022-02-16","1654","1654","1632","1639","-0.97","818"
"GILB","2022-02-15","1650","1685","1612.6","1655","2.16","1113"
"GILB","2022-02-14","1610","1635","1600","1620","0.31","2532"
"GILB","2022-02-13","1686","1686","1600","1615","-5.28","4570"
"GILB","2022-02-10","1714.5","1714.5","1672.1","1705","0.29","759"
"GILB","2022-02-09","1730","1751","1648.4","1700","-1.28","3465"
"GILB","2022-02-08","1760.4","1774","1722","1722","0.00","2424"
"GILB","2022-02-07","1737","1769","1735","1743","0.35","1036"
"GILB","2022-02-06","1730","1779","1710","1737","-1.59","988"
"GILB","2022-02-03","1776","1776","1740.5","1765","1.35","4184"
"GILB","2022-02-01","1776","1823","1741.5","1741.5","-2.00","4738"
"GILB","2022-01-31","1784","1785","1750","1777","-0.39","1336"
"GILB","2022-01-30","1774","1799.9","1760.1","1784","2.53","1541"
"GILB","2022-01-27","1730","1797","1677","1740","0.69","2329"
"GILB","2022-01-26","1726","1745.5","1690","1728","-1.82","3853"
"GILB","2022-01-25","1774.8","1810","1711","1760","1.15","2532"
"GILB","2022-01-24","1785","1790","1740","1740","-3.76","2850"
"GILB","2022-01-23","1877","1877","1775","1808","-2.27","3867"
"GILB","2022-01-20","1834","1850","1766.1","1850","2.78","4068"
"GILB","2022-01-19","1850","1866","1790","1800","-1.75","2566"
"GILB","2022-01-18","1856","1893","1831","1832","-2.97","2923"
"GILB","2022-01-17","1838","1894","1838","1888","0.69","3941"
