"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GIMES1","2022-05-05","11.4","11.45","11","11.2","-1.32","32250"
"GIMES1","2022-05-04","11.21","11.4","11","11.35","1.25","58807"
"GIMES1","2022-05-02","11.4","11.4","11.2","11.21","-1.15","104340"
"GIMES1","2022-04-28","11.32","11.43","11.11","11.34","2.16","188020"
"GIMES1","2022-04-27","11.35","11.37","11.1","11.1","-2.20","111740"
"GIMES1","2022-04-26","11","11.35","10.8","11.35","3.18","124126"
"GIMES1","2022-04-25","11.35","11.55","10.97","11","-1.70","80285"
"GIMES1","2022-04-24","11.11","11.19","11","11.19","2.66","75215"
"GIMES1","2022-04-21","10.81","10.9","10.6","10.9","1.02","71875"
"GIMES1","2022-04-20","11","11.19","10.77","10.79","-3.66","47400"
"GIMES1","2022-04-19","10.82","11.3","10.8","11.2","3.51","31950"
"GIMES1","2022-04-18","11.19","11.19","10.82","10.82","-1.46","85475"
"GIMES1","2022-04-17","11.42","11.42","10.98","10.98","-1.96","46300"
"GIMES1","2022-04-13","11.16","11.2","11.15","11.2","-0.88","32590"
"GIMES1","2022-04-12","11.1","11.3","11","11.3","1.07","27100"
"GIMES1","2022-04-11","11.4","11.4","11.17","11.18","-0.18","49031"
"GIMES1","2022-04-07","11.01","11.23","10.98","11.2","-0.18","177070"
"GIMES1","2022-04-06","11.35","11.36","11.16","11.22","0.72","26050"
"GIMES1","2022-04-05","11.5","11.5","11.13","11.14","-2.28","73175"
"GIMES1","2022-04-04","11.4","11.4","11.3","11.4","1.33","5250"
"GIMES1","2022-04-03","11.28","11.41","11.15","11.25","-1.75","23100"
"GIMES1","2022-03-31","11.31","11.45","11.31","11.45","-0.35","25200"
"GIMES1","2022-03-30","11.35","11.49","11.28","11.49","0.79","82883"
"GIMES1","2022-03-29","11.32","11.6","11.32","11.4","-0.78","80450"
"GIMES1","2022-03-28","11.55","11.58","11.32","11.49","-2.21","70860"
"GIMES1","2022-03-27","11.77","11.86","11.75","11.75","-0.84","47730"
"GIMES1","2022-03-24","11.94","11.94","11.76","11.85","0.42","31200"
"GIMES1","2022-03-23","12.07","12.07","11.72","11.8","-0.34","69785"
"GIMES1","2022-03-22","11.93","11.93","11.75","11.84","1.20","109125"
