"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLBSL","2022-05-05","1109.3","1111.8","1066.1","1090.2","-3.68","152"
"GLBSL","2022-05-04","1136","1179.9","1131","1131.9","-2.00","495"
"GLBSL","2022-05-02","1151.6","1178.1","1151.6","1155","-1.70","241"
"GLBSL","2022-04-28","1190.1","1190.1","1163","1175","-2.89","106"
"GLBSL","2022-04-27","1214","1260","1209.9","1210","-0.33","344"
"GLBSL","2022-04-26","1213.6","1223","1190","1214","0.03","97"
"GLBSL","2022-04-25","1218","1242.3","1145.1","1213.6","-0.36","396"
"GLBSL","2022-04-24","1110","1218","1110","1218","9.83","480"
"GLBSL","2022-04-21","1112","1130","1066.3","1109","-1.90","162"
"GLBSL","2022-04-20","1150","1150","1120","1130.5","-2.96","236"
"GLBSL","2022-04-19","1138.1","1170","1138.1","1165","0.42","180"
"GLBSL","2022-04-18","1160","1175","1160","1160.1","-1.60","266"
"GLBSL","2022-04-17","1198.4","1224","1179","1179","-1.62","164"
"GLBSL","2022-04-13","1199","1209","1183","1198.4","-0.13","594"
"GLBSL","2022-04-12","1205","1205","1200","1200","-2.36","74"
"GLBSL","2022-04-11","1229.1","1229.1","1229","1229","-1.99","70"
"GLBSL","2022-04-07","1250","1260","1250","1254","0.00","147"
"GLBSL","2022-04-06","1254","1254","1235","1254","0.00","589"
"GLBSL","2022-04-05","1250","1255","1220","1254","-1.33","660"
"GLBSL","2022-04-04","1250.1","1300","1246","1270.9","0.55","305"
"GLBSL","2022-04-03","1268","1268.3","1260","1264","-1.10","296"
"GLBSL","2022-03-31","1275","1278","1274","1278","-1.06","253"
"GLBSL","2022-03-30","1292.4","1292.4","1266.6","1291.7","1.94","30"
"GLBSL","2022-03-28","1267","1268","1266.2","1267.1","-1.33","270"
"GLBSL","2022-03-27","1274.1","1320","1274.1","1284.2","-1.22","238"
"GLBSL","2022-03-24","1301","1302","1272.3","1300","-1.52","1366"
"GLBSL","2022-03-23","1360","1360","1320","1320","-2.87","248"
"GLBSL","2022-03-22","1341","1359","1315","1359","1.42","502"
"GLBSL","2022-03-21","1330","1340","1303","1340","0.75","323"
"GLBSL","2022-03-20","1281","1330","1281","1330","1.92","206"
"GLBSL","2022-03-16","1274.1","1310","1274.1","1305","1.56","349"
"GLBSL","2022-03-15","1330","1331","1283","1285","-1.53","1509"
"GLBSL","2022-03-14","1379","1379","1299","1305","-3.48","102"
"GLBSL","2022-03-13","1326","1370","1326","1352","1.96","890"
"GLBSL","2022-03-10","1284","1349.9","1284","1326","3.27","845"
"GLBSL","2022-03-09","1267.1","1284","1245.2","1284","1.10","526"
"GLBSL","2022-03-07","1280","1356.6","1265","1270","-0.78","512"
"GLBSL","2022-03-06","1280","1304.9","1280","1280","0.00","125"
"GLBSL","2022-03-02","1295","1343","1255","1280","-3.03","840"
"GLBSL","2022-02-28","1335","1350","1302","1320","-0.98","464"
"GLBSL","2022-02-27","1311.2","1341","1311.2","1333","1.66","592"
"GLBSL","2022-02-24","1361","1361","1311.2","1311.2","-4.50","354"
"GLBSL","2022-02-23","1448.4","1448.4","1368","1373","-3.31","1214"
"GLBSL","2022-02-22","1458","1488","1420","1420","-0.70","5142"
"GLBSL","2022-02-21","1330","1430","1320","1430","9.65","3342"
"GLBSL","2022-02-20","1344","1344","1300","1304.1","-3.04","1875"
"GLBSL","2022-02-17","1350","1350","1335.5","1345","-0.74","608"
"GLBSL","2022-02-16","1335","1375","1323","1355","3.44","1642"
"GLBSL","2022-02-15","1303.9","1315","1286","1310","2.42","484"
"GLBSL","2022-02-14","1300","1300","1275","1279","-0.16","294"
"GLBSL","2022-02-13","1274.1","1320","1253","1281","-1.47","1529"
"GLBSL","2022-02-10","1315.8","1315.8","1280","1300.1","0.78","959"
"GLBSL","2022-02-09","1307","1350","1290","1290","-2.57","586"
"GLBSL","2022-02-08","1346.4","1346.4","1322","1324","0.00","298"
"GLBSL","2022-02-07","1305","1356.6","1305","1320","-0.38","786"
"GLBSL","2022-02-06","1370","1379","1325","1325","-3.64","980"
"GLBSL","2022-02-03","1400","1400","1374","1375","-1.79","1215"
"GLBSL","2022-02-01","1371","1410","1370","1400","2.19","679"
"GLBSL","2022-01-31","1400","1400","1370","1370","-2.70","833"
"GLBSL","2022-01-30","1401.4","1420","1390","1408","2.47","589"
"GLBSL","2022-01-27","1395","1395","1372","1374","-0.51","200"
"GLBSL","2022-01-26","1357.1","1385","1357.1","1381","0.07","866"
"GLBSL","2022-01-25","1400","1415","1373","1380","-1.36","697"
"GLBSL","2022-01-24","1426.1","1430","1375","1399","-3.85","1801"
"GLBSL","2022-01-23","1461.2","1464","1432","1455","-2.41","1065"
"GLBSL","2022-01-20","1435","1491","1435","1491","1.84","130"
"GLBSL","2022-01-19","1469","1469","1401.4","1464","-2.27","2819"
"GLBSL","2022-01-18","1441","1499","1412.2","1498","1.90","1281"
"GLBSL","2022-01-17","1480","1499","1456","1470","0.00","698"
"GLBSL","2022-01-16","1418","1509.6","1446","1470","3.67","745"
"GLBSL","2022-01-13","1410","1450","1375","1418","1.19","690"
"GLBSL","2022-01-12","1435","1460","1380","1401.3","-1.39","680"
"GLBSL","2022-01-11","1409","1470","1409","1421","1.50","746"
"GLBSL","2022-01-10","1395","1400","1370.1","1400","-1.06","800"
"GLBSL","2022-01-09","1360","1415","1352.5","1415","5.20","1639"
