"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLH","2022-05-05","375","375","359","371.5","-2.75","3240"
"GLH","2022-05-04","381","384","368.5","382","-1.55","3290"
"GLH","2022-05-02","408","416","380.1","388","-4.90","3270"
"GLH","2022-04-28","402.6","420","397.1","408","-0.61","4560"
"GLH","2022-04-27","395","410.5","383","410.5","1.99","5506"
"GLH","2022-04-26","400.9","408","393","402.5","-1.59","2290"
"GLH","2022-04-25","413","422","394","409","-2.85","7562"
"GLH","2022-04-24","390","425","369","421","7.95","8487"
"GLH","2022-04-21","404","404","357.3","390","-1.76","15162"
"GLH","2022-04-20","397","400","380.2","397","-1.19","2950"
"GLH","2022-04-19","394","401.8","372.2","401.8","3.80","3496"
"GLH","2022-04-18","420.2","420.2","383.2","387.1","-6.04","4530"
"GLH","2022-04-17","406.7","414","392","412","-0.72","2945"
"GLH","2022-04-13","412","420","398","415","-1.19","2811"
"GLH","2022-04-12","412.6","429","402","420","-0.24","3582"
"GLH","2022-04-11","428","450","416.6","421","-3.44","6447"
"GLH","2022-04-07","430","440","425","436","0.93","4860"
"GLH","2022-04-06","430.3","439","422","432","-1.59","3168"
"GLH","2022-04-05","449","455","422","439","-2.23","9832"
"GLH","2022-04-04","442","451","435","449","-0.22","8277"
"GLH","2022-04-03","455","467","450","450","-1.96","3417"
"GLH","2022-03-31","457","466.2","453","459","-0.69","8174"
"GLH","2022-03-30","458.6","474.9","451","462.2","-1.22","8910"
"GLH","2022-03-29","450.1","468","450","467.9","1.94","2825"
"GLH","2022-03-28","470.4","480","456.2","459","-4.38","6130"
"GLH","2022-03-27","490","490.6","465","480","-4.00","12002"
"GLH","2022-03-24","455.8","511","450.5","500","7.53","16731"
"GLH","2022-03-23","467","467","452.3","465","-0.43","2900"
"GLH","2022-03-22","463","474","460","467","-1.06","5627"
"GLH","2022-03-21","450","472","446.5","472","2.83","4095"
"GLH","2022-03-20","464","464","449","459","-0.76","4141"
"GLH","2022-03-16","456.6","465.9","450","462.5","-0.73","3190"
"GLH","2022-03-15","465","473","454","465.9","0.84","4317"
"GLH","2022-03-14","465.5","474.6","447.1","462","-2.72","773"
"GLH","2022-03-13","452","478","452","474.9","3.02","13369"
"GLH","2022-03-10","454","462","426.5","461","1.77","7004"
"GLH","2022-03-09","451.8","453","441","453","-1.74","9044"
"GLH","2022-03-07","462.5","462.5","437","461","1.54","7752"
"GLH","2022-03-06","441","475","441","454","1.11","4367"
"GLH","2022-03-02","451","455","430.4","449","-1.97","11131"
"GLH","2022-02-28","473","475","451.1","458","-1.34","8808"
"GLH","2022-02-27","454.1","472.2","452.3","464.2","0.69","6954"
