"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLICLP","2022-03-16","382","382","382","382","0.00","46118"
"GLICLP","2022-02-15","382","382","382","382","0.00","55220"
"GLICLP","2021-11-08","334","334","334","334","0.00","10439"
"GLICLP","2021-11-03","334","334","334","334","0.00","1917"
"GLICLP","2021-11-02","334","334","334","334","0.00","122067"
"GLICLP","2021-07-07","494","494","494","494","0.00","15000"
"GLICLP","2021-06-13","494.06","494","494","494","-0.01","25000"
"GLICLP","2018-01-16","520","520","520","520","0.00","24750"
"GLICLP","2017-11-13","0","0","0","300","0.00","374755"
"GLICLP","2017-10-29","0","0","0","300","0.00","138539"
"GLICLP","2017-09-06","0","0","0","300","0.00","174977"
"GLICLP","2017-08-30","0","0","0","300","0.00","162642"
"GLICLP","2017-08-22","0","0","0","300","0.00","66500"
"GLICLP","2017-08-17","0","0","0","300","0.00","45597"
"GLICLP","2017-07-06","517","517","517","517","-1.90","112"
"GLICLP","2017-07-02","558","558","527","527","-7.38","8525"
"GLICLP","2017-06-28","603","603","569","569","-7.48","800"
"GLICLP","2017-06-18","615","615","615","615","0.00","10000"
"GLICLP","2017-06-04","615","615","615","615","0.00","18105"
"GLICLP","2017-05-31","615","615","615","615","0.00","200"
"GLICLP","2016-06-16","450","450","450","450","0.00","13888"
"GLICLP","2016-01-24","335","335","335","335","0.00","5000"
"GLICLP","2015-07-22","302","302","278","278","-9.74","15975"
"GLICLP","2014-10-27","100","308","308","308","208.00","6478"
