"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLICL","2022-05-05","504","522.9","495","495","-3.70","16649"
"GLICL","2022-05-04","531","531","514","514","-1.38","7311"
"GLICL","2022-05-02","551","551","520","521.2","-3.66","11269"
"GLICL","2022-04-28","563.9","563.9","534.2","541","-2.52","11777"
"GLICL","2022-04-27","548","565","547","555","-0.54","6140"
"GLICL","2022-04-26","552.1","585","549","558","-0.71","6905"
"GLICL","2022-04-25","580","584","562","562","-2.24","17188"
"GLICL","2022-04-24","552","580","552","574.9","5.29","20629"
"GLICL","2022-04-21","550","550","528.1","546","0.74","16209"
"GLICL","2022-04-20","567","567.1","540","542","-2.52","9833"
"GLICL","2022-04-19","549.9","569.9","540","556","1.09","23817"
"GLICL","2022-04-18","578","578","544","550","-3.17","16434"
"GLICL","2022-04-17","590","590","568","568","-2.07","16184"
"GLICL","2022-04-13","589.9","589.9","568","580","0.17","17002"
"GLICL","2022-04-12","605","605","575","579","-2.53","9339"
"GLICL","2022-04-11","617.1","627.9","585","594","-1.82","20192"
"GLICL","2022-04-07","608","619","595","605","1.34","18666"
"GLICL","2022-04-06","610","614","595.1","597","-1.49","30775"
"GLICL","2022-04-05","609","618","590","606","-2.10","51665"
"GLICL","2022-04-04","646","646","615.1","619","-2.37","25923"
"GLICL","2022-04-03","652.8","652.8","630","634","-0.94","31534"
"GLICL","2022-03-31","660","662","640","640","-1.54","42656"
"GLICL","2022-03-30","654","654","616.8","650","1.25","51736"
"GLICL","2022-03-29","649.9","652","632","642","-0.16","22136"
"GLICL","2022-03-28","670","670","640","643","-3.74","74326"
"GLICL","2022-03-27","681","721","660","668","-0.30","254236"
"GLICL","2022-03-24","650","673.2","628","670","4.69","126900"
"GLICL","2022-03-23","620","644","620","640","2.07","57596"
"GLICL","2022-03-22","635","635","623","627","0.50","20233"
"GLICL","2022-03-21","626","626","610.1","623.9","1.12","24989"
"GLICL","2022-03-20","643.6","643.6","615.6","617","-2.22","28262"
"GLICL","2022-03-16","635","640","629.2","631","-0.32","35161"
"GLICL","2022-03-15","627","637","617.5","633","0.96","51228"
"GLICL","2022-03-14","624.2","636","603","627","2.45","27695"
"GLICL","2022-03-13","581","616","572","612","7.37","52497"
"GLICL","2022-03-10","545","578.3","538","570","5.95","25569"
"GLICL","2022-03-09","538","558.9","520","538","-1.82","21239"
"GLICL","2022-03-07","557","566.8","545","548","-1.77","9984"
"GLICL","2022-03-06","564","564","549","557.9","0.89","9440"
"GLICL","2022-03-02","589","589","552","553","-4.49","23737"
"GLICL","2022-02-28","611.8","624","575","579","-3.48","25148"
"GLICL","2022-02-27","606.9","619","592","599.9","0.82","8985"
"GLICL","2022-02-24","610","617","592.9","595","-3.41","32206"
"GLICL","2022-02-23","634","634","615","616","-1.75","24564"
"GLICL","2022-02-22","636.6","638","624","627","0.30","18924"
"GLICL","2022-02-21","638.5","650","622.3","625.1","-0.14","77447"
"GLICL","2022-02-20","631.2","645","616.5","626","-2.80","34742"
"GLICL","2022-02-17","654","654","642","644","0.23","14958"
"GLICL","2022-02-16","634.1","662","634.1","642.5","-0.39","14030"
"GLICL","2022-02-15","644","656","632.1","645","2.14","32844"
"GLICL","2022-02-14","650.7","655","630","631.5","-1.02","33259"
"GLICL","2022-02-13","657","657","637.1","638","-4.78","29925"
"GLICL","2022-02-10","688.5","688.5","667","670","-0.74","20849"
"GLICL","2022-02-09","697","697","670","675","-1.32","19632"
"GLICL","2022-02-08","708","714.9","674.3","684","0.00","33558"
"GLICL","2022-02-07","677","700","677","695","2.67","52289"
"GLICL","2022-02-06","707.5","707.5","676.6","676.9","-2.60","34761"
"GLICL","2022-02-03","709.9","728","693","695","-0.71","53308"
"GLICL","2022-02-01","708","720","692.9","700","0.57","51790"
"GLICL","2022-01-31","714","714","690","696","-0.94","66449"
"GLICL","2022-01-30","689","716","689","702.6","4.01","77214"
"GLICL","2022-01-27","675","698","674","675.5","-0.22","31452"
"GLICL","2022-01-26","696","696","670","677","-1.17","49863"
"GLICL","2022-01-25","692","705","672","685","0.59","130172"
"GLICL","2022-01-24","708","710","675","681","-3.81","160428"
"GLICL","2022-01-23","705.8","721","698","708","2.31","176277"
"GLICL","2022-01-20","629.2","698.7","629.2","692","7.79","223337"
"GLICL","2022-01-19","624","658","624","642","0.94","65436"
"GLICL","2022-01-18","649","659","632.7","636","-2.45","62362"
"GLICL","2022-01-17","664","664","641","652","0.00","38928"
"GLICL","2022-01-16","642","669.9","642","652","1.56","80727"
"GLICL","2022-01-13","636","653","613","642","2.88","55622"
"GLICL","2022-01-12","655","655","622.3","624","-3.26","69248"
"GLICL","2022-01-11","626","659","612.1","645","4.71","115789"
"GLICL","2022-01-10","600","617","590","616","3.18","69289"
"GLICL","2022-01-09","567","603","567","597","4.01","32134"
"GLICL","2022-01-06","579","580","567","574","0.53","14640"
"GLICL","2022-01-05","581","592","571","571","-2.48","31922"
"GLICL","2022-01-04","574","590","573","585.5","0.27","18978"
"GLICL","2022-01-03","594","598.7","578","583.9","0.15","38055"
"GLICL","2022-01-02","574","589","570","583","3.55","28538"
"GLICL","2021-12-29","573","575","547.2","563","-0.16","23488"
"GLICL","2021-12-28","540","566.5","530","563.9","2.53","21988"
"GLICL","2021-12-27","586","597.6","545","550","-4.40","86918"
"GLICL","2021-12-26","533","575.3","530","575.3","10.00","80873"
"GLICL","2021-12-23","498","533","490","523","2.95","18915"
"GLICL","2021-12-22","493","510","492","508","3.46","25798"
"GLICL","2021-12-21","482.9","491","480","491","3.59","7759"
"GLICL","2021-12-20","466","474","460.6","474","0.21","14313"
"GLICL","2021-12-16","472.9","485","470.2","473","-1.97","7731"
"GLICL","2021-12-15","496","520.2","466","482.5","-0.92","17089"
"GLICL","2021-12-14","469","487.8","469","487","5.85","3852"
"GLICL","2021-12-13","480","482.1","460","460.1","-4.94","10214"
"GLICL","2021-12-12","495","499","479","484","-3.01","23395"
"GLICL","2021-12-09","497","500","490","499","-0.20","11926"
"GLICL","2021-12-08","505","518","500","500","-1.57","10831"
"GLICL","2021-12-07","531","531.4","508","508","-2.50","16728"
"GLICL","2021-12-06","502","521","495","521","2.36","16776"
"GLICL","2021-12-05","522.4","535","503.8","509","-4.50","18013"
"GLICL","2021-12-02","545","545","525","533","-2.20","15108"
"GLICL","2021-12-01","533","545","533","545","0.93","5919"
"GLICL","2021-11-30","550","554","535","540","-2.53","30666"
"GLICL","2021-11-29","563.9","570","546","554","-1.07","14090"
"GLICL","2021-11-28","562","570","555","560","-2.12","11253"
"GLICL","2021-11-25","570","586","566","572.1","-0.50","2848"
"GLICL","2021-11-24","561","583","560.6","575","0.52","6808"
"GLICL","2021-11-23","575.1","586","572","572","-1.72","9328"
"GLICL","2021-11-22","590","597.8","580","582","0.34","8892"
"GLICL","2021-11-21","582","601","579","580","-2.19","11192"
"GLICL","2021-11-18","616","616","593","593","-1.82","10517"
"GLICL","2021-11-17","642","655","604","604","-4.13","22696"
"GLICL","2021-11-16","581.1","639","581","630","8.43","40205"
"GLICL","2021-11-15","595","595","574","581","-0.68","11451"
"GLICL","2021-11-14","589.9","590","566.5","585","0.34","12247"
"GLICL","2021-11-11","594","629","573","583","-1.85","13048"
"GLICL","2021-11-09","619","619","578","594","-3.89","20203"
"GLICL","2021-11-08","676","676","650","652","-1.66","25396"
"GLICL","2021-11-03","683.4","695","659","663","-1.04","45962"
"GLICL","2021-11-02","622","695.9","620","670","5.68","41558"
"GLICL","2021-11-01","640","645","618","634","-0.16","54829"
"GLICL","2021-10-31","605","642","602.1","635","4.44","34272"
"GLICL","2021-10-28","620","630","601","608","-2.69","24586"
"GLICL","2021-10-27","599","635","586","624.8","6.08","63739"
"GLICL","2021-10-26","583","598","564","589","2.81","28724"
