"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GMFBS","2022-05-05","1032","1037","992","995","-5.15","399"
"GMFBS","2022-05-04","1045","1050","1027","1049","-1.04","319"
"GMFBS","2022-05-02","1060","1060","1040","1060","-1.85","226"
"GMFBS","2022-04-28","1123","1123","1059.5","1080","-3.83","2325"
"GMFBS","2022-04-27","1098.6","1123","1076","1123","0.18","353"
"GMFBS","2022-04-26","1105","1127","1086","1121","1.48","427"
"GMFBS","2022-04-25","1133","1133","1070","1104.6","-2.42","323"
"GMFBS","2022-04-24","1060","1132","1025","1132","4.70","974"
"GMFBS","2022-04-21","996.2","1081.2","996.2","1081.2","6.48","270"
"GMFBS","2022-04-20","1035.2","1038","1015.2","1015.4","-3.84","291"
"GMFBS","2022-04-19","1054","1075","1051","1056","-1.77","118"
"GMFBS","2022-04-18","1097","1097","1075","1075","-3.93","56"
"GMFBS","2022-04-17","1100","1119","1078","1119","-0.18","343"
"GMFBS","2022-04-13","1061","1123","1060","1121","5.75","528"
"GMFBS","2022-04-12","1063.3","1064","1051","1060","-2.30","260"
"GMFBS","2022-04-11","1090","1090","1064","1085","0.28","403"
"GMFBS","2022-04-07","1070","1100","1070","1082","0.19","339"
"GMFBS","2022-04-06","1100","1100.6","1080","1080","-1.82","93"
"GMFBS","2022-04-05","1100","1100","1097","1100","-0.90","387"
"GMFBS","2022-04-04","1100","1110","1097","1110","0.43","158"
"GMFBS","2022-04-03","1145","1145","1104","1105.3","-3.89","751"
"GMFBS","2022-03-31","1182","1182","1136","1150","-0.78","261"
"GMFBS","2022-03-30","1142","1159","1142","1159","1.49","289"
"GMFBS","2022-03-29","1154","1154","1130","1142","-1.04","231"
"GMFBS","2022-03-28","1150","1154","1127","1154","0.35","485"
"GMFBS","2022-03-27","1152","1160","1150","1150","-1.96","270"
"GMFBS","2022-03-24","1190","1190","1170.3","1173","-1.43","397"
"GMFBS","2022-03-23","1200","1201","1190","1190","-1.57","324"
"GMFBS","2022-03-22","1177.1","1215","1177.1","1209","0.92","749"
"GMFBS","2022-03-21","1207","1225","1176.5","1198","-0.58","370"
"GMFBS","2022-03-20","1199","1205","1199","1205","-1.48","46"
"GMFBS","2022-03-16","1208","1223.1","1208","1223.1","-0.72","197"
"GMFBS","2022-03-15","1220","1232.1","1220","1232","-0.01","274"
"GMFBS","2022-03-14","1232.1","1232.1","1232.1","1232.1","2.00","10"
"GMFBS","2022-03-13","1185","1208","1185","1208","1.94","1241"
"GMFBS","2022-03-10","1160","1185","1150","1185","2.16","299"
"GMFBS","2022-03-09","1160","1170","1141.6","1160","-1.28","1454"
"GMFBS","2022-03-07","1140","1180","1140","1175","1.12","596"
"GMFBS","2022-03-06","1164","1185","1161.3","1162","1.75","100"
"GMFBS","2022-03-02","1161","1161","1142","1142","-3.22","892"
"GMFBS","2022-02-28","1225","1225","1176","1180","-3.59","315"
"GMFBS","2022-02-27","1205","1224","1188","1224","1.16","1230"
"GMFBS","2022-02-24","1225","1225","1210","1210","-2.58","579"
"GMFBS","2022-02-23","1260","1291.3","1242","1242.1","-1.89","216"
"GMFBS","2022-02-22","1280.1","1307","1260","1266","0.88","702"
"GMFBS","2022-02-21","1230","1258","1230","1255","2.03","352"
"GMFBS","2022-02-20","1248.6","1260","1215","1230","-3.45","2310"
"GMFBS","2022-02-17","1248","1274","1230","1274","2.00","410"
"GMFBS","2022-02-16","1250","1270","1240.4","1249","0.89","250"
"GMFBS","2022-02-15","1250","1274","1237","1238","-0.96","176"
"GMFBS","2022-02-14","1260","1285.2","1240","1250","-0.79","406"
"GMFBS","2022-02-13","1319","1320","1260","1260","-5.54","853"
"GMFBS","2022-02-10","1335","1335","1315","1333.9","1.35","586"
"GMFBS","2022-02-09","1320","1320","1315","1316.1","-1.56","484"
"GMFBS","2022-02-08","1380","1381","1337","1337","0.00","677"
"GMFBS","2022-02-07","1345","1364","1334.9","1363","0.96","502"
"GMFBS","2022-02-06","1370","1370","1350","1350","-1.10","110"
"GMFBS","2022-02-03","1363.1","1380","1353","1365","-1.80","892"
"GMFBS","2022-02-01","1350","1390","1345.4","1390","1.30","919"
"GMFBS","2022-01-31","1372","1410","1370","1372.1","-1.92","314"
"GMFBS","2022-01-30","1405","1414","1380","1399","0.87","2300"
"GMFBS","2022-01-27","1330","1390","1325","1387","2.36","2374"
