"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GMFIL","2022-05-05","310","315.6","308.8","310","-1.59","8402"
"GMFIL","2022-05-04","321.5","333.4","315","315","-3.93","4355"
"GMFIL","2022-05-02","344.7","345","314","327.9","-2.99","8514"
"GMFIL","2022-04-28","350","357","336.2","338","-3.98","11655"
"GMFIL","2022-04-27","337.4","362","337.2","352","2.33","5051"
"GMFIL","2022-04-26","355","362.1","342","344","-3.10","4505"
"GMFIL","2022-04-25","362","369.2","347","355","-1.93","11055"
"GMFIL","2022-04-24","339","365","334","362","8.45","10752"
"GMFIL","2022-04-21","331.3","334.8","313","333.8","-1.24","12018"
"GMFIL","2022-04-20","341","341","331.4","338","-2.59","6449"
"GMFIL","2022-04-19","338","348","332.3","347","1.46","6892"
"GMFIL","2022-04-18","355","362","339","342","-5.00","5880"
"GMFIL","2022-04-17","379.4","379.4","360","360","-3.23","2066"
"GMFIL","2022-04-13","376.9","377","363.1","372","0.51","4103"
"GMFIL","2022-04-12","370","376","368.1","370.1","-1.80","5498"
"GMFIL","2022-04-11","396","396","375.3","376.9","-3.11","6540"
"GMFIL","2022-04-07","380","389","375.4","389","1.57","2968"
"GMFIL","2022-04-06","373.4","387.6","373.4","383","0.52","2975"
"GMFIL","2022-04-05","384","388","375.1","381","-2.56","7267"
"GMFIL","2022-04-04","384","399.9","384","391","0.51","5299"
"GMFIL","2022-04-03","395","398.8","386.2","389","-0.51","2886"
"GMFIL","2022-03-31","406","406","391","391","-3.69","5116"
"GMFIL","2022-03-30","390","406","384.1","406","6.01","7088"
"GMFIL","2022-03-29","395","403.6","383","383","-1.29","8582"
"GMFIL","2022-03-28","390","396.7","387.1","388","-1.77","6679"
"GMFIL","2022-03-27","403","405","392","395","-3.89","10973"
"GMFIL","2022-03-24","406","419","406","411","-0.75","5290"
"GMFIL","2022-03-23","419","419","414.1","414.1","-2.33","8734"
"GMFIL","2022-03-22","425","431.9","420","424","-0.19","3978"
"GMFIL","2022-03-21","410","426","405.1","424.8","3.23","6031"
"GMFIL","2022-03-20","415","416.5","410","411.5","-0.84","6354"
"GMFIL","2022-03-16","423","424","413","415","-2.12","5931"
"GMFIL","2022-03-15","430","434.5","414.1","424","-1.26","5807"
"GMFIL","2022-03-14","437","437.5","420","429.4","0.09","4060"
"GMFIL","2022-03-13","408","430.4","407","429","7.25","21020"
"GMFIL","2022-03-10","380.1","416.9","380","400","3.63","8302"
"GMFIL","2022-03-09","394.9","396","375.1","386","-1.56","12168"
"GMFIL","2022-03-07","409.9","409.9","391","392.1","-2.46","8575"
"GMFIL","2022-03-06","407.8","410","392","402","0.53","13203"
"GMFIL","2022-03-02","402","405","397","399.9","-2.46","11533"
"GMFIL","2022-02-28","427","430","405","410","-2.38","18114"
"GMFIL","2022-02-27","418.5","431","413.7","420","-1.64","17778"
"GMFIL","2022-02-24","432.2","448","422","427","-2.95","12426"
"GMFIL","2022-02-23","445","458.9","436.1","440","-1.12","18776"
"GMFIL","2022-02-22","440","465","439.1","445","1.37","9838"
"GMFIL","2022-02-21","446.5","446.7","431","439","0.23","14202"
"GMFIL","2022-02-20","444","452","434","438","-3.31","15683"
"GMFIL","2022-02-17","445","456","445","453","1.23","10335"
"GMFIL","2022-02-16","450","460.2","446","447.5","-2.51","4982"
"GMFIL","2022-02-15","443.7","459","428","459","5.52","13227"
"GMFIL","2022-02-14","443.7","447","431","435","0.00","8046"
"GMFIL","2022-02-13","449.9","449.9","435","435","-5.23","15900"
"GMFIL","2022-02-10","477","477","445","459","-1.92","34545"
"GMFIL","2022-02-09","474","480","463","468","-1.27","8738"
"GMFIL","2022-02-08","489.6","502","472","474","0.00","17920"
"GMFIL","2022-02-07","475","488.9","471.1","480","0.00","10424"
"GMFIL","2022-02-06","510","510","479.2","480","-4.00","9103"
"GMFIL","2022-02-03","510","511","485.5","500","0.00","27908"
"GMFIL","2022-02-01","481","500","478","500","4.17","21655"
"GMFIL","2022-01-31","499.8","499.8","477","480","-2.04","8680"
"GMFIL","2022-01-30","468.1","499","468.1","490","6.75","22203"
"GMFIL","2022-01-27","470.2","470.2","448","459","-0.43","19981"
