"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GRDBL","2022-05-05","260","270","246.5","251","-3.46","9571"
"GRDBL","2022-05-04","265","270.3","260","260","-3.70","6794"
"GRDBL","2022-05-02","285","285","270","270","-6.25","3111"
"GRDBL","2022-04-28","290.2","301.9","285","288","-2.70","5223"
"GRDBL","2022-04-27","288","299","285","296","1.37","2851"
"GRDBL","2022-04-26","289","299","283.3","292","1.04","3372"
"GRDBL","2022-04-25","295.8","307","287","289","-0.34","12187"
"GRDBL","2022-04-24","272","293.7","267","290","8.61","10515"
"GRDBL","2022-04-21","266","275","255.3","267","-1.11","3536"
"GRDBL","2022-04-20","280","284.8","265","270","-3.33","5237"
"GRDBL","2022-04-19","280","289","276","279.3","-1.65","6119"
"GRDBL","2022-04-18","294","295","279.1","284","-3.40","1230"
"GRDBL","2022-04-17","300","301","293","294","-1.67","4247"
"GRDBL","2022-04-13","296","301","285","299","2.75","5218"
"GRDBL","2022-04-12","299","300","291","291","-3.00","6500"
"GRDBL","2022-04-11","316","316","297","300","-3.23","6697"
"GRDBL","2022-04-07","314.1","320","308","310","0.65","5429"
"GRDBL","2022-04-06","308","320","308","308","-1.91","3561"
"GRDBL","2022-04-05","320","320","305","314","-1.88","4702"
"GRDBL","2022-04-04","315.1","323.8","315","320","0.00","3968"
"GRDBL","2022-04-03","316","322","315","320","0.00","4248"
"GRDBL","2022-03-31","326.5","333","319","320","-1.96","7936"
"GRDBL","2022-03-30","322","333","320","326.4","1.37","4671"
"GRDBL","2022-03-29","326.9","332.9","317.6","322","0.31","6126"
"GRDBL","2022-03-28","322.5","334","316.1","321","-2.43","5532"
"GRDBL","2022-03-27","333.7","335","328","329","-3.29","6765"
"GRDBL","2022-03-24","343.2","347","340.2","340.2","-2.24","4354"
"GRDBL","2022-03-23","351","356.5","347","348","-2.52","3467"
"GRDBL","2022-03-22","354","363.9","353.9","357","2.59","19303"
"GRDBL","2022-03-21","340","357","339","348","2.35","10718"
"GRDBL","2022-03-20","345","350","338.1","340","-1.36","1925"
"GRDBL","2022-03-16","356","356","338","344.7","-1.51","2980"
"GRDBL","2022-03-15","353","359.9","345.1","350","1.01","4628"
"GRDBL","2022-03-14","357","357","343","346.5","-2.94","5625"
"GRDBL","2022-03-13","340","357","340","357","6.25","10053"
"GRDBL","2022-03-10","312","336","312","336","5.66","5068"
"GRDBL","2022-03-09","318","324","312","318","-1.85","4952"
"GRDBL","2022-03-07","325","332","324","324","-0.58","4762"
"GRDBL","2022-03-06","323","334.4","322","325.9","0.90","2926"
"GRDBL","2022-03-02","335","340","320.6","323","-4.72","4328"
"GRDBL","2022-02-28","344","346.8","333","339","0.30","5618"
"GRDBL","2022-02-27","337","344","335","338","-0.59","4643"
"GRDBL","2022-02-24","343","346.5","337","340","-2.86","6345"
"GRDBL","2022-02-23","352","355","345","350","-0.57","3946"
"GRDBL","2022-02-22","350.2","358","346.5","352","2.03","5252"
"GRDBL","2022-02-21","345","349.9","344","345","0.58","3616"
"GRDBL","2022-02-20","350","353","336.2","343","-2.83","8839"
"GRDBL","2022-02-17","347.9","360","347.9","353","-0.54","4085"
"GRDBL","2022-02-16","367","367","352","354.9","-1.42","6486"
"GRDBL","2022-02-15","359.9","360","350","360","1.98","5057"
"GRDBL","2022-02-14","356","356","347","353","0.86","6852"
"GRDBL","2022-02-13","360","360","347","350","-4.63","14974"
"GRDBL","2022-02-10","376.9","376.9","364.1","367","-0.81","9679"
"GRDBL","2022-02-09","370.2","373","365","370","-1.33","9291"
"GRDBL","2022-02-08","382","390","370.6","375","0.00","15083"
"GRDBL","2022-02-07","370","383","370","375","-0.27","8606"
"GRDBL","2022-02-06","394.9","394.9","372.4","376","-3.09","8528"
"GRDBL","2022-02-03","396","396","379.1","388","-0.26","26775"
"GRDBL","2022-02-01","374.1","395","367","389","2.10","21995"
"GRDBL","2022-01-31","390","390","379","381","-2.31","14896"
"GRDBL","2022-01-30","374.3","393.7","374.3","390","6.27","15635"
"GRDBL","2022-01-27","372","375","363.1","367","-0.27","6132"
"GRDBL","2022-01-26","372.4","385","362","368","-3.16","17773"
"GRDBL","2022-01-25","373","390","373","380","0.00","9835"
"GRDBL","2022-01-24","395","399","377.6","380","-5.47","26962"
"GRDBL","2022-01-23","407","419.9","398","402","-0.99","23099"
"GRDBL","2022-01-20","392","410","390","406","3.57","29771"
"GRDBL","2022-01-19","407.8","407.8","389","392","-1.98","19936"
"GRDBL","2022-01-18","403","411","393","399.9","-2.70","17480"
"GRDBL","2022-01-17","413","425","405","411","-0.48","15562"
"GRDBL","2022-01-16","390","421","397.8","413","5.90","40179"
"GRDBL","2022-01-13","384.9","392.7","382","390","3.17","12879"
"GRDBL","2022-01-12","392","415","377","378","-1.82","34924"
"GRDBL","2022-01-11","380","400","377","385","1.32","21186"
"GRDBL","2022-01-10","388","388","373.4","380","-0.26","27414"
"GRDBL","2022-01-09","350","382","350","381","8.24","26314"
"GRDBL","2022-01-06","349","355","349","352","0.86","6990"
"GRDBL","2022-01-05","357","363","343","349","-0.29","20309"
"GRDBL","2022-01-04","330","350","325.5","350","7.86","26043"
"GRDBL","2022-01-03","328.9","340","322","324.5","0.62","7418"
"GRDBL","2022-01-02","325.4","344.3","322","322.5","1.07","4989"
"GRDBL","2021-12-29","326","332.5","319.1","319.1","-1.82","3700"
"GRDBL","2021-12-28","327","328","320.5","325","-0.91","4883"
"GRDBL","2021-12-27","350","350","324","328","-5.75","11679"
"GRDBL","2021-12-26","350","357.1","340","348","-0.57","10105"
"GRDBL","2021-12-23","364","366","350","350","-3.58","10201"
"GRDBL","2021-12-22","347.8","372","340","363","6.45","17956"
"GRDBL","2021-12-21","310","341","310","341","10.00","4843"
"GRDBL","2021-12-20","312","318","308","310","-2.52","3696"
"GRDBL","2021-12-16","318","325.4","316","318","-1.85","7091"
"GRDBL","2021-12-15","325","350.9","318.6","324","1.57","18541"
"GRDBL","2021-12-14","295","319","295","319","10.00","8377"
"GRDBL","2021-12-13","318","318","288","290","-8.95","10777"
"GRDBL","2021-12-12","332","332","318.5","318.5","-4.95","8401"
"GRDBL","2021-12-09","333.5","352","333.2","335.1","-1.44","6861"
"GRDBL","2021-12-08","361","361","338","340","-7.61","7673"
"GRDBL","2021-12-07","362","383.5","348","368","0.27","12637"
"GRDBL","2021-12-06","339","367","320.2","367","6.38","10197"
"GRDBL","2021-12-05","361","362.1","345","345","-6.25","13650"
"GRDBL","2021-12-02","386","393.7","365.1","368","-2.90","6472"
"GRDBL","2021-12-01","382","390","370","379","-0.79","8265"
"GRDBL","2021-11-30","381","388.6","376","382","1.06","6257"
"GRDBL","2021-11-29","382.2","394","375","378","-1.82","6908"
"GRDBL","2021-11-28","393","399","383","385","-3.75","11104"
"GRDBL","2021-11-25","400","402","392.2","400","0.76","5696"
"GRDBL","2021-11-24","392","405","388","397","-0.75","7976"
"GRDBL","2021-11-23","408.9","408.9","393","400","-2.18","11910"
"GRDBL","2021-11-22","398","413","398","408.9","0.96","5460"
"GRDBL","2021-11-21","410","415","403","405","-2.41","8730"
"GRDBL","2021-11-18","419.9","421","410","415","-3.13","17978"
"GRDBL","2021-11-17","439.9","442","420","428.4","-1.29","21534"
"GRDBL","2021-11-16","415","440","404","434","5.34","17015"
"GRDBL","2021-11-15","387.1","422.9","387.1","412","4.30","15026"
"GRDBL","2021-11-14","398.9","422","393","395","-1.25","11109"
"GRDBL","2021-11-11","406.7","410","393","400","-3.61","27681"
"GRDBL","2021-11-09","431.2","434","402","415","-5.68","30193"
"GRDBL","2021-11-08","441","452.6","440","440","1.13","23040"
"GRDBL","2021-11-03","416","449","416","435.1","4.84","47528"
"GRDBL","2021-11-02","404","428.4","402","415","1.47","17545"
"GRDBL","2021-11-01","423.3","431.4","405","409","-1.45","20036"
"GRDBL","2021-10-31","396","418","392.1","415","4.80","30322"
"GRDBL","2021-10-28","389","397","383","396","1.54","14987"
"GRDBL","2021-10-27","400","400","377.6","390","-0.76","21944"
"GRDBL","2021-10-26","377.3","402","377.3","393","2.08","24956"
"GRDBL","2021-10-25","376","397","368.5","385","4.34","15130"
"GRDBL","2021-10-24","354.8","375","354.8","369","1.93","7060"
"GRDBL","2021-10-21","387.6","395.3","358","362","-4.74","9940"
"GRDBL","2021-10-20","352.8","380","352.8","380","5.56","18265"
"GRDBL","2021-10-19","354","369.3","336.4","360","-0.28","10192"
"GRDBL","2021-10-18","376","391.1","346","361","-3.99","11519"
"GRDBL","2021-10-17","387.6","399","362.8","376","-1.05","7410"
"GRDBL","2021-10-11","401.8","401.8","376","380","-3.55","7740"
"GRDBL","2021-10-10","402.6","412","381","394","-2.14","14112"
"GRDBL","2021-10-06","373.3","402.6","371","402.6","10.00","15893"
"GRDBL","2021-10-05","361.7","384","361.7","366","-0.81","4720"
"GRDBL","2021-10-04","363.1","377","348","369","3.65","5703"
"GRDBL","2021-10-03","368","388","346.3","356","-5.07","10355"
"GRDBL","2021-09-30","395","418","374","375","-3.70","21938"
"GRDBL","2021-09-29","361","389.4","331","389.4","10.00","16346"
"GRDBL","2021-09-28","386","401.5","347.4","354","-8.29","16568"
"GRDBL","2021-09-27","417.1","417.1","384.2","386","-5.62","8948"
"GRDBL","2021-09-26","423","423","401","409","-4.66","12487"
"GRDBL","2021-09-23","437.5","455.1","415","429","0.00","13060"
"GRDBL","2021-09-22","404","436.7","404","429","8.06","25650"
"GRDBL","2021-09-21","408","424.3","368","397","-0.75","26094"
"GRDBL","2021-09-20","422.4","445","392","400","-7.19","22184"
"GRDBL","2021-09-16","445","448.8","415","431","-4.65","28440"
"GRDBL","2021-09-15","460","460","449","452","-1.53","13689"
"GRDBL","2021-09-14","449","460","445","459","0.22","12245"
"GRDBL","2021-09-13","463","472","452","458","-1.08","17736"
"GRDBL","2021-09-12","440","482","440","463","5.47","23828"
"GRDBL","2021-09-09","450.1","451.9","433","439","-2.01","12801"
"GRDBL","2021-09-08","455","460","440","448","-2.61","21820"
"GRDBL","2021-09-07","489","489","457","460","-4.09","22415"
"GRDBL","2021-09-06","428","479.6","416.5","479.6","10.00","33154"
"GRDBL","2021-09-05","453.9","460","416.7","436","-5.83","33784"
"GRDBL","2021-09-02","482","491","463","463","-2.11","23189"
"GRDBL","2021-09-01","474","490","465","473","-0.21","34918"
"GRDBL","2021-08-31","484.2","494","465","474","-4.05","28842"
"GRDBL","2021-08-29","497","528","480","494","0.41","50892"
"GRDBL","2021-08-26","475","499.5","470","492","4.68","25178"
"GRDBL","2021-08-25","491","491","450","470","-2.49","21011"
"GRDBL","2021-08-24","500","520","480","482","-3.98","36149"
"GRDBL","2021-08-19","523","533","488","502","-3.46","58920"
"GRDBL","2021-08-18","498","537.9","498","520","6.34","119086"
"GRDBL","2021-08-17","480","501","480","489","1.88","77068"
"GRDBL","2021-08-16","495","496","468.1","480","-1.23","56899"
"GRDBL","2021-08-15","498.9","499","457.7","486","-3.19","78546"
"GRDBL","2021-08-12","485","515","476","502","3.51","139217"
"GRDBL","2021-08-11","510","529","478","485","-3.00","80451"
"GRDBL","2021-08-10","463","512.6","461","500","7.30","144417"
"GRDBL","2021-08-09","467","496.5","442","466","1.75","69588"
"GRDBL","2021-08-08","444","477","436","458","5.17","86759"
"GRDBL","2021-08-05","430","448.8","410","435.5","3.20","113901"
"GRDBL","2021-08-04","405","437.8","400","422","6.03","80727"
"GRDBL","2021-08-03","400","405","393.1","398","-1.97","26733"
"GRDBL","2021-08-02","409","415","399","406","-2.17","35585"
"GRDBL","2021-08-01","414","435","411","415","2.22","57131"
"GRDBL","2021-07-29","385","416","384","406","5.35","139488"
"GRDBL","2021-07-28","378","396","378","385.4","3.05","42299"
"GRDBL","2021-07-27","359","380.4","359","374","2.47","34397"
"GRDBL","2021-07-26","370","372","362.5","365","-1.08","29686"
"GRDBL","2021-07-25","375.3","375.3","362","369","0.27","27688"
"GRDBL","2021-07-22","381","381","367","368","-2.26","17419"
