"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GUFL","2022-05-05","418.6","424","410.6","411.3","-3.68","16849"
"GUFL","2022-05-04","434.5","434.5","415","427","0.23","17910"
"GUFL","2022-05-02","450","450","425","426","-5.33","12548"
"GUFL","2022-04-28","473.2","473.2","450","450","-3.02","16859"
"GUFL","2022-04-27","470.2","472","451.8","464","0.65","8773"
"GUFL","2022-04-26","470.3","475","456","461","-0.02","18022"
"GUFL","2022-04-25","482","490","461.1","461.1","-4.34","26446"
"GUFL","2022-04-24","448.7","483.9","438","482","9.55","38033"
"GUFL","2022-04-21","433","454","416","440","-0.27","32039"
"GUFL","2022-04-20","460.6","468","441.2","441.2","-5.73","18731"
"GUFL","2022-04-19","464","481.9","451","468","-0.32","18013"
"GUFL","2022-04-18","480.2","482","469.5","469.5","-3.79","20536"
"GUFL","2022-04-17","510","518","485.1","488","-2.40","16023"
"GUFL","2022-04-13","511","512.7","489.3","500","-0.60","21591"
"GUFL","2022-04-12","521","521","500","503","-3.38","24075"
"GUFL","2022-04-11","548.8","558","520.6","520.6","-3.25","20803"
"GUFL","2022-04-07","532","548","527","538.1","1.34","19634"
"GUFL","2022-04-06","545","554","531","531","-3.10","16334"
"GUFL","2022-04-05","566","566","545","548","-3.86","32558"
"GUFL","2022-04-04","583.9","583.9","567","570","-0.52","11571"
"GUFL","2022-04-03","587","594","570.1","573","-2.22","17653"
"GUFL","2022-03-31","613.5","613.6","585","586","-3.93","21104"
"GUFL","2022-03-30","591","610","585.2","610","2.52","16188"
"GUFL","2022-03-29","597","612","587.2","595","-0.34","18446"
"GUFL","2022-03-28","610","622","595","597","-2.13","23032"
"GUFL","2022-03-27","635","635","606","610","-3.94","31790"
"GUFL","2022-03-24","645","650","635","635","-3.05","39643"
"GUFL","2022-03-23","664","664","638","655","-0.77","35500"
"GUFL","2022-03-22","683","683","660.1","660.1","-1.48","14940"
"GUFL","2022-03-21","656","673","635.2","670","2.27","53873"
"GUFL","2022-03-20","660","697","643","655.1","-2.22","35100"
"GUFL","2022-03-16","689","689","659","670","-1.18","22757"
"GUFL","2022-03-15","647.9","688.5","639","678","4.63","75891"
"GUFL","2022-03-14","646","650","625","648","0.50","15534"
"GUFL","2022-03-13","622.9","645","615","644.8","5.53","37248"
"GUFL","2022-03-10","575","613.9","565.5","611","5.64","28287"
"GUFL","2022-03-09","595","613","570.1","578.4","-2.79","23667"
"GUFL","2022-03-07","613","622.2","595","595","-3.09","19613"
"GUFL","2022-03-06","635","650","607.6","614","-1.76","25125"
"GUFL","2022-03-02","650","665","624","625","-5.02","34512"
"GUFL","2022-02-28","676","695","657.6","658","-2.66","21638"
"GUFL","2022-02-27","677","690","670","676","-0.15","25963"
"GUFL","2022-02-24","695","696","675","677","-2.59","34796"
"GUFL","2022-02-23","725","727","695","695","-3.07","66846"
"GUFL","2022-02-22","704.8","725","691","717","3.76","86373"
"GUFL","2022-02-21","682.2","710","670","691","2.98","47132"
"GUFL","2022-02-20","683","686","670","671","-3.59","33217"
"GUFL","2022-02-17","707.9","715","694","696","-0.85","42404"
"GUFL","2022-02-16","720","725","695","702","-2.50","75085"
"GUFL","2022-02-15","709","724.2","700","720","1.41","60306"
"GUFL","2022-02-14","731.9","735","709","710","-1.25","40418"
"GUFL","2022-02-13","757","757","715.1","719","-5.04","47217"
"GUFL","2022-02-10","755","771","748","757.2","-0.11","38816"
"GUFL","2022-02-09","768","770","745","758","-0.66","43000"
"GUFL","2022-02-08","785.4","809","763","763","0.00","37191"
"GUFL","2022-02-07","765.2","785","764","770","-0.49","44694"
"GUFL","2022-02-06","778","778","764","773.8","-0.54","42550"
"GUFL","2022-02-03","803.1","816","775","778","-2.99","63408"
"GUFL","2022-02-01","782","805","781","802","1.11","43851"
"GUFL","2022-01-31","820","820","780","793.2","-2.07","27201"
"GUFL","2022-01-30","794.5","819","794.4","810","3.98","40043"
"GUFL","2022-01-27","794","795","775.1","779","-0.26","27530"
"GUFL","2022-01-26","816","816","771","781","-2.38","117091"
"GUFL","2022-01-25","821.7","821.7","775","800","-4.58","69229"
"GUFL","2022-01-24","810","838.4","772","838.4","1.51","135460"
"GUFL","2022-01-23","852.6","852.6","787","825.9","-5.07","178234"
"GUFL","2022-01-20","822","874.9","819","870","4.20","78994"
"GUFL","2022-01-19","850","857","817.1","834.9","-1.20","87342"
"GUFL","2022-01-18","876","889","842.8","845","-3.43","88989"
"GUFL","2022-01-17","881","897","870.1","875","-0.57","86513"
"GUFL","2022-01-16","895.4","913.3","877","880","0.23","219131"
"GUFL","2022-01-13","864","891","848","878","1.62","136775"
"GUFL","2022-01-12","911","913","860","864","-3.36","198759"
"GUFL","2022-01-11","845.5","903","836","894","7.84","186950"
"GUFL","2022-01-10","784.9","831","777","829","7.11","278555"
