"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GVL","2022-05-05","318.2","323","303","304","-6.32","17917"
"GVL","2022-05-04","359","359","322.2","324.5","-9.36","39443"
"GVL","2022-05-02","370","371","339.7","358","-5.14","33774"
"GVL","2022-04-28","390","392","376.6","377.4","-1.97","17660"
"GVL","2022-04-27","390","390","376","385","-1.28","19815"
"GVL","2022-04-26","400","406","375","390","-2.26","31191"
"GVL","2022-04-25","404.7","436.4","373","399","0.55","117936"
"GVL","2022-04-24","368","396.8","368","396.8","9.98","23368"
"GVL","2022-04-21","334.5","360.8","334.5","360.8","10.00","2937"
"GVL","2022-04-20","304.1","328","304.1","328","9.99","329"
"GVL","2022-04-19","271.1","298.2","271.1","298.2","0.00","292"
