"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GWFD83","2022-05-05","1070","1070","1070","1070","0.00","235"
"GWFD83","2022-04-27","1070","1070","1070","1070","0.00","300"
"GWFD83","2022-04-12","1070","1070","1070","1070","0.00","100"
"GWFD83","2022-04-06","1070","1070","1070","1070","0.00","450"
"GWFD83","2022-04-05","1070","1070","1070","1070","-0.93","100"
"GWFD83","2022-04-03","1080","1080","1080","1080","-1.37","25"
"GWFD83","2022-03-21","1080","1095","1075","1095","0.92","410"
"GWFD83","2022-03-20","1085","1085","1085","1085","0.00","250"
"GWFD83","2022-03-15","1085","1085","1085","1085","-0.46","150"
"GWFD83","2022-03-14","1090","1090","1090","1090","0.46","200"
"GWFD83","2022-03-10","1085","1085","1085","1085","-1.36","100"
"GWFD83","2022-03-09","1100","1100","1100","1100","0.00","175"
"GWFD83","2022-03-07","1100","1100","1100","1100","1.38","365"
"GWFD83","2022-03-06","1085","1086","1085","1085","-1.45","300"
"GWFD83","2022-03-02","1100","1101","1100","1101","0.09","311"
"GWFD83","2022-02-28","1105","1105","1100","1100","0.00","620"
"GWFD83","2022-02-23","1100","1100","1100","1100","0.00","300"
"GWFD83","2022-02-22","1100","1100","1100","1100","0.82","181"
"GWFD83","2022-02-21","1091","1091","1091","1091","0.00","170"
"GWFD83","2022-02-20","1091","1091","1091","1091","-0.37","120"
"GWFD83","2022-02-17","1095","1095","1095","1095","0.37","300"
"GWFD83","2022-02-16","1091","1091","1091","1091","0.09","221"
"GWFD83","2022-02-15","1095","1095","1090","1090","-0.46","625"
"GWFD83","2022-02-14","1100","1100","1095","1095","-0.45","600"
"GWFD83","2022-02-13","1100","1100","1100","1100","0.00","640"
"GWFD83","2022-02-10","1100","1100","1100","1100","0.82","115"
"GWFD83","2022-02-08","1100","1100","1091","1091","0.00","515"
"GWFD83","2022-02-07","1100","1100","1100","1100","-0.09","100"
"GWFD83","2022-02-06","1105","1105","1101","1101","-0.36","400"
"GWFD83","2022-02-03","1110","1110","1105","1105","-0.45","165"
"GWFD83","2022-01-31","1101","1110","1101","1110","0.91","60"
"GWFD83","2022-01-30","1091","1100","1090","1100","0.00","400"
"GWFD83","2022-01-27","1100","1100","1100","1100","0.82","50"
"GWFD83","2022-01-26","1100","1100","1091","1091","0.00","150"
"GWFD83","2022-01-25","1091","1091","1091","1091","-0.82","496"
"GWFD83","2022-01-23","1084","1100","1084","1100","0.92","230"
"GWFD83","2022-01-20","1082.1","1090","1080.2","1090","-0.69","495"
"GWFD83","2022-01-19","1120","1120","1097.6","1097.6","-2.00","95"
"GWFD83","2022-01-18","1149.6","1149.6","1120","1120","-4.52","250"
"GWFD83","2022-01-10","1172","1173","1172","1173","2.00","35"
"GWFD83","2022-01-09","1150","1150","1150","1150","0.00","165"
"GWFD83","2022-01-05","1155","1155","1150","1150","-0.86","50"
"GWFD83","2022-01-04","1160","1160","1160","1160","0.00","200"
"GWFD83","2022-01-03","1160","1160","1160","1160","0.01","90"
"GWFD83","2021-12-27","1159.9","1159.9","1159.9","1159.9","0.68","100"
