"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HAMRO","2018-07-15","135","135","133","135","-1.48","550"
"HAMRO","2018-07-12","133","135","133","135","2.27","600"
"HAMRO","2018-07-11","130","132","130","132","2.33","484"
"HAMRO","2018-07-10","131","131","129","129","-3.01","1467"
"HAMRO","2018-07-09","135","135","133","133","-2.92","294"
"HAMRO","2018-07-08","139","140","137","137","0.00","1019"
"HAMRO","2018-07-05","137","137","137","137","1.48","50"
"HAMRO","2018-07-04","132","135","132","135","3.85","193"
"HAMRO","2018-07-03","131","131","130","130","0.78","150"
"HAMRO","2018-07-01","130","131","129","129","-1.53","300"
"HAMRO","2018-06-28","130","131","130","131","0.77","80"
"HAMRO","2018-06-26","132","132","130","130","-2.99","1700"
"HAMRO","2018-06-25","135","135","134","134","0.00","575"
"HAMRO","2018-06-24","131","134","131","134","0.75","3673"
"HAMRO","2018-06-21","134","134","132","133","-0.75","570"
"HAMRO","2018-06-19","134","134","134","134","-1.47","250"
"HAMRO","2018-06-17","137","137","136","137","-1.45","910"
"HAMRO","2018-06-14","134","138","134","138","1.47","225"
"HAMRO","2018-06-12","136","137","136","136","1.49","919"
"HAMRO","2018-06-11","132","134","132","134","0.00","570"
"HAMRO","2018-06-10","136","136","134","134","0.00","1400"
"HAMRO","2018-06-07","134","134","132","134","-1.47","3782"
"HAMRO","2018-06-04","136","136","136","136","-1.45","250"
"HAMRO","2018-06-03","138","138","138","138","-1.43","500"
"HAMRO","2018-05-31","145","145","140","140","-2.10","3385"
"HAMRO","2018-05-30","144","144","142","143","0.70","1600"
"HAMRO","2018-05-29","142","142","142","142","1.43","50"
"HAMRO","2018-05-28","136","140","138","140","2.94","1045"
"HAMRO","2018-05-27","139","139","136","136","-3.55","989"
"HAMRO","2018-05-24","145","145","141","141","-2.76","1960"
"HAMRO","2018-05-23","150","150","145","145","-2.68","340"
"HAMRO","2018-05-22","142","149","142","149","6.43","810"
"HAMRO","2018-05-21","142","142","140","140","-2.78","148"
"HAMRO","2018-05-17","142","146","142","144","2.86","1020"
"HAMRO","2018-05-15","140","140","140","140","-1.41","187"
"HAMRO","2018-05-14","139","142","138","142","1.43","1160"
"HAMRO","2018-05-10","144","142","140","140","-2.78","801"
"HAMRO","2018-05-09","146","145","144","144","-1.37","960"
