"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HBLD83","2022-01-09","1050","1083","1050","1083","2.00","255"
"HBLD83","2022-01-06","1061.8","1061.8","1061.8","1061.8","-1.99","100"
"HBLD83","2021-09-26","1083.4","1083.4","1083.4","1083.4","-2.00","125"
"HBLD83","2021-09-01","1105.5","1105.5","1105.5","1105.5","-1.99","100"
"HBLD83","2021-07-13","1085","1128","1085","1128","5.42","85"
"HBLD83","2021-07-08","1070","1070","1070","1070","0.00","10"
"HBLD83","2021-07-06","1070","1070","1070","1070","0.47","25"
"HBLD83","2021-06-29","1065","1065","1065","1065","-1.48","25"
"HBLD83","2021-06-15","1081","1081","1081","1081","1.98","25"
"HBLD83","2021-06-14","1055","1060","1055","1060","0.47","45"
"HBLD83","2021-06-09","1055","1055","1055","1055","0.01","25"
"HBLD83","2021-06-07","1050","1050","1044","1045","-0.95","150"
"HBLD83","2021-05-30","1055","1055","1055","1055","0.86","25"
"HBLD83","2021-05-23","1046","1046","1046","1046","-0.38","50"
"HBLD83","2021-05-20","1050","1050","1050","1050","-0.47","25"
"HBLD83","2021-05-17","1046","1055","1046","1055","0.00","50"
"HBLD83","2021-05-13","1055","1055","1055","1055","0.86","50"
"HBLD83","2021-05-11","1046","1046","1046","1046","0.00","25"
"HBLD83","2021-05-10","1045","1046","1045","1046","0.10","75"
"HBLD83","2021-05-05","1045","1045","1045","1045","-0.10","25"
"HBLD83","2021-05-02","1046","1046","1046","1046","0.00","25"
"HBLD83","2021-04-29","1046","1046","1046","1046","-1.78","10"
"HBLD83","2021-04-27","1065","1065","1065","1065","1.91","50"
"HBLD83","2021-04-25","1045","1045","1045","1045","-0.95","25"
"HBLD83","2021-04-18","1055","1055","1055","1055","0.38","150"
"HBLD83","2021-04-15","1051","1051","1051","1051","0.10","75"
"HBLD83","2021-04-13","1050","1050","1050","1050","0.00","25"
"HBLD83","2021-04-12","1045","1050","1045","1050","0.00","50"
"HBLD83","2021-04-08","1050","1050","1050","1050","0.00","25"
"HBLD83","2021-04-07","1045","1050","1045","1050","0.48","125"
"HBLD83","2021-04-06","1045","1045","1045","1045","-0.95","25"
"HBLD83","2021-04-01","1055","1055","1055","1055","-1.95","25"
"HBLD83","2021-03-22","1076","1076","1076","1076","1.99","25"
"HBLD83","2021-03-17","1055","1055","1055","1055","0.29","50"
"HBLD83","2021-03-16","1052","1052","1052","1052","-1.87","30"
"HBLD83","2021-03-14","1072","1072","1072","1072","-1.92","25"
"HBLD83","2021-03-09","1093","1093","1093","1093","1.96","25"
"HBLD83","2021-03-08","1072","1072","1072","1072","2.00","75"
"HBLD83","2021-03-04","1051","1051","1051","1051","-0.19","25"
"HBLD83","2021-03-02","1053","1053","1053","1053","0.00","25"
"HBLD83","2021-02-25","1053","1053","1053","1053","0.00","25"
"HBLD83","2021-02-23","1050","1065","1050","1065","2.11","75"
"HBLD83","2021-02-22","1040","1043","1040","1043","0.29","50"
"HBLD83","2021-02-18","1040","1040","1040","1040","-0.02","25"
"HBLD83","2021-02-16","1060","1060","1060","1060","0.02","50"
"HBLD83","2021-02-15","1040","1040","1040","1040","0.00","25"
"HBLD83","2021-02-14","1040","1040","1040","1040","-0.01","25"
"HBLD83","2021-02-11","1046","1046","1046","1046","-0.01","25"
"HBLD83","2021-02-08","1041","1041","1041","1041","0.00","50"
"HBLD83","2021-02-07","1041","1041","1041","1041","-0.00","25"
"HBLD83","2021-02-04","1045","1045","1045","1045","0.00","100"
"HBLD83","2021-01-31","1045","1045","1045","1045","-0.02","25"
"HBLD83","2021-01-28","1061","1061","1061","1061","0.00","1000"
"HBLD83","2021-01-27","1040","1060","1040","1060","0.01","970"
"HBLD83","2021-01-26","1050","1050","1050","1050","0.00","50"
"HBLD83","2021-01-25","1040","1055","1040","1050","0.00","665"
"HBLD83","2021-01-24","1045","1045","1045","1045","-0.00","75"
"HBLD83","2021-01-21","1050","1050","1050","1050","0.00","680"
"HBLD83","2021-01-20","1050","1050","1050","1050","0.00","495"
"HBLD83","2021-01-17","1050","1050","1050","1050","-0.01","63"
"HBLD83","2021-01-12","1065","1065","1065","1065","0.00","25"
"HBLD83","2021-01-11","1060","1060","1060","1060","0.00","12"
"HBLD83","2021-01-10","1055","1056","1055","1056","0.00","80"
"HBLD83","2020-12-31","1056","1056","1055","1055","0.00","225"
"HBLD83","2020-12-29","1050","1055","1050","1055","0.00","50"
"HBLD83","2020-12-28","1040","1055","1040","1055","0.00","35"
"HBLD83","2020-12-27","1050","1052","1050","1052","0.01","125"
"HBLD83","2020-12-24","1040","1040","1040","1040","0.01","25"
"HBLD83","2020-12-23","1025","1025","1025","1025","-0.00","25"
"HBLD83","2020-12-22","1030","1030","1030","1030","-0.01","100"
"HBLD83","2020-12-15","1040","1040","1040","1040","0.00","25"
"HBLD83","2020-12-10","1040","1040","1040","1040","0.00","50"
"HBLD83","2020-12-09","1040","1040","1040","1040","0.02","50"
"HBLD83","2020-12-08","1026","1026","1020","1020","-0.01","330"
"HBLD83","2020-12-07","1030","1030","1030","1030","-0.01","265"
"HBLD83","2020-12-06","1020","1040","1020","1040","0.02","210"
