"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HDHPC","2022-05-05","224.1","227.5","214","220","-1.79","27612"
"HDHPC","2022-05-04","231","233","216","224","-1.32","38727"
"HDHPC","2022-05-02","235.5","236","225","227","-5.42","33413"
"HDHPC","2022-04-28","242","249.9","239","240","-0.70","38201"
"HDHPC","2022-04-27","236","246.3","231.5","241.7","2.42","23871"
"HDHPC","2022-04-26","239","258","234","236","-2.88","47688"
"HDHPC","2022-04-25","240","260","235.3","243","1.33","97713"
"HDHPC","2022-04-24","222","239.8","221.1","239.8","10.00","70961"
"HDHPC","2022-04-21","219","228","208","218","-2.24","82229"
"HDHPC","2022-04-20","234","236","220","223","-4.29","24087"
"HDHPC","2022-04-19","238","242.8","222.1","233","-0.21","37410"
"HDHPC","2022-04-18","247","247","229","233.5","-3.95","47932"
"HDHPC","2022-04-17","258","258","242","243.1","-5.04","30910"
"HDHPC","2022-04-13","250","259.9","241","256","2.40","32947"
"HDHPC","2022-04-12","266","266","248","250","-5.34","77551"
"HDHPC","2022-04-11","278.4","283","261","264.1","-3.26","24502"
"HDHPC","2022-04-07","270","278","268","273","1.11","34296"
"HDHPC","2022-04-06","268","276","265.9","270","-0.74","21141"
"HDHPC","2022-04-05","280","280","266.6","272","-2.86","54944"
"HDHPC","2022-04-04","285","286","277.3","280","-1.03","26190"
"HDHPC","2022-04-03","285","288","278.4","282.9","-1.26","17428"
"HDHPC","2022-03-31","296.1","298","285","286.5","-3.86","31071"
"HDHPC","2022-03-30","286.5","298","279","298","4.97","41995"
"HDHPC","2022-03-29","289","294","277.4","283.9","-0.80","42809"
"HDHPC","2022-03-28","294","298.9","286.2","286.2","-2.45","45597"
"HDHPC","2022-03-27","303.4","303.4","290","293.4","-3.49","76722"
"HDHPC","2022-03-24","306.2","309","301.2","304","-0.69","23567"
"HDHPC","2022-03-23","318","318","306","306.1","-1.89","15307"
"HDHPC","2022-03-22","319","319","308","312","-0.32","31156"
"HDHPC","2022-03-21","305","315","300","313","4.30","36940"
"HDHPC","2022-03-20","310","310","300","300.1","-1.28","36112"
"HDHPC","2022-03-16","314","314","302","304","-1.30","52542"
"HDHPC","2022-03-15","315","320","308","308","-2.22","51206"
"HDHPC","2022-03-14","320","320","309.8","315","-0.32","17666"
"HDHPC","2022-03-13","313","321","309","316","2.27","70768"
"HDHPC","2022-03-10","295","311","290.1","309","4.75","57687"
"HDHPC","2022-03-09","300","305","290","295","-1.67","66004"
"HDHPC","2022-03-07","312","312","298","300","-2.28","72794"
"HDHPC","2022-03-06","312","318","302.1","307","-0.32","35418"
"HDHPC","2022-03-02","320","332","307.4","308","-5.52","120432"
"HDHPC","2022-02-28","344","350","322","326","-3.55","87245"
"HDHPC","2022-02-27","334","342.7","330.1","338","2.42","61189"
"HDHPC","2022-02-24","345","345","328","330","-2.94","66077"
"HDHPC","2022-02-23","340","350","335","340","1.22","77336"
"HDHPC","2022-02-22","340","343","334.1","335.9","-0.03","80383"
"HDHPC","2022-02-21","332","337.5","328","336","1.82","68400"
"HDHPC","2022-02-20","339.6","339.6","315","330","-0.90","66949"
"HDHPC","2022-02-17","337","340","326.4","333","0.27","32273"
"HDHPC","2022-02-16","342","345","330.5","332.1","-2.89","55613"
"HDHPC","2022-02-15","329","346","324","342","5.23","58574"
"HDHPC","2022-02-14","325","330","320.1","325","1.21","73336"
"HDHPC","2022-02-13","332.3","336","319.5","321.1","-5.28","119029"
"HDHPC","2022-02-10","348","348","336","339","-1.45","57256"
"HDHPC","2022-02-09","340","350","337","344","-0.29","57625"
"HDHPC","2022-02-08","362","369.3","342","345","0.00","133190"
"HDHPC","2022-02-07","350","360","344","355","0.28","77487"
"HDHPC","2022-02-06","367.2","367.2","347.1","354","-1.67","115962"
"HDHPC","2022-02-03","368.2","373.9","357","360","-0.28","322163"
"HDHPC","2022-02-01","351","365","338","361","4.64","205198"
"HDHPC","2022-01-31","359","359","337.2","345","-1.99","72424"
"HDHPC","2022-01-30","331","352.9","331","352","8.31","173785"
"HDHPC","2022-01-27","329","332","321.2","325","0.31","60833"
"HDHPC","2022-01-26","333","337","321","324","-2.85","94064"
"HDHPC","2022-01-25","340","343","321.1","333.5","-1.01","91442"
"HDHPC","2022-01-24","346.2","353.9","332","336.9","-4.61","195149"
"HDHPC","2022-01-23","369","370","352","353.2","-2.70","78201"
