"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HFL","2013-09-29","18","18","18","18","0.00","40"
"HFL","2013-09-17","18","18","18","18","0.00","40"
"HFL","2013-09-15","19","19","18","18","-5.26","680"
"HFL","2013-09-11","21","20","19","19","-4.76","170"
"HFL","2013-09-02","21","21","21","21","0.00","560"
"HFL","2013-08-18","21","21","21","21","0.00","250"
"HFL","2013-08-15","21","21","21","21","0.00","40"
"HFL","2013-08-13","22","21","21","21","0.00","40"
"HFL","2013-08-12","22","22","22","22","0.00","40"
"HFL","2013-08-06","23","23","22","22","-4.35","280"
"HFL","2013-08-04","24","23","23","23","0.00","30"
"HFL","2013-07-30","25","24","24","24","-4.00","1870"
"HFL","2013-07-29","26","25","25","25","-3.85","350"
"HFL","2013-07-28","29","28","26","26","-10.34","560"
"HFL","2013-07-25","29","29","28","29","-3.45","80"
"HFL","2013-07-24","31","30","29","29","-6.45","800"
"HFL","2013-07-22","31","31","31","31","0.00","20"
"HFL","2013-07-21","31","31","31","31","0.00","130"
"HFL","2013-07-17","30","32","30","31","3.33","2940"
"HFL","2013-07-16","31","32","28","30","-3.23","3830"
"HFL","2013-07-15","33","32","31","31","-3.03","490"
"HFL","2013-07-14","35","35","33","33","-8.57","500"
"HFL","2013-07-11","39","38","35","35","-10.26","460"
"HFL","2013-07-10","42","41","39","39","-4.76","40"
"HFL","2013-07-09","46","45","42","42","-8.70","170"
"HFL","2013-06-18","51","50","46","46","-9.80","50"
"HFL","2013-06-12","52","51","51","51","-1.92","190"
"HFL","2013-06-09","54","53","52","52","-3.70","70"
"HFL","2013-06-02","53","54","54","54","1.89","100"
"HFL","2013-05-26","54","53","53","53","-1.85","20"
"HFL","2013-05-15","54","54","54","54","0.00","20"
"HFL","2013-01-16","56","55","54","54","-3.57","80"
"HFL","2013-01-07","54","56","54","56","3.70","340"
"HFL","2013-01-06","52","54","52","54","3.85","190"
"HFL","2013-01-03","49","52","50","52","6.12","320"
"HFL","2013-01-02","51","50","49","49","-3.92","260"
"HFL","2013-01-01","56","55","51","51","-8.93","260"
"HFL","2012-12-31","54","56","55","56","3.70","230"
"HFL","2012-12-27","58","57","54","54","-6.90","90"
"HFL","2012-12-26","54","58","55","58","7.41","60"
"HFL","2012-12-24","51","54","50","54","5.88","260"
