"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HGI","2022-05-05","549","549","520","520","-3.72","3117"
"HGI","2022-05-04","550.1","559","540","540.1","-2.86","1947"
"HGI","2022-05-02","566","566","553.3","556","-3.47","1898"
"HGI","2022-04-28","588","599.8","568.1","576","-0.52","1432"
"HGI","2022-04-27","577","582","570","579","2.26","2274"
"HGI","2022-04-26","576","584.7","566.2","566.2","-1.53","1141"
"HGI","2022-04-25","598","609.9","575","575","-2.21","7762"
"HGI","2022-04-24","580","592","570.1","588","3.16","5205"
"HGI","2022-04-21","549.1","570","549","570","1.97","5605"
"HGI","2022-04-20","570","575","559","559","-3.45","3477"
"HGI","2022-04-19","560.1","582","548.8","579","1.40","4190"
"HGI","2022-04-18","575","580","568.5","571","-2.23","5709"
"HGI","2022-04-17","604","607","582.1","584","-2.67","5012"
"HGI","2022-04-13","590","612","589","600","0.00","20774"
"HGI","2022-04-12","601","605","589","600","-0.66","6680"
"HGI","2022-04-11","631.3","631.3","603.3","604","-2.42","5269"
"HGI","2022-04-07","600","622.8","600","619","3.17","7775"
"HGI","2022-04-06","605","617","595","600","-1.64","5976"
"HGI","2022-04-05","620","623","599","610","-3.33","16366"
"HGI","2022-04-04","629","635","625","631","-1.28","5781"
"HGI","2022-04-03","643","647","639.2","639.2","-1.96","11335"
"HGI","2022-03-31","657","657","637","652","-0.88","9852"
"HGI","2022-03-30","640","657.8","634","657.8","2.78","11673"
"HGI","2022-03-29","650","668.9","632","640","-0.47","14687"
"HGI","2022-03-28","662","667.9","636","643","-2.87","40100"
"HGI","2022-03-27","669.2","703","650","662","0.90","39957"
"HGI","2022-03-24","658","682.9","656","656.1","-1.04","11315"
"HGI","2022-03-23","665","665","651","663","-1.47","2643"
"HGI","2022-03-22","661","674","660","672.9","1.51","8234"
"HGI","2022-03-21","657","666","655","662.9","0.90","4315"
"HGI","2022-03-20","665","665","646","657","0.46","9052"
"HGI","2022-03-16","650","657","638","654","0.62","9361"
"HGI","2022-03-15","635","652","635","650","1.58","9656"
"HGI","2022-03-14","642","642","634","639.9","1.41","2830"
"HGI","2022-03-13","610","657.9","604","631","3.78","20673"
"HGI","2022-03-10","613.5","613.5","595","608","0.83","2966"
"HGI","2022-03-09","616","616","590","603","-2.11","5052"
"HGI","2022-03-07","629","629","593","616","-0.18","17597"
"HGI","2022-03-06","642","642.9","617","617.1","-2.20","1896"
"HGI","2022-03-02","675","675","630","631","-8.26","9674"
"HGI","2022-02-28","695","695","633","687.8","0.49","14927"
"HGI","2022-02-27","749.7","749.7","706","730","-4.58","34561"
