"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HIDCL","2022-05-05","240","245","235.5","236.5","-1.87","86208"
"HIDCL","2022-05-04","247","249","239","241","-2.43","74916"
"HIDCL","2022-05-02","249","250","244.1","247","-2.37","82139"
"HIDCL","2022-04-28","260","262","252","253","-1.56","70526"
"HIDCL","2022-04-27","254","257","250","257","1.18","97593"
"HIDCL","2022-04-26","256","263.8","253.2","254","-1.93","62261"
"HIDCL","2022-04-25","266","270","254","259","-1.89","173353"
"HIDCL","2022-04-24","246","266.2","242.1","264","9.09","192612"
"HIDCL","2022-04-21","242","246.5","236.2","242","0.00","71656"
"HIDCL","2022-04-20","250","251.9","241","242","-2.38","73988"
"HIDCL","2022-04-19","250","255","239.3","247.9","0.77","77125"
"HIDCL","2022-04-18","253.1","256","245","246","-2.77","116538"
"HIDCL","2022-04-17","263","265","252","253","-2.69","101241"
"HIDCL","2022-04-13","260","261","252","260","1.17","93614"
"HIDCL","2022-04-12","269","269","255","257","-2.76","98943"
"HIDCL","2022-04-11","275","280.8","264.1","264.3","-2.11","141827"
"HIDCL","2022-04-07","269","275","264","270","1.43","156189"
"HIDCL","2022-04-06","270","276","264","266.2","-1.77","88976"
"HIDCL","2022-04-05","276","276","268","271","-1.85","149681"
"HIDCL","2022-04-04","280","284","274","276.1","-1.04","67259"
"HIDCL","2022-04-03","283","283","275","279","-1.41","79627"
"HIDCL","2022-03-31","295","296.8","283","283","-2.75","87544"
"HIDCL","2022-03-30","281","294.2","278","291","4.19","167666"
"HIDCL","2022-03-29","281","285","277","279.3","-0.11","92772"
"HIDCL","2022-03-28","284","286.5","279","279.6","-1.48","129474"
"HIDCL","2022-03-27","294.1","300","282.4","283.8","-2.74","160678"
"HIDCL","2022-03-24","296.5","300","291","291.8","-2.11","112781"
"HIDCL","2022-03-23","302","302","297.3","298.1","-1.00","54842"
"HIDCL","2022-03-22","307","308","300","301.1","-0.30","102825"
"HIDCL","2022-03-21","300","306","293","302","2.03","134483"
"HIDCL","2022-03-20","301.6","306","295","296","0.00","76270"
"HIDCL","2022-03-16","300","306","295","296","-1.33","86403"
"HIDCL","2022-03-15","304","308","299","300","-1.32","129717"
"HIDCL","2022-03-14","313.1","313.1","298","304","-0.98","66296"
"HIDCL","2022-03-13","300","308","295.1","307","4.07","267687"
"HIDCL","2022-03-10","281","295.5","275","295","6.08","187987"
"HIDCL","2022-03-09","291.6","291.6","275.5","278.1","-2.73","147490"
"HIDCL","2022-03-07","290","295","285.5","285.9","-1.07","135130"
"HIDCL","2022-03-06","290","298","284.6","289","0.00","190840"
"HIDCL","2022-03-02","305","305","288","289","-4.30","293199"
"HIDCL","2022-02-28","315.3","322","299.9","302","-2.33","276018"
"HIDCL","2022-02-27","302","315","302","309.2","0.72","195628"
"HIDCL","2022-02-24","315","315","305","307","-2.54","343057"
"HIDCL","2022-02-23","315","320.5","314","315","0.00","255502"
"HIDCL","2022-02-22","319.9","322","314","315","-0.32","219278"
"HIDCL","2022-02-21","319.7","320","313","316","0.60","160337"
"HIDCL","2022-02-20","312.2","320.9","306","314.1","-1.38","293998"
"HIDCL","2022-02-17","326","328","317","318.5","-1.09","153727"
"HIDCL","2022-02-16","330","336","318.7","322","-2.31","224170"
"HIDCL","2022-02-15","324","330","319","329.6","3.58","289771"
"HIDCL","2022-02-14","318","326.9","315","318.2","0.09","326690"
"HIDCL","2022-02-13","328.3","328.4","312","317.9","-5.10","527946"
"HIDCL","2022-02-10","341.8","343.7","330.1","335","-0.03","409300"
"HIDCL","2022-02-09","338","342","331","335.1","-1.44","329960"
"HIDCL","2022-02-08","357.1","361.9","336","340","0.00","862340"
"HIDCL","2022-02-07","330.2","354","330.2","350.1","3.92","618812"
"HIDCL","2022-02-06","355","355","336","336.9","-3.74","601352"
"HIDCL","2022-02-03","360","366","350","350","-2.37","681834"
"HIDCL","2022-02-01","362","366","349","358.5","0.42","833880"
"HIDCL","2022-01-31","339.1","365","335","357","7.37","1636783"
"HIDCL","2022-01-30","316.2","334","316.2","332.5","7.26","703616"
"HIDCL","2022-01-27","310","314","309","310","0.65","271564"
"HIDCL","2022-01-26","320","320","306.1","308","-2.10","317925"
"HIDCL","2022-01-25","323.3","324","311","314.6","-0.76","363571"
"HIDCL","2022-01-24","326","328","312","317","-3.35","589611"
"HIDCL","2022-01-23","340","342.5","325.9","328","-2.53","374635"
"HIDCL","2022-01-20","327","336.8","316.3","336.5","4.67","397574"
"HIDCL","2022-01-19","333","333","318","321.5","-2.58","473565"
"HIDCL","2022-01-18","340.5","345","320.1","330","-3.08","464935"
"HIDCL","2022-01-17","344","349","335.1","340.5","-1.02","458636"
"HIDCL","2022-01-16","344.3","355","339","344","1.90","668394"
"HIDCL","2022-01-13","330","339.5","321","337.6","4.20","660248"
"HIDCL","2022-01-12","314.5","340","309","324","3.02","844610"
"HIDCL","2022-01-11","320","320","306","314.5","0.19","341447"
"HIDCL","2022-01-10","305","318","301","313.9","4.84","677824"
"HIDCL","2022-01-09","274","299.5","274","299.4","9.27","543960"
"HIDCL","2022-01-06","268.2","276","266","274","2.16","217480"
"HIDCL","2022-01-05","269.2","279","265","268.2","1.59","390859"
"HIDCL","2022-01-04","261","265","252.9","264","3.13","143713"
"HIDCL","2022-01-03","259.9","262","256","256","0.04","97521"
"HIDCL","2022-01-02","255","259.5","252","255.9","0.35","103935"
"HIDCL","2021-12-29","256","258.8","251","255","0.00","79887"
"HIDCL","2021-12-28","255","258","246.2","255","0.00","129634"
"HIDCL","2021-12-27","272.6","272.6","255","255","-4.60","250316"
"HIDCL","2021-12-26","274","274.2","266","267.3","-0.60","130267"
"HIDCL","2021-12-23","275","275","265","268.9","-0.77","200159"
"HIDCL","2021-12-22","256","272","256","271","5.86","338586"
"HIDCL","2021-12-21","252","259","249.5","256","2.40","212459"
"HIDCL","2021-12-20","253.1","256","244.1","250","0.67","216548"
"HIDCL","2021-12-16","277","280","267","268.2","-3.21","174820"
"HIDCL","2021-12-15","279","300.9","268","277.1","1.17","372481"
"HIDCL","2021-12-14","253","273.9","253","273.9","10.00","171233"
"HIDCL","2021-12-13","263","270.9","247","249","-6.39","297972"
"HIDCL","2021-12-12","279","280","262.9","266","-4.66","209323"
"HIDCL","2021-12-09","282","282","271","279","-0.36","152380"
"HIDCL","2021-12-08","290","292","272","280","-2.74","161989"
"HIDCL","2021-12-07","289","300","285","287.9","0.66","322797"
