"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HURJA","2022-05-05","288.2","298","275.5","285","-3.06","11134"
"HURJA","2022-05-04","304.1","315","290","294","-5.16","17607"
"HURJA","2022-05-02","323","323","304","310","-2.21","8118"
"HURJA","2022-04-28","331","331","317","317","-2.76","12128"
"HURJA","2022-04-27","315","335","309","326","1.68","13375"
"HURJA","2022-04-26","333.7","333.7","320.6","320.6","-2.29","9424"
"HURJA","2022-04-25","349","349","327","328.1","-4.34","18647"
"HURJA","2022-04-24","326","343.9","314","343","7.19","21009"
"HURJA","2022-04-21","322","328","309","320","-2.44","11875"
"HURJA","2022-04-20","343","343","317","328","-6.29","20699"
"HURJA","2022-04-19","335","357","303.3","350","3.89","41298"
"HURJA","2022-04-18","357.3","357.3","329.1","336.9","-7.57","36825"
"HURJA","2022-04-17","400","403","364.5","364.5","-10.00","56919"
"HURJA","2022-04-13","390","411","377","405","3.58","3257"
"HURJA","2022-04-12","400","405","385","391","-3.22","5417"
"HURJA","2022-04-11","415","419","404","404","-3.58","4559"
"HURJA","2022-04-07","424.3","450.1","410","419","0.72","8305"
"HURJA","2022-04-06","428","462","406.5","416","-0.95","1473"
"HURJA","2022-04-05","421","430","410","420","-2.12","4080"
"HURJA","2022-04-04","425","437","425","429.1","-0.21","1507"
"HURJA","2022-04-03","457","457","424","430","-4.23","2650"
"HURJA","2022-03-31","450","450","440","449","-1.75","1182"
"HURJA","2022-03-30","441","465","430","457","4.10","2699"
"HURJA","2022-03-29","438","446.7","433","439","-1.57","1822"
"HURJA","2022-03-28","454","454","446","446","-1.98","1990"
"HURJA","2022-03-27","451","466","433","455","-1.07","6165"
"HURJA","2022-03-24","460.1","465","450","459.9","-1.31","4232"
"HURJA","2022-03-23","481.9","481.9","466","466","-1.67","577"
"HURJA","2022-03-22","475","483","467","473.9","-0.02","804"
"HURJA","2022-03-21","466","475","457","474","1.72","740"
"HURJA","2022-03-20","466","494.1","457.1","466","-1.89","1302"
"HURJA","2022-03-16","475.3","484.8","470","475","-2.06","1971"
"HURJA","2022-03-15","482.1","487","476","485","-1.02","1952"
"HURJA","2022-03-14","500","500","481","490","-1.80","1270"
"HURJA","2022-03-13","462","508","462","499","8.01","4550"
"HURJA","2022-03-10","442","462","442","462","4.52","5814"
"HURJA","2022-03-09","452.1","452.1","442","442","-4.12","2120"
"HURJA","2022-03-07","453.8","470","453.8","461","-0.43","2661"
"HURJA","2022-03-06","467","469.2","442","463","-0.54","5409"
"HURJA","2022-03-02","478","479.9","462","465.5","-4.02","4081"
"HURJA","2022-02-28","514","524","485","485","-4.15","7785"
"HURJA","2022-02-27","486.1","520","486.1","506","2.02","4216"
"HURJA","2022-02-24","510","510","490","496","-1.78","2406"
"HURJA","2022-02-23","513.9","524","499.8","505","0.02","6101"
"HURJA","2022-02-22","504.5","515","494.3","504.9","0.14","10053"
"HURJA","2022-02-21","495","514","495","504.2","1.86","3345"
"HURJA","2022-02-20","496.9","514.9","490","495","-2.37","4103"
"HURJA","2022-02-17","494.1","520","490","507","0.76","4305"
"HURJA","2022-02-16","513","515","502","503.2","-3.23","6021"
"HURJA","2022-02-15","478","525","477","520","7.75","3967"
"HURJA","2022-02-14","494","495","482.6","482.6","-0.90","1950"
"HURJA","2022-02-13","510","510","480.4","487","-5.80","6788"
"HURJA","2022-02-10","507.7","537","507.7","517","-0.19","4280"
"HURJA","2022-02-09","518.5","527","508.2","518","-2.08","1980"
"HURJA","2022-02-08","538.5","550","517.6","529","0.00","7434"
"HURJA","2022-02-07","524","539.9","520.7","528","-0.62","6689"
"HURJA","2022-02-06","543.8","545.7","531","531.3","-4.24","13551"
"HURJA","2022-02-03","550","554.8","530","554.8","2.74","38061"
"HURJA","2022-02-01","509.6","550.8","500","540","3.85","32164"
"HURJA","2022-01-31","520","520","511","520","-0.95","7247"
"HURJA","2022-01-30","491.9","525","491.9","525","8.85","13189"
"HURJA","2022-01-27","489.6","505","480.5","482.3","0.48","2488"
"HURJA","2022-01-26","500","500","477","480","-3.03","5998"
"HURJA","2022-01-25","495","514","488","495","-1.79","12676"
"HURJA","2022-01-24","521.4","521.4","502.1","504","-5.26","13530"
"HURJA","2022-01-23","541.6","550","530","532","0.19","28286"
"HURJA","2022-01-20","505","539.8","500","531","5.15","23347"
"HURJA","2022-01-19","513.7","534","500","505","-3.64","20866"
"HURJA","2022-01-18","540","541","516","524.1","-3.76","28415"
"HURJA","2022-01-17","505","544.6","502","544.6","5.95","26457"
"HURJA","2022-01-16","479","526.9","481.1","514","7.31","68039"
"HURJA","2022-01-13","474","492","465","479","2.57","6713"
"HURJA","2022-01-12","507.8","507.8","467","467","-6.21","24626"
"HURJA","2022-01-11","489","518","485","497.9","-0.02","17519"
"HURJA","2022-01-10","455","506.9","455","498","8.05","52320"
"HURJA","2022-01-09","427","460.9","420","460.9","10.00","21432"
"HURJA","2022-01-06","425","425","408.7","419","0.24","2248"
"HURJA","2022-01-05","420.2","428.5","407","418","1.46","10613"
"HURJA","2022-01-04","420","435","406.1","412","-0.15","2880"
"HURJA","2022-01-03","423.3","423.3","407","412.6","-0.58","600"
"HURJA","2022-01-02","416","420","407","415","1.72","690"
"HURJA","2021-12-29","420","420","407","408","-1.21","1490"
"HURJA","2021-12-28","405","413","405","413","1.98","3638"
"HURJA","2021-12-27","405","415","400","405","-0.12","9063"
"HURJA","2021-12-26","411","426","402","405.5","-1.34","5000"
"HURJA","2021-12-23","435.4","435.4","411","411","-3.72","2230"
"HURJA","2021-12-22","423","429","415","426.9","2.89","5760"
"HURJA","2021-12-21","405","415","404.8","414.9","0.46","5796"
"HURJA","2021-12-20","406","415","398","413","-0.24","2571"
"HURJA","2021-12-16","418","418","405","414","0.98","4726"
"HURJA","2021-12-15","412","429.8","397","410","1.49","6986"
"HURJA","2021-12-14","377.9","405","377.9","404","9.04","1928"
"HURJA","2021-12-13","390","395","360.1","370.5","-5.00","8437"
"HURJA","2021-12-12","393","393","386","390","-2.74","4636"
"HURJA","2021-12-09","395.1","410","395.1","401","-0.52","4525"
"HURJA","2021-12-08","410","421","401.8","403.1","-1.68","5210"
"HURJA","2021-12-07","423","444.9","407","410","-1.44","9555"
"HURJA","2021-12-06","396.9","429","389","416","2.72","5380"
"HURJA","2021-12-05","422","422","400","405","-4.03","9770"
"HURJA","2021-12-02","430","430.5","414","422","-3.63","6015"
"HURJA","2021-12-01","442","447","430","437.9","-0.48","8170"
"HURJA","2021-11-30","437","445","426","440","2.56","4782"
"HURJA","2021-11-29","424","442","422.5","429","1.18","5245"
"HURJA","2021-11-28","443","460","421","424","-6.07","13514"
"HURJA","2021-11-25","465","465","450","451.4","-1.01","2823"
"HURJA","2021-11-24","445","473.3","442","456","0.44","8004"
"HURJA","2021-11-23","465","475","444","454","-3.61","6602"
"HURJA","2021-11-22","472","488","465","471","0.21","3090"
"HURJA","2021-11-21","475","496","468","470","0.00","2685"
"HURJA","2021-11-18","483","493","470","470","-4.45","9089"
"HURJA","2021-11-17","491","510","485.1","491.9","0.18","13392"
"HURJA","2021-11-16","493","499","474","491","1.45","5085"
"HURJA","2021-11-15","474","497","474","484","3.20","7317"
"HURJA","2021-11-14","445","469","445","469","3.30","3110"
"HURJA","2021-11-11","459","485","449","454","-2.37","8450"
"HURJA","2021-11-09","481","489","459","465","-5.10","16429"
"HURJA","2021-11-08","503","507","484.6","490","-4.30","12320"
"HURJA","2021-11-03","515","535.8","510","512","-0.58","5768"
"HURJA","2021-11-02","490","540.6","480.2","515","3.21","30469"
"HURJA","2021-11-01","512","535.5","490","499","-2.02","28768"
"HURJA","2021-10-31","465.1","509.3","465.1","509.3","10.00","16958"
"HURJA","2021-10-28","442","463","440.1","463","3.14","8071"
"HURJA","2021-10-27","452","467.1","433.2","448.9","-0.24","16947"
"HURJA","2021-10-26","443.7","452","435","450","3.45","16818"
"HURJA","2021-10-25","413.1","435","412","435","7.41","10386"
"HURJA","2021-10-24","405","408","397","405","0.00","5647"
"HURJA","2021-10-21","412","420","395","405","0.25","9005"
"HURJA","2021-10-20","390.6","405","390.6","404","5.48","2518"
"HURJA","2021-10-19","412","420.2","375","383","-5.20","7574"
"HURJA","2021-10-18","422.9","423","385","404","-2.65","4025"
"HURJA","2021-10-17","402","418","383.1","415","5.06","2117"
"HURJA","2021-10-11","392.1","400","385","395","-1.27","1703"
"HURJA","2021-10-10","410","413","400.1","400.1","-3.71","3425"
"HURJA","2021-10-06","411","420","411","415.5","2.87","3915"
"HURJA","2021-10-05","391","415","390.1","403.9","1.48","3360"
"HURJA","2021-10-04","409","420","392","398","-4.56","7421"
"HURJA","2021-10-03","411.6","429","392","417","-0.71","12288"
"HURJA","2021-09-30","433","448.8","420","420","-2.89","8887"
"HURJA","2021-09-29","392","434.5","389.1","432.5","9.49","10550"
"HURJA","2021-09-28","412","428.4","389","395","-5.95","7909"
"HURJA","2021-09-27","443.7","450","415","420","-3.45","10024"
"HURJA","2021-09-26","456","456","435","435","-6.45","9296"
"HURJA","2021-09-23","475","498.6","443","465","-1.90","12159"
"HURJA","2021-09-22","440.6","475.2","440.6","474","9.72","13994"
"HURJA","2021-09-21","423","461","398.6","432","2.13","12736"
"HURJA","2021-09-20","472","473","423","423","-10.00","18935"
"HURJA","2021-09-16","494.7","494.7","460","470","-3.09","18381"
"HURJA","2021-09-15","520","520","485","485","-5.83","31403"
"HURJA","2021-09-14","539.5","550","515","515","-2.65","15028"
"HURJA","2021-09-13","550","572","520.5","529","-2.04","12825"
"HURJA","2021-09-12","512","547","512","540","7.57","35669"
"HURJA","2021-09-09","489","510","487","502","3.51","12955"
"HURJA","2021-09-08","517.1","517.1","480.3","485","-4.34","10080"
