"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ICFCD83","2022-05-02","1071","1071","1071","1071","0.00","100"
"ICFCD83","2022-04-25","1071","1071","1071","1071","-0.83","25"
"ICFCD83","2022-04-24","1080","1080","1080","1080","0.47","100"
"ICFCD83","2022-04-13","1075","1075","1075","1075","-1.36","190"
"ICFCD83","2022-04-12","1089.8","1089.8","1089.8","1089.8","-2.00","189"
"ICFCD83","2022-04-11","1110","1115","1110","1112","1.18","275"
"ICFCD83","2022-03-31","1099","1099","1099","1099","0.37","10"
"ICFCD83","2022-03-30","1093","1095","1093","1095","0.18","170"
"ICFCD83","2022-03-27","1093","1093","1093","1093","0.00","10"
"ICFCD83","2022-03-21","1081","1093","1072","1093","0.74","735"
"ICFCD83","2022-03-10","1085","1085","1085","1085","-1.36","140"
"ICFCD83","2022-03-07","1085","1100","1085","1100","1.38","500"
"ICFCD83","2022-03-06","1085","1085","1085","1085","-1.36","50"
"ICFCD83","2022-03-02","1100","1100","1100","1100","0.92","272"
"ICFCD83","2022-02-28","1090","1090","1090","1090","0.00","100"
"ICFCD83","2022-02-24","1090","1090","1090","1090","-0.91","158"
"ICFCD83","2022-02-23","1100","1100","1100","1100","0.00","190"
"ICFCD83","2022-02-22","1100","1100","1100","1100","0.92","200"
"ICFCD83","2022-02-21","1091","1091","1090","1090","-0.46","190"
"ICFCD83","2022-02-20","1095","1095","1095","1095","0.00","25"
"ICFCD83","2022-02-17","1100","1100","1095","1095","-0.45","155"
"ICFCD83","2022-02-16","1100","1100","1100","1100","-0.09","135"
"ICFCD83","2022-02-14","1100","1105","1095","1101","0.09","485"
"ICFCD83","2022-02-13","1101","1101","1100","1100","0.00","500"
"ICFCD83","2022-02-10","1100","1100","1100","1100","0.00","100"
"ICFCD83","2022-02-09","1100","1100","1100","1100","-0.99","25"
"ICFCD83","2022-02-08","1111","1111","1111","1111","0.00","150"
"ICFCD83","2022-02-07","1090.1","1095","1090","1090","-1.36","260"
"ICFCD83","2022-02-06","1105","1105","1105","1105","0.36","125"
"ICFCD83","2022-02-01","1101","1101","1101","1101","0.09","100"
"ICFCD83","2022-01-31","1100","1100.1","1100","1100","0.00","650"
"ICFCD83","2022-01-30","1100","1105","1100","1100","0.82","385"
"ICFCD83","2022-01-26","1110","1110","1091","1091","-1.87","320"
"ICFCD83","2022-01-25","1091","1111.8","1091","1111.8","2.00","320"
"ICFCD83","2022-01-23","1083","1091","1083","1090","0.00","345"
"ICFCD83","2022-01-20","1118","1118","1090","1090","-4.39","655"
"ICFCD83","2022-01-19","1140","1140","1140","1140","-0.18","50"
"ICFCD83","2022-01-18","1166.2","1166.2","1098","1142","-4.03","230"
"ICFCD83","2022-01-10","1190","1190","1190","1190","1.45","50"
"ICFCD83","2022-01-09","1150","1173","1150","1173","0.69","240"
"ICFCD83","2022-01-06","1165","1165","1165","1165","0.43","50"
"ICFCD83","2022-01-04","1160","1160","1160","1160","-1.86","200"
"ICFCD83","2022-01-02","1176.9","1182","1160","1182","2.37","675"
"ICFCD83","2021-12-26","1154","1154.6","1154","1154.6","2.00","75"
"ICFCD83","2021-12-23","1132","1132","1132","1132","-0.70","10"
"ICFCD83","2021-12-22","1135","1140","1130","1140","-0.44","315"
"ICFCD83","2021-12-13","1144.4","1167.2","1143.9","1145","2.05","212"
"ICFCD83","2021-12-12","1100","1122","1100","1122","0.79","200"
"ICFCD83","2021-12-09","1113.1","1113.2","1113.1","1113.2","-1.05","215"
"ICFCD83","2021-12-08","1125","1125","1125","1125","0.00","380"
"ICFCD83","2021-12-02","1125","1125","1125","1125","-0.18","25"
"ICFCD83","2021-11-28","1150","1150","1127","1127","-0.35","75"
"ICFCD83","2021-11-25","1135","1135","1131","1131","-1.65","80"
"ICFCD83","2021-11-23","1137","1150","1135","1150","-0.48","75"
"ICFCD83","2021-11-16","1155.5","1155.5","1155.5","1155.5","1.36","10"
"ICFCD83","2021-11-14","1140","1140","1140","1140","0.62","50"
"ICFCD83","2021-11-11","1133","1133","1133","1133","-1.48","25"
"ICFCD83","2021-11-09","1150","1150","1150","1150","0.00","25"
"ICFCD83","2021-11-03","1150","1173","1150","1150","0.00","150"
"ICFCD83","2021-11-02","1150","1150","1150","1150","0.00","190"
"ICFCD83","2021-11-01","1150","1150","1150","1150","0.00","19"
"ICFCD83","2021-10-31","1150","1159","1150","1150","1.12","250"
"ICFCD83","2021-10-27","1137.3","1137.3","1137.3","1137.3","0.00","29"
"ICFCD83","2021-10-26","1130","1137.3","1115","1137.3","0.65","135"
"ICFCD83","2021-10-20","1130","1130","1130","1130","0.00","25"
"ICFCD83","2021-10-18","1140","1140","1118","1130","0.89","884"
"ICFCD83","2021-10-11","1120","1120","1120","1120","0.00","75"
"ICFCD83","2021-10-06","1118","1120","1115","1120","0.45","310"
"ICFCD83","2021-10-03","1115","1115","1115","1115","-0.89","190"
"ICFCD83","2021-09-29","1125","1125","1125","1125","0.45","100"
"ICFCD83","2021-09-26","1120","1120","1120","1120","-0.44","190"
"ICFCD83","2021-09-23","1125","1125","1125","1125","-1.32","25"
"ICFCD83","2021-09-20","1140","1140","1140","1140","0.00","10"
"ICFCD83","2021-09-16","1140","1140","1140","1140","1.23","25"
"ICFCD83","2021-09-15","1126.1","1126.1","1126.1","1126.1","-0.79","100"
"ICFCD83","2021-09-13","1135","1135.1","1135","1135.1","0.44","50"
"ICFCD83","2021-09-12","1130.2","1130.2","1130.1","1130.1","-0.87","190"
"ICFCD83","2021-09-09","1132","1140","1130","1140","0.88","125"
