"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ICFCPO","2022-04-06","366","366","366","366","-1.88","1820"
"ICFCPO","2022-03-06","280.3","280.3","280.3","373","0.00","2000"
"ICFCPO","2021-09-15","280.3","280.3","280.3","280.3","-1.99","39681"
"ICFCPO","2021-07-11","286","286","286","286","0.00","15116"
"ICFCPO","2021-04-29","166","166","166","166","-1.78","36997"
"ICFCPO","2021-04-06","169","169","169","169","0.00","10250"
"ICFCPO","2020-12-28","158","160","158","160","-0.01","150730"
"ICFCPO","2020-12-03","161","161","161","161","0.00","32000"
"ICFCPO","2019-11-13","120","120","120","120","0.00","35615"
"ICFCPO","2019-06-04","120","120","120","120","0.00","4040"
"ICFCPO","2019-05-14","120","120","120","120","-1.64","30483"
"ICFCPO","2019-01-23","122","122","122","122","0.00","19290"
"ICFCPO","2018-06-20","113","113","113","113","1.80","16917"
"ICFCPO","2018-05-03","111","111","111","111","0.00","74646"
"ICFCPO","2018-04-29","111","111","111","111","0.91","18000"
"ICFCPO","2017-09-25","150","150","150","150","-1.96","31060"
"ICFCPO","2016-09-26","205","205","205","205","0.00","10500"
"ICFCPO","2016-09-05","205","205","205","205","0.00","15113"
"ICFCPO","2016-05-18","145","145","145","145","0.00","58000"
"ICFCPO","2015-12-16","105","105","105","105","0.00","13965"
"ICFCPO","2015-07-01","136","136","136","136","0.74","11612"
"ICFCPO","2015-06-21","135","135","135","135","0.00","9838"
"ICFCPO","2015-03-26","135","135","135","135","0.00","70271"
"ICFCPO","2014-11-02","127","129","129","129","1.57","120837"
"ICFCPO","2014-10-28","127","127","127","127","0.00","9474"
"ICFCPO","2014-09-23","129","127","127","127","-1.55","60000"
"ICFCPO","2014-08-31","125","129","127","129","3.20","10000"
"ICFCPO","2014-06-16","130","128","125","125","-3.85","40000"
"ICFCPO","2014-06-12","129","130","130","130","0.78","23385"
"ICFCPO","2014-06-11","119","129","121","129","8.40","16828"
"ICFCPO","2014-06-10","111","119","113","119","7.21","3132"
"ICFCPO","2014-03-24","109","111","111","111","1.83","28607"
"ICFCPO","2014-03-09","107","109","109","109","1.87","5590"
"ICFCPO","2014-01-27","111","109","107","107","-3.60","40081"
"ICFCPO","2013-08-06","109","111","111","111","1.83","2495"
"ICFCPO","2013-07-03","105","109","107","109","3.81","5940"
"ICFCPO","2013-06-27","116","114","105","105","-9.48","159732"
"ICFCPO","2013-06-02","116","116","116","116","0.00","800"
"ICFCPO","2012-12-09","116","116","116","116","0.00","100"
