"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ICFC","2022-05-05","460","475","446","452","-3.00","29662"
"ICFC","2022-05-04","476","485","465","466","-2.10","19723"
"ICFC","2022-05-02","500","507.9","472","476","-4.42","19741"
"ICFC","2022-04-28","507","510.1","493","498","-1.58","19205"
"ICFC","2022-04-27","500","513","496","506","-0.02","16370"
"ICFC","2022-04-26","509","520","498","506.1","-0.57","21224"
"ICFC","2022-04-25","535.5","540","507","509","-3.05","32653"
"ICFC","2022-04-24","495","535.4","488","525","7.80","26004"
"ICFC","2022-04-21","488","495","462.2","487","-0.20","34570"
"ICFC","2022-04-20","495.2","515","486","488","-3.37","20079"
"ICFC","2022-04-19","490","512","485","505","2.02","23470"
"ICFC","2022-04-18","505","508.9","495","495","-2.94","32287"
"ICFC","2022-04-17","536","536","510","510","-3.23","19821"
"ICFC","2022-04-13","512","532","512","527","1.74","33626"
"ICFC","2022-04-12","540","540","515","518","-2.63","25020"
"ICFC","2022-04-11","557","568","530.4","532","-2.72","33717"
"ICFC","2022-04-07","541","560","540","546.9","1.09","39687"
"ICFC","2022-04-06","556","569","540","541","-3.05","41182"
"ICFC","2022-04-05","583","585","553","558","-4.29","49757"
"ICFC","2022-04-04","604","605","583","583","-2.18","22189"
"ICFC","2022-04-03","609","612.2","595","596","-2.13","32003"
"ICFC","2022-03-31","630","636.1","607","609","-3.03","26266"
"ICFC","2022-03-30","624.9","630","607","628","2.30","31471"
"ICFC","2022-03-29","638","638","608","613.9","-1.93","30334"
"ICFC","2022-03-28","644.6","644.6","625.1","626","-4.82","24984"
"ICFC","2022-03-27","640","657.7","613.7","657.7","1.98","82467"
"ICFC","2022-03-24","655","657","636","644.9","-0.32","34926"
"ICFC","2022-03-23","650.1","657.5","640","647","-1.94","46402"
"ICFC","2022-03-22","665","665","654","659.8","1.20","23761"
"ICFC","2022-03-21","653","660","640","652","1.72","41920"
"ICFC","2022-03-20","637","660","637","641","-1.38","25751"
