"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"IGI","2022-05-05","510","521.9","501","505","-2.88","6091"
"IGI","2022-05-04","530.1","538","520","520","-2.44","4353"
"IGI","2022-05-02","539.1","543.8","525","533","-2.02","13755"
"IGI","2022-04-28","545","556","532","544","1.13","96674"
"IGI","2022-04-27","540","540","529","537.9","-0.20","7632"
"IGI","2022-04-26","551","551","529.7","539","-0.35","5909"
"IGI","2022-04-25","540.1","554","521","540.9","0.20","14201"
"IGI","2022-04-24","520","545.7","520","539.8","3.81","18408"
"IGI","2022-04-21","532","535","507.1","520","-3.69","27904"
"IGI","2022-04-20","551","554.4","535","539.9","-1.53","6449"
"IGI","2022-04-19","547","560","537","548.3","-1.21","9731"
"IGI","2022-04-18","559","561.1","547","555","-2.63","8061"
"IGI","2022-04-17","577","578","560","570","-2.30","8792"
"IGI","2022-04-13","586","594","572","583.4","-0.27","9371"
"IGI","2022-04-12","585","595","582","585","-1.80","7180"
"IGI","2022-04-11","614.8","627","584.1","595.7","-1.18","18484"
"IGI","2022-04-07","646.9","660","635","645","1.57","27511"
"IGI","2022-04-06","628.2","647","617","635","-0.78","10118"
"IGI","2022-04-05","642","647","631","640","-2.14","11922"
"IGI","2022-04-04","650","660","647.1","654","-0.91","25613"
"IGI","2022-04-03","653.1","670","653.1","660","-0.90","12011"
"IGI","2022-03-31","684","685","665","666","-1.33","13454"
"IGI","2022-03-30","675","679.2","661.6","675","1.35","27762"
"IGI","2022-03-29","675","704","665.2","666","-1.62","9205"
"IGI","2022-03-28","691","696.9","677","677","-1.88","15534"
"IGI","2022-03-27","703","740","683.1","690","0.07","55120"
"IGI","2022-03-24","697.5","704","687","689.5","-0.36","16214"
"IGI","2022-03-23","703.9","703.9","685.2","692","0.20","5416"
"IGI","2022-03-22","712","712","690.6","690.6","-1.20","13854"
"IGI","2022-03-21","685.1","703","680","699","2.04","10912"
"IGI","2022-03-20","705","705","683","685","-1.58","12380"
"IGI","2022-03-16","713","713","691.1","696","-0.44","23548"
"IGI","2022-03-15","702","710","695","699.1","-0.13","19623"
"IGI","2022-03-14","710","710","690","700","0.14","11543"
"IGI","2022-03-13","680","706.1","672","699","3.85","29213"
"IGI","2022-03-10","646.5","675.1","646.5","673.1","2.76","39078"
"IGI","2022-03-09","663","674","655","655","-0.98","10426"
"IGI","2022-03-07","660","675","657","661.5","1.61","9089"
"IGI","2022-03-06","660","670","650","651","-0.76","22205"
"IGI","2022-03-02","690","690","656","656","-4.23","20399"
"IGI","2022-02-28","717","717","685","685","-2.56","18047"
"IGI","2022-02-27","720","726","697","703","-1.26","19790"
"IGI","2022-02-24","730","730","700","712","-2.47","26086"
"IGI","2022-02-23","738","741","725.4","730","-1.35","20625"
"IGI","2022-02-22","754","755.8","738","740","-0.13","18903"
"IGI","2022-02-21","755","755","734","741","-0.55","20608"
"IGI","2022-02-20","771","771","745","745.1","-3.86","23908"
"IGI","2022-02-17","786.4","786.4","770","775","0.52","13674"
"IGI","2022-02-16","780","794","770","771","-1.41","15990"
"IGI","2022-02-15","787","787","757","782","1.31","21568"
"IGI","2022-02-14","773","800","762","771.9","0.12","25311"
"IGI","2022-02-13","825","825","771","771","-5.89","56808"
"IGI","2022-02-10","1119.9","1134","1095","1107","-0.81","179529"
"IGI","2022-02-09","1132.1","1145","1100","1116","-1.41","78559"
"IGI","2022-02-08","1171","1171.8","1126.2","1132","0.00","90982"
"IGI","2022-02-07","1167","1167","1143","1149","0.00","58694"
"IGI","2022-02-06","1180","1180","1140","1149","-0.95","74875"
"IGI","2022-02-03","1179.9","1190","1158","1160","-0.85","55325"
"IGI","2022-02-01","1187.2","1187.2","1147","1170","0.52","173634"
"IGI","2022-01-31","1211.7","1211.7","1160","1164","-2.02","26434"
"IGI","2022-01-30","1177","1220","1175.1","1188","2.95","59846"
"IGI","2022-01-27","1144.9","1169.7","1144.9","1154","0.79","80477"
"IGI","2022-01-26","1165","1172","1133","1144.9","-1.73","39477"
"IGI","2022-01-25","1167","1191","1160","1165","-0.17","42594"
"IGI","2022-01-24","1209","1209","1153","1167","-3.47","82764"
"IGI","2022-01-23","1241.3","1266.1","1200","1209","-0.66","120429"
"IGI","2022-01-20","1161","1225","1161","1217","4.28","184301"
"IGI","2022-01-19","1194","1194","1165.1","1167","-1.93","65637"
"IGI","2022-01-18","1147","1199","1144","1190","3.75","210771"
"IGI","2022-01-17","1150","1150","1125","1147","1.06","71048"
