"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ILBS","2022-05-05","1011","1024.9","989.8","1002","-2.43","1759"
"ILBS","2022-05-04","1031","1051","1027","1027","-2.38","1352"
"ILBS","2022-05-02","1080","1080","1050","1052","-2.60","938"
"ILBS","2022-04-28","1112.8","1112.8","1070.1","1080.1","-1.00","1706"
"ILBS","2022-04-27","1087.8","1109","1080","1091","-1.71","2236"
"ILBS","2022-04-26","1158.7","1158.7","1095","1110","-2.29","2080"
"ILBS","2022-04-25","1162.8","1162.8","1097.6","1136","-0.35","3282"
"ILBS","2022-04-24","1122","1144.4","1101","1140","3.64","3354"
"ILBS","2022-04-21","1091","1100","1066.1","1100","-0.90","1547"
"ILBS","2022-04-20","1154","1154","1091","1110","-1.96","1987"
"ILBS","2022-04-19","1088","1132.2","1070","1132.2","2.00","3618"
"ILBS","2022-04-18","1143","1143","1083","1110","-1.51","686"
"ILBS","2022-04-17","1131","1147","1095","1127","-0.01","2936"
"ILBS","2022-04-13","1084","1127.1","1038.8","1127.1","6.03","1953"
"ILBS","2022-04-12","1076","1095","1063","1063","-2.92","1215"
"ILBS","2022-04-11","1132","1145","1095","1095","-1.35","1100"
"ILBS","2022-04-07","1089","1125","1085","1110","1.00","1340"
"ILBS","2022-04-06","1100","1121","1091","1099","-0.46","753"
"ILBS","2022-04-05","1122","1122","1101.2","1104.1","-3.49","2197"
"ILBS","2022-04-04","1133","1145","1131.1","1144","-0.09","416"
"ILBS","2022-04-03","1150","1150","1134.5","1145","-1.28","590"
"ILBS","2022-03-31","1175","1175","1140","1159.8","0.24","1807"
"ILBS","2022-03-30","1145","1157","1143","1157","1.22","1483"
"ILBS","2022-03-29","1141","1160","1138.1","1143","-1.12","1835"
"ILBS","2022-03-28","1175.1","1176.1","1150","1156","-2.06","1383"
"ILBS","2022-03-27","1219","1220","1180","1180.3","-1.25","495"
"ILBS","2022-03-24","1201","1206.6","1182.1","1195.2","-0.40","1226"
"ILBS","2022-03-23","1203","1210","1187","1200","-0.25","135"
"ILBS","2022-03-22","1210","1210","1199.1","1203","0.33","942"
"ILBS","2022-03-21","1217.8","1217.8","1172","1199","0.42","1050"
"ILBS","2022-03-20","1200","1214","1166.4","1194","0.32","1044"
"ILBS","2022-03-16","1185","1190.2","1181","1190.2","-0.32","1808"
"ILBS","2022-03-15","1196","1206","1194","1194","-1.00","2039"
"ILBS","2022-03-14","1220","1220","1205","1206","-0.74","125"
"ILBS","2022-03-13","1190","1221","1190","1215","3.40","2867"
"ILBS","2022-03-10","1144","1193","1144","1175","1.56","2116"
"ILBS","2022-03-09","1180","1180","1157","1157","-2.67","1130"
"ILBS","2022-03-07","1170","1200","1161","1188.7","0.74","774"
"ILBS","2022-03-06","1213","1213","1170","1180","-0.84","1315"
"ILBS","2022-03-02","1201","1223","1180.9","1190","-1.24","2398"
"ILBS","2022-02-28","1263","1263","1200","1205","-2.74","4426"
"ILBS","2022-02-27","1245","1253","1223","1239","0.73","1657"
