"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"INVESTMENT","2022-05-05","74.4","74.89","72.34","72.71","0.00","92776108.1"
"INVESTMENT","2022-05-04","75.41","75.94","74.07","74.33","0.00","72710651.9"
"INVESTMENT","2022-05-02","77.13","77.16","75.17","75.4","0.00","89483768.7"
"INVESTMENT","2022-04-28","78.08","78.91","76.9","77.13","0.00","85639807.3"
"INVESTMENT","2022-04-27","77.78","78.14","76.62","78.07","0.00","70233915.6"
"INVESTMENT","2022-04-26","78.88","79.34","77.56","77.78","0.00","61968799.6"
"INVESTMENT","2022-04-25","80.46","81.57","78.56","78.87","0.00","134405855.6"
"INVESTMENT","2022-04-24","76.19","80.76","76.12","80.45","0.00","144926694.3"
"INVESTMENT","2022-04-21","75.79","76.81","74.71","76.12","0.00","81645040.4"
"INVESTMENT","2022-04-20","76.81","77.67","75.54","75.78","0.00","72599375.7"
"INVESTMENT","2022-04-19","76.54","78.4","75.49","76.94","0.00","92716596.7"
"INVESTMENT","2022-04-18","78.25","78.25","76.2","76.54","0.00","116235765.72"
"INVESTMENT","2022-04-17","79.54","80.59","77.83","78.11","0.00","100771961.4"
"INVESTMENT","2022-04-13","79.04","80.37","77.95","79.6","0.00","107383049.2"
"INVESTMENT","2022-04-12","81.02","81.01","78.66","79.03","0.00","115023607.2"
"INVESTMENT","2022-04-11","83.44","84.84","80.6","80.65","0.00","201971123.4"
"INVESTMENT","2022-04-07","81.26","83.59","81.12","82.59","0.00","163264860.6"
"INVESTMENT","2022-04-06","82.84","83.18","81.03","81.67","0.00","120826321.7"
"INVESTMENT","2022-04-05","85.1","85.1","81.81","82.98","0.00","152272986.7"
"INVESTMENT","2022-04-04","84.97","85.42","83.73","84.5","0.00","141629888.5"
"INVESTMENT","2022-04-03","86.19","86.19","84.39","84.92","0.00","89336556.4"
"INVESTMENT","2022-03-31","86.85","87.72","85.87","86.14","0.00","231571640"
"INVESTMENT","2022-03-30","84.9","86.97","84.44","86.8","0.00","127416854.8"
"INVESTMENT","2022-03-29","84.6","85.94","84.19","84.47","0.00","93083587.8"
"INVESTMENT","2022-03-28","85.58","86.36","84.48","84.56","0.00","141138599.6"
"INVESTMENT","2022-03-27","86.94","87.59","85.37","85.55","0.00","180732337"
"INVESTMENT","2022-03-24","88.65","88.86","86.83","86.91","0.00","120899143.6"
"INVESTMENT","2022-03-23","89.46","89.9","88.43","88.64","0.00","119841236.4"
"INVESTMENT","2022-03-22","88.96","90.16","88.96","89.45","0.00","126548408.5"
"INVESTMENT","2022-03-21","88.45","89.64","87.32","88.94","0.00","158036578.8"
"INVESTMENT","2022-03-20","86.59","88.24","86.58","88.02","0.00","269082"
"INVESTMENT","2022-03-16","87.1","88.08","86.38","86.58","0.00","149591410.1"
"INVESTMENT","2022-03-15","87.96","88.38","86.69","87.09","0.00","166037296.1"
"INVESTMENT","2022-03-14","88.97","89.24","86.99","87.81","0.00","82894682"
"INVESTMENT","2022-03-13","85.49","88.69","85.21","88.49","0.00","274661409.2"
"INVESTMENT","2022-03-10","81.29","84.74","80.42","84.69","0.00","182772115.2"
"INVESTMENT","2022-03-09","82.69","83.61","80.98","81.28","0.00","5073635.1"
"INVESTMENT","2022-03-07","83.26","84.43","82.45","82.69","0.00","108924254.6"
"INVESTMENT","2022-03-06","83.5","85.11","82.37","83.25","0.00","139412608.9"
"INVESTMENT","2022-03-02","86.39","86.38","83.18","83.42","0.00","258420617.5"
"INVESTMENT","2022-02-28","89.06","90.11","85.85","86.15","0.00","221872073.8"
"INVESTMENT","2022-02-27","87.83","89.75","87.27","88.06","0.00","192603643"
"INVESTMENT","2022-02-24","90.3","90.36","87.79","88.22","0.00","350009824.7"
"INVESTMENT","2022-02-23","90.45","91.21","90.05","90.3","0.00","254764846.4"
"INVESTMENT","2022-02-22","90.6","91.57","90.23","90.44","0.00","169758749.7"
"INVESTMENT","2022-02-21","89.96","90.96","89.55","90.6","0.00","155693606.2"
"INVESTMENT","2022-02-20","90.07","91.47","87.82","89.5","0.00","235716453.1"
"INVESTMENT","2022-02-17","91.59","92.31","90.93","91.24","0.00","140395024.3"
"INVESTMENT","2022-02-16","93.52","93.99","91.23","91.58","0.00","192821491.2"
"INVESTMENT","2022-02-15","90.22","93.41","90.22","92.99","0.00","217447127.4"
"INVESTMENT","2022-02-14","90.24","92","90.1","90.73","0.00","295270761.6"
"INVESTMENT","2022-02-13","94.45","94.45","90.45","90.73","0.00","576900433.5"
"INVESTMENT","2022-02-10","96.61","96.92","94.96","95.53","0.00","320987732.6"
"INVESTMENT","2022-02-09","97.05","97.33","94.82","96.09","0.00","378715171.2"
"INVESTMENT","2022-02-08","99.65","101.86","96.17","97.05","0.00","725853146.9"
"INVESTMENT","2022-02-07","94.33","99.03","94.33","98.49","0.00","840667771.6"
"INVESTMENT","2022-02-06","97.23","97.22","94.67","95.57","0.00","460508702.8"
"INVESTMENT","2022-02-03","98.04","99.43","96.67","96.84","0.00","630187732.3"
"INVESTMENT","2022-02-01","98.23","98.77","95.72","97.41","0.00","559072100"
"INVESTMENT","2022-01-31","96.22","98.34","94.54","97.3","0.00","937978988"
"INVESTMENT","2022-01-30","91.33","95.27","91.33","95.22","0.00","533848108.8"
"INVESTMENT","2022-01-27","89.07","90.64","89.01","89.54","0.00","288429349.5"
"INVESTMENT","2022-01-26","91.08","91.5","88.42","89.06","0.00","248932421.5"
"INVESTMENT","2022-01-25","92.05","92.76","88.84","91.04","0.00","269094082.8"
"INVESTMENT","2022-01-24","94.78","94.78","90.66","91.41","0.00","416335099.6"
"INVESTMENT","2022-01-23","95.73","97.39","94.09","94.63","0.00","302070147.2"
"INVESTMENT","2022-01-20","94.48","95.78","93.16","95.72","0.00","289736474.9"
"INVESTMENT","2022-01-19","95.28","95.51","93","93.76","0.00","343442484.2"
"INVESTMENT","2022-01-18","97.65","98.01","94.1","95.27","0.00","373599351"
"INVESTMENT","2022-01-17","97.93","99.12","96.63","97.6","0.00","462036582.6"
"INVESTMENT","2022-01-16","97.71","99.35","96.99","97.86","0.00","681538284.9"
"INVESTMENT","2022-01-13","93.89","96.27","92.76","95.95","0.00","514377406.2"
"INVESTMENT","2022-01-12","90.08","95.05","89.94","92.9","0.00","566039924.8"
"INVESTMENT","2022-01-11","89.07","90.78","87.65","90.08","0.00","286356945.5"
"INVESTMENT","2022-01-10","87.65","89.67","86.7","88.15","0.00","362066242.5"
"INVESTMENT","2022-01-09","83.74","87.21","83.74","87.21","0.00","355034030.3"
"INVESTMENT","2022-01-06","82.14","84.33","81.24","83.74","0.00","196545843.4"
"INVESTMENT","2022-01-05","83.44","84.61","82.06","82.13","0.00","224956824.6"
"INVESTMENT","2022-01-04","80.9","83.97","79.7","83.43","0.00","148591038.3"
"INVESTMENT","2022-01-03","80.15","81.77","79.58","80.89","0.00","163752369.1"
"INVESTMENT","2022-01-02","77.73","80.07","77.53","79.41","0.00","131551978.8"
"INVESTMENT","2021-12-29","77.99","78.69","77.37","77.73","0.00","73528303.8"
